video_id	title	published_at	category_id	duration	views_1	views_2	views_3	views_4	views_5	views_6	views_7	views_8	likes_1	likes_2	likes_3	likes_4	likes_5	likes_6	likes_7	likes_8	comments_1	comments_2	comments_3	comments_4	comments_5	comments_6	comments_7	comments_8
XdUoiEVccdo	Ronnie O'Sullivan Makes It Seven World Titles | Eurosport Snooker	2022-05-02T20:07:20Z	17	PT16M38S	1000813	1031430	1148979	1217544	1290548	1322105	1337236	1373845	11461	11746	12559	13020	13499	13702	13833	14053	1046	1056	1104	1130	1144	1160	1171	1182
hse_g-YZ754	Pick the Miner Queen! ⛏️ Clash of Clans Season Challenges	2022-05-01T08:00:24Z	20	PT46S	3720415	3745104	3822597	3843508	3868320	3880000	3902999	3969238	85998	86428	87834	88140	88421	88528	88604	89329	2332	2341	2368	2374	2381	2382	2383	2397
-PPoe9b2iCo	"Der Möchtegern ""RAMBO"" ⎮ Younes Jones"	2022-05-01T08:00:00Z	23	PT12M16S	156179	162799	178623	187021	194825	198082	200151	205438	6028	6188	6436	6580	6719	6780	6842	6933	223	224	234	242	245	244	246	246
iny16wsspZk	DER WÜRFEL ENTSCHEIDET UNSEREN SCHADEN (ULTRA HARDCORE)	2022-05-03T13:03:59Z	20	PT20M45S	347289	361438	377976	385656	392718	396892	398153	400389	30713	31432	32176	32598	33054	33247	33345	33462	746	760	772	779	782	783	785	786
URnqWj-kJlE	#87 2 Mann, 2 Mützen Teil 2 (Gast Torsten Sträter)	2022-05-02T16:00:54Z	23	PT36M17S	62647	65080	75993	81534	86806	90153	91425	95118	1460	1521	1715	1812	1896	1958	1990	2037	98	103	106	112	120	125	126	124
FxTk7YRp3FE	Rechtsextremer Überfall auf uns! Statement	2022-05-02T13:11:34Z	22	PT11M45S	66650	67765	71319	73662	76037	77152	77646	78986	3583	3620	3733	3819	3882	3914	3932	3971	1218	1233	1221	1229	1254	1288	1296	1266
f69ICbKFKak	Wie lange überlebt man Absolute Stille? - Selbstexperiment	2022-05-03T13:24:08Z	24	PT8M12S	87252	97957	118533	139173	177906	200659	208713	228754	3870	4423	5568	6948	8405	9180	9723	10386	193	219	259	300	338	354	373	380
eOhcZ-CupVE	DATE MIT GINA	2022-05-04T15:59:01Z	24	PT9M46S	285522	344931	411632	430729	459675	476800	484719	503992	32696	37586	41685	43010	45194	46215	46990	47960	1224	1394	1483	1501	1534	1555	1565	1581
3QbGg8G7wE8	Jürgen Klopp über seine Halbzeitansprache, das Quadruple und Villarreal	2022-05-03T22:07:21Z	17	PT6M32S	383140	400583	424508	434824	439863	441745	442308	444000	7032	7249	7439	7527	7572	7587	7595	7601	501	508	527	533	544	548	548	550
y6L2HPhuGSg	Mentalitätsmonster Real bucht Finalticket: Real Madrid - Man City 3:1 | UEFA Champions League | DAZN	2022-05-04T21:58:17Z	17	PT5M21S	1620596	2146546	2458980	2515612	2545346	2556867	2566108	2586408	56941	65780	68780	69142	69437	69542	69685	69848	3732	4132	4261	4255	4259	4262	4269	4268
9Q71C4IsbZE	dyeing my hair and doing a HUGE MAKEOVER	2022-05-01T15:00:04Z	24	PT21M29S	694881	706120	742670	758231	772572	781372	785130	796363	65810	66728	68764	69808	70684	71181	71517	72071	3006	3043	3120	3160	3198	3221	3230	3260
cvgbMpKjtks	😂🤣WAS ist mit Monte LOS? | Lachen VERBOTEN sonst 100€! | Lach dich REICH #6	2022-05-04T10:15:02Z	20	PT10M58S	365943	396360	448272	473060	507394	531198	549883	596997	32058	34145	36865	38238	40412	41661	43064	45239	425	446	469	485	509	516	531	554
a_0PSZ2S_yw	Overwatch 2 a Pathetic Preview	2022-05-01T17:15:01Z	20	PT4M24S	3581123	3619926	3783091	3855332	3933385	4003169	4029204	4126174	213524	215191	220411	222960	225392	227897	228993	232175	12367	12460	12718	12870	13026	13184	13247	13469
Hrckugg1uWQ	Das kann das iPhone 14 Pro!	2022-04-30T07:59:53Z	28	PT7M33S	278771	286431	302793	309942	321193	329336	331933	336969	14273	14696	15213	15472	15821	16085	16179	16299	1118	1135	1164	1184	1202	1221	1234	1244
yf--HfbV2Is	WIR HABEN ÜBERTRIEBEN... (MINECRAFT r/place)	2022-04-28T11:15:59Z	20	PT19M2S	196248	199338	203176	204501	205707	206235	206554	207155	16123	16255	16389	16444	16505	16524	16543	16565	231	231	233	236	236	236	236	236
ZTFWZJHuZQE	SINGER REACTS | FIRST TIME REACTION to RAMMSTEIN - Angst (Official Video)	2022-05-03T18:00:13Z	10	PT17M31S	50786	54395	65878	72245	77314	80502	81886	86168	3254	3418	3828	4043	4212	4340	4400	4550	554	571	622	656	683	703	715	729
B5T0RHIcT_Y	CrispyRob testet VIRALE SNACKS! 🤤 (TEIL 7)	2022-05-01T12:00:06Z	24	PT16M15S	234790	241728	257705	265587	273192	277353	280133	286569	16829	17237	17941	18301	18661	18829	18976	19232	389	396	414	422	431	433	441	442
kT_x7qxQuac	Erkenntnisse aus meinem „smarten“ Garten	2022-04-30T07:00:13Z	28	PT18M43S	214457	225575	243346	250691	258591	261973	263948	268542	7167	7394	7636	7769	7901	7954	7996	8068	827	836	862	873	891	897	899	904
z_CroYdSTwM	Irgendwas ist hier FAUL! AdBlue-Manipulation am LKW? |2/2| Kabel Eins | Achtung Kontrolle	2022-04-29T16:00:41Z	24	PT10M45S	239284	249708	299073	306183	313394	317036	318718	323011	1974	2081	2242	2306	2372	2404	2417	2439	365	374	391	394	399	396	406	401
wWWD-gpfIqg	CRAZY DM HAUL ❤️ Meine Favoriten aus der Drogerie 😍 Team Harrison	2022-05-01T10:00:14Z	22	PT12M6S	227845	232624	242213	246589	250553	252533	253834	256632	8304	8471	8671	8789	8884	8925	8968	9019	227	232	238	241	248	247	249	247
67F4wWCUKTY	Übernachtung im Wildschwein-Gebiet - Apokalyptische Stimmung im Tal einer BURGRUINE	2022-05-04T16:00:07Z	22	PT19M25S	289527	352806	455269	486266	518274	532424	538362	553969	26547	30896	35309	36811	38496	39130	39565	40104	749	833	926	971	1000	1020	1031	1041
CMWLX0KXwF4	Tove Lo - No One Dies From Love (Official Music Video)	2022-05-03T17:31:05Z	10	PT4M48S	425225	523176	837546	1010628	1187953	1314239	1383287	1570947	51141	57761	72621	79206	85596	90276	92758	98553	2455	2629	3108	3331	3552	3683	3744	3944
T2OSS9mX8Io	COACHELLA OUTFITS 2022…	2022-05-04T16:18:00Z	24	PT15M21S	178342	244150	301397	321016	337277	347190	353384	364595	21455	26499	30063	31545	32893	33556	34113	34671	583	769	811	768	784	782	788	784
r5n1GCY-nYQ	iKON - '너라는 이유 (BUT YOU)' M/V	2022-05-03T09:06:30Z	10	PT3M44S	5617080	6177203	8033681	9063969	9736027	10031884	10177737	10623377	413954	422803	453613	473087	491111	500947	505957	516927	70314	74963	87516	94537	101259	105494	107874	112733
DDY6KjQCMoQ	Welcome to CLAN CAPITAL! Clash of Clans New Update!	2022-05-02T11:02:34Z	20	PT1M20S	10243159	11039644	14910813	16345118	20066168	21178548	21295911	21442254	161994	162887	165110	166649	168563	169420	169823	170720	5639	5688	5758	5812	5855	5876	5882	5907
-lYheij1EtI	ICH ESSE ALLES IN SPANIEN 🍷🇪🇸	2022-05-03T16:00:14Z	24	PT19M47S	252805	271950	288328	304546	320411	329781	333476	340210	18931	19851	20451	21269	22095	22503	22716	23003	494	516	538	548	557	560	564	574
NFUW6Vj3z_I	Floor Jansen - Unikat (from Sing Meinen Song - SDP)	2022-05-03T18:15:03Z	10	PT3M15S	76568	83888	104856	114450	123507	128195	130797	142496	4517	4745	5171	5412	5603	5696	5807	5966	460	499	556	567	581	588	594	601
ZkzNAhppysE	Gigi Hadid on Her Extremely Heavy Met Gala Dress | Met Gala 2022 With Emma Chamberlain | Vogue	2022-05-03T02:30:51Z	24	PT1M43S	2174274	2288758	2779016	3102735	3391325	3533558	3582761	3714469	68655	71558	80732	86750	91700	93998	94930	97146	804	847	963	1060	1137	1161	1185	1203
8G1VS70BdU8	die ärzte – DUNKEL (Offizielles Video)	2022-04-28T22:00:03Z	10	PT4M10S	197584	203107	223173	232108	240231	244134	246363	252175	8839	9024	9386	9567	9737	9805	9838	9911	426	430	453	461	467	467	470	473
2J9pXnhQJqM	Best and Worst Dressed Met Gala 2022 (Dirty Laundry)	2022-05-03T09:32:09Z	26	PT16M29S	325462	342618	399326	423353	439370	446778	450123	456387	6594	6851	7494	7814	8047	8163	8205	8282	788	824	915	963	982	998	1000	1011
oI_X2cMHNe0	How Electricity Actually Works	2022-04-29T13:59:54Z	27	PT24M31S	4133837	4199819	4442547	4542714	4659940	4725895	4755708	4864635	212527	215530	222945	226326	230125	232421	233587	236751	14483	14685	15187	15393	15718	15868	15980	16212
_fpxCuorKjA	Trevor Noah COMPLETE REMARKS at 2022 White House Correspondents' Dinner (C-SPAN)	2022-05-01T03:21:37Z	25	PT25M50S	3211576	3396728	4146290	4358192	4535490	4654996	4704986	4851022	66936	70607	80953	84230	86776	88373	89199	91028	9786	10227	11643	11956	12310	12491	12626	12833
mL_WNsw8Wdg	STATEMENT LENAGLAMS	2022-04-27T16:00:32Z	24	PT29M59S	257047	257997	260709	262008	263312	264169	264684	266066	3848	3865	3888	3903	3917	3926	3935	3939	1742	1755	1769	1771	1777	1783	1783	1791
6fPj6mj-M_k	XPS 13 Plus - Cleaner And Faster Than A MacBook!	2022-04-30T01:01:31Z	28	PT9M39S	1088520	1105364	1158164	1180813	1207467	1223639	1230778	1253252	47604	48042	49325	49957	50753	51153	51308	51839	3223	3253	3315	3372	3411	3429	3437	3472
