video_id	title	published_at	category_id	duration	views_1	views_2	views_3	views_4	views_5	views_6	views_7	views_8	likes_1	likes_2	likes_3	likes_4	likes_5	likes_6	likes_7	likes_8	comments_1	comments_2	comments_3	comments_4	comments_5	comments_6	comments_7	comments_8
hse_g-YZ754	Pick the Miner Queen! ⛏️ Clash of Clans Season Challenges	2022-05-01T08:00:24Z	20	PT46S	3720609	3745431	3822708	3843600	3868367	3880051	3903077	3969290	86002	86431	87836	88141	88423	88528	88604	89331	2332	2341	2368	2374	2381	2382	2383	2397
o__3fco3RxM	روتينا للدراسة في رمضان | اقضوا معنا يومنا !! 🌙	2022-04-25T18:22:31Z	24	PT9M7S	804931	811723	837035	851881	867734	887430	897043	918825	54471	54737	55558	56084	56614	57326	57738	58507	3195	3270	3332	3394	3464	3526	3612	3665
JktwRXYTDYc	50 Mystery Pools.. DONT Trust Fall into the Wrong One!	2022-04-25T05:34:28Z	24	PT9M	4571307	4590583	4708928	4790001	4869511	4907814	4923018	4988384	249734	250451	253813	256149	258471	259679	260355	262164	70546	70637	71147	71502	71835	72010	72096	72354
5O69clHm2wE	مشترياتي للعيد من شي ان 🛍 SHEIN HAUL	2022-04-29T12:30:17Z	24	PT9M25S	245312	247114	253787	257512	260727	263006	263988	266581	19886	19978	20269	20405	20549	20631	20671	20761	1474	1477	1481	1482	1479	1482	1482	1486
2_4sx92TO0Y	أقوى تحدي ممكن تشوفه في ببجي 🤯|PUBG MOBILE	2022-04-28T20:21:31Z	20	PT14M2S	3464495	3505721	3620912	3675472	3729520	3765510	3787255	3834318	542950	546301	555134	559262	563344	565872	567567	570827	18679	18718	18884	18974	19064	19102	19117	19178
m20eY8gcoMk	KIMMISO( 김미소 ) 'DROP' (Feat. BAO of XEED ) Official MV	2022-05-04T18:00:12Z	10	PT2M28S	428042	569376	879816	1031235	1152883	1234061	1274808	1385308	82084	95550	114664	123922	131903	136549	139516	144625	70162	81208	96566	105707	109762	112792	113878	116496
Lygx457WFTM	مهرجان بهواك يا ابو قلب بلاك ( كازيون كازيون ) عصام صاصا و كيمو الديب - توزيع كيمو الديب	2022-04-28T19:00:16Z	10	PT4M34S	491718	511678	564162	592237	621993	643431	656278	690981	17782	18066	18865	19276	19738	20015	20208	20631	385	386	394	398	393	396	401	403
Lsbt0bWqIjo	تحضروا معي لحفلة ذكرى زواجنا 👰🏻‍♀️	2022-04-25T17:30:02Z	26	PT10M25S	271176	273434	281476	285463	288923	292250	293548	297969	20593	20730	21101	21292	21475	21585	21652	21794	557	558	561	564	566	566	568	575
DEuiAx4r2fU	طلبت مصاري من صحابي المشاهير ! (صدمة) 😮	2022-04-24T14:00:05Z	22	PT13M7S	335902	339720	353386	360574	367501	371686	373821	379828	53859	54144	55014	55528	56035	56281	56425	56739	1060	1064	1068	1077	1081	1081	1082	1123
Do1MTPUQ1Ss	إمسك نفسك 😂 حفلة العيد مع نجوم الغناء الكوميدي	2022-04-30T19:00:05Z	23	PT8M27S	333632	339921	369150	388266	405913	416372	420861	436944	21349	21637	22812	23657	24331	24684	24901	25433	532	538	562	570	581	587	589	592
4bpbolK_3q4	El Joker - Sou2 El Cassette | سوق الكاسيت - الجوكر	2022-05-03T22:24:54Z	10	PT2M44S	326365	355775	426734	458161	483091	499343	507678	530373	41061	42612	45026	46209	47039	47428	47695	48219	3710	3881	3937	3988	4026	4040	4052	4088
jjY3LDm7AQw	(اكبر لعبة مونوبولي بفلوس حقيقية مع اليوتيوبرز (الفائز يربح 10,000 درهم	2022-05-02T18:00:27Z	22	PT15M42S	1294755	1363274	1518351	1611509	1683145	1728491	1752693	1797789	130772	135976	145063	150751	154957	157284	158626	160785	7562	7758	7672	7907	8080	8102	8150	8169
Dvbs6je5_DI	انا ازكى | الحلقة الثامنة مع نارين بيوتي	2022-04-26T18:09:49Z	24	PT17M32S	639476	642233	654376	660002	665799	670368	673060	679685	54812	54988	55564	55853	56132	56354	56531	56813	5179	5228	5298	5297	5295	5356	5365	5245
1pU2uRl5GzQ	الكبير أوي ٦ | دخول مفاجئ لأحمد مكي الحقيقي  😂🔥	2022-05-01T17:10:53Z	24	PT2M31S	1734781	1778427	1942435	2021689	2099400	2144771	2168222	2239056	28983	29612	31974	33119	34099	34717	35101	36019	546	555	602	589	593	601	601	606
Ylkq7x5gGxM	ولادي نصبو عليا👊 وأخدو فلوسي😡	2022-05-03T18:38:42Z	22	PT9M58S	81011	85905	96859	102734	107975	111622	112429	115348	6166	6474	6946	7215	7411	7535	7574	7679	292	292	292	292	310	311	347	347
SRRBKMbZmI8	عرس أختي في ايطاليا …👰🏻 أجمل عروس💞	2022-05-01T17:30:06Z	24	PT9M19S	369821	387322	434906	464035	485474	495375	500717	509131	26867	27908	30115	31642	32639	33095	33400	33721	784	800	862	892	907	913	917	919
KYw10Eie_-M	قُلۡ یَـٰعِبَادِیَ الَّذِينَ أَسْرَفُوا عَلَىٰ أَنفُسِهِمْ [ ٥٣: سورة الزُّمَرِ] | تلاوة أدهم نابلسي	2022-04-24T20:29:33Z	10	PT51S	786866	795575	839777	863375	896774	919720	929741	959556	149283	150871	157330	160670	165264	168085	169752	172768	13873	13969	14324	14560	14803	14946	15165	15338
pA3k6-ZWzBU	يا كعك العيد يا احنا يا بسكويت لما تتجمعى مع اصحابك وانتى بتعملى الكعك	2022-04-27T20:03:51Z	22	PT30M4S	217799	223630	243155	250663	258008	262446	265962	274450	12019	12145	12543	12769	12934	13050	13139	13308	631	633	671	677	683	684	684	683
QO7e_RiMVQg	Insane $100,000 Challenge!	2022-04-24T17:00:22Z	20	PT9M46S	11845926	11897918	12131174	12272609	12412299	12499751	12542552	12674693	542528	543888	548592	551535	554255	556080	557262	559918	22521	22564	22743	23098	23334	23448	23559	23029
gf5KCQX5Ons	فلوق أول يوم عيد😍!! شوفوا الفعاليات😂	2022-05-03T13:07:10Z	24	PT8M5S	267713	303441	369243	411720	431955	442470	448143	463213	16500	17865	19727	21261	21948	22267	22441	22830	623	651	710	730	744	753	759	783
6T4tUHiOeLk	"كلمة أخيرة - لميس الحديدي لـ ""نور النبوي"" : أنت ممثل علشان أبوك ممثل؟.. شاهد الرد"	2022-05-03T23:44:51Z	24	PT6M28S	97707	108993	125337	130682	139106	143641	145147	148036	1192	1270	1380	1416	1463	1496	1511	1536	125	145	162	163	165	168	168	171
YZuL90fj9V8	روبلوكس : تحولنا الى اعصار بقوة 99999 ودمرنا المدينة 🌪🏙 مع @OtakuGamer - أوتاكو قيمر	2022-04-29T14:00:28Z	20	PT27M10S	377933	385196	404908	415498	427976	433783	437955	448116	24027	24341	25149	25570	26067	26267	26448	26787	840	845	858	861	872	877	881	886
2zFD9kxQXwU	اقوى حلقة تحدي اليوتيوبر شونق ضد مودي 🔥( ما توقعت يتهاوشون كذا 😂💔)..!! Fortnite	2022-04-25T19:37:37Z	20	PT44M52S	1235256	1248809	1314132	1349909	1392659	1415400	1431218	1469940	107067	107632	110136	111589	113202	113827	114395	115499	2025	2034	2055	2063	2074	2083	2085	2105
zwrTdw8LpIg	هشام جمال و مسلم - اغنية واحدة انتحار | Hisham Gamal ft. Muslim - Wa7da Ent7ar	2022-04-20T21:00:00Z	10	PT3M1S	2195846	2253018	2427829	2543945	2667345	2760269	2817550	2978487	54920	55826	58072	59521	60876	61804	62521	64151	1560	1572	1620	1650	1666	1687	1705	1739
xRERAqW-4DM	ليلة القدر 2022 يوم الخميس 27 رمضان 1443 | تحري ليلة القدر 2022	2022-04-28T03:44:18Z	28	PT22M52S	509715	509704	510061	510203	510368	510456	510493	510611	9583	9583	9582	9582	9581	9579	9579	9578	1786	1786	1786	1786	1786	1786	1786	1786
