video_id	title	published_at	category_id	duration	views_1	views_2	views_3	views_4	views_5	views_6	views_7	views_8	likes_1	likes_2	likes_3	likes_4	likes_5	likes_6	likes_7	likes_8	comments_1	comments_2	comments_3	comments_4	comments_5	comments_6	comments_7	comments_8
1tGapyYxZ9o	JE PRÉPARE MA PORSCHE POUR LE BUDAPEST RALLY (et vous venez avec nous)	2022-05-03T16:15:00Z	2	PT26M36S	61060	62981	68207	72963	77476	79483	80167	81517	4081	4202	4410	4558	4705	4764	4790	4843	177	183	197	205	210	211	213	217
nOL7AAlBNWE	Un mois pas facile... 😓 | MONTHLY VLOG	2022-05-02T16:00:35Z	27	PT59M15S	153122	158754	176737	186359	195364	199692	201755	207331	10699	10998	11561	11915	12180	12313	12398	12523	370	384	408	416	421	427	428	434
73z14uurwO8	OM VS OL 0-3 DEBRIEF (FAUT REJOUER LE MATCH)	2022-05-01T21:14:49Z	17	PT13M27S	348359	354157	369985	374785	378342	379669	380256	381977	18797	18962	19286	19362	19422	19438	19458	19501	2547	2564	2558	2564	2564	2564	2573	2574
Hk8IbI7WXwE	UNE COÏNCIDENCE SUR 1 MILLION !	2022-04-30T13:19:37Z	24	PT47S	658062	678846	767322	807992	828467	839421	844954	869519	60567	62748	68690	71641	73031	73756	74523	75686	146	148	162	169	173	171	174	176
HcYkm5HMO-Y	VOS QUESTIONS SUR LA SORCELLERIE FEAT MYSTICS MOONS !	2022-05-01T18:00:07Z	24	PT55M9S	121723	126252	135575	139982	144497	146808	148140	151078	6783	6964	7274	7443	7652	7769	7828	7922	234	240	249	257	263	264	265	269
irmjkT-cu9I	TIK TOK M’A FAIT ACHETER ÇA ! (Chaque objet est trop cher)	2022-05-01T11:03:07Z	24	PT19M33S	2701239	2830141	3148891	3283435	3395065	3460116	3490881	3599295	287626	297963	315762	324739	332584	336457	339330	345084	2106	2173	2245	2299	2343	2368	2389	2417
xYKfGcXhpww	Et tout le monde s'en fout #80 - TEASER -	2022-05-03T15:30:07Z	1	PT27S	22348	23484	27073	28716	30262	31191	31617	32640	1779	1836	1987	2057	2101	2132	2156	2177	61	63	75	78	80	80	80	82
01vtM9g8Abo	Ce magicien s'est fait démasquer	2022-05-02T09:00:00Z	24	PT33S	193775	195463	274715	322295	357365	374194	381975	404252	16765	17046	23870	26432	27438	27654	27775	27985	31	31	50	55	60	61	61	62
Ujaa3ar4hCA	Jnr Choi, Russ Millions, G Herbo - TO THE MOON (Video) ft Fivio Foreign, M24, Sam Tompkins	2022-04-29T14:00:11Z	10	PT3M45S	1179558	1252513	1572696	1717304	1849853	1940817	1991106	2148903	61367	63973	72682	76230	79431	81528	82658	85607	2165	2218	2416	2567	2693	2794	2866	2956
DqHzY0Ye4Rg	Redha Jr - Les différentes façons de jouer aux DOMINOS 🥲 🇫🇷🇯🇵🇩🇿	2022-04-29T17:25:30Z	23	PT29S	545299	570416	620148	648841	675873	685382	690468	709441	51144	53581	57475	60125	62485	63328	64083	65379	505	522	561	580	591	597	604	626
