video_id	title	published_at	category_id	duration	views_1	views_2	views_3	views_4	views_5	views_6	views_7	views_8	likes_1	likes_2	likes_3	likes_4	likes_5	likes_6	likes_7	likes_8	comments_1	comments_2	comments_3	comments_4	comments_5	comments_6	comments_7	comments_8
XdUoiEVccdo	Ronnie O'Sullivan Makes It Seven World Titles | Eurosport Snooker	2022-05-02T20:07:20Z	17	PT16M38S	1001009	1031430	1148979	1217544	1290639	1322105	1337386	1373845	11462	11746	12560	13021	13499	13703	13833	14053	1046	1056	1104	1130	1144	1160	1171	1182
hse_g-YZ754	Pick the Miner Queen! ⛏️ Clash of Clans Season Challenges	2022-05-01T08:00:24Z	20	PT46S	3720415	3745431	3822597	3843508	3868320	3880051	3902999	3969238	85999	86430	87835	88141	88422	88528	88604	89329	2332	2341	2368	2374	2381	2382	2383	2397
AAp-2L682Jg	So I Coded Pacman In Minecraft...	2022-04-30T14:19:23Z	20	PT13M31S	1866942	1924396	2213008	2353875	2449568	2493958	2513659	2566024	138657	141239	149680	153514	156474	157702	158364	159761	4870	4926	5168	5267	5367	5412	5450	5492
5ED4m-4zw14	Stars Of Hit Netflix Drama 'Heartstopper' Kit Connor & Joe Locke On Making Olivia Colman Cry | TM	2022-04-28T10:20:21Z	24	PT9M53S	644084	654429	693195	717749	748671	768931	778618	809410	48294	49014	50999	52372	53894	54880	55438	56871	None	None	None	None	None	None	None	None
i-qaw_coIsw	Judd Trump Pulls Hilarious Trick On Referee Ben Williams | 2022 Betfred World Championship	2022-04-27T12:20:18Z	17	PT46S	460181	472842	516108	540276	557187	568107	573256	585990	4282	4377	4585	4664	4751	4810	4834	4879	392	402	418	428	433	436	437	440
IkWhSslf7d8	Benedict Cumberbatch Tries to Talk Doctor Strange in the Multiverse of Madness Without Spoiling It	2022-05-04T04:12:06Z	23	PT8M37S	413248	480217	614564	688875	763116	800953	813419	845425	16018	17826	21511	23801	26049	27158	27586	28439	582	619	679	729	756	770	779	789
a_0PSZ2S_yw	Overwatch 2 a Pathetic Preview	2022-05-01T17:15:01Z	20	PT4M24S	3581123	3619942	3783481	3855332	3933535	4003169	4029439	4126174	213530	215198	220413	222960	225393	227899	228998	232176	12367	12467	12718	12872	13026	13184	13247	13469
acMC7bTVcY8	[EPISODE] ‘That That (prod. & ft. SUGA of BTS)’ MV Shoot Sketch - BTS (방탄소년단)	2022-05-04T10:00:05Z	10	PT7M38S	3498898	3916704	4876184	5299822	5717665	5929522	6065831	6391869	705240	753300	843618	877168	910419	926731	936367	958476	20816	21628	22243	22596	22947	23155	23250	23452
Ujaa3ar4hCA	Jnr Choi, Russ Millions, G Herbo - TO THE MOON (Video) ft Fivio Foreign, M24, Sam Tompkins	2022-04-29T14:00:11Z	10	PT3M45S	1179558	1252513	1572696	1717304	1849853	1940817	1991106	2148903	61372	63975	72682	76231	79432	81528	82659	85607	2165	2218	2419	2567	2693	2794	2866	2956
FgSX-RZeXQU	Turning $0 Account into $1000 Account in 24 Hours	2022-04-30T17:45:00Z	20	PT8M2S	1107001	1123978	1215985	1258799	1298798	1318439	1326985	1358044	25498	25910	27197	27854	28503	28819	29007	29430	2214	2227	2265	2307	2351	2369	2380	2379
