video_id	title	published_at	category_id	duration	views_1	views_2	views_3	views_4	views_5	views_6	views_7	views_8	likes_1	likes_2	likes_3	likes_4	likes_5	likes_6	likes_7	likes_8	comments_1	comments_2	comments_3	comments_4	comments_5	comments_6	comments_7	comments_8
_LzE_yWxdqo	wait for it… 😱🤣 #shorts	2022-04-30T17:20:53Z	24	PT22S	10671381	10944809	10994713	11007679	11012603	11086235	11186739	11662585	456585	461159	462455	462945	463197	465065	466902	476572	548	551	551	554	558	561	563	570
oq3XzVsARVQ	Alessandro Orsini e Matteo Salvini - cartabianca 03/05/2022	2022-05-04T14:45:51Z	25	PT41M32S	215137	287769	451172	544209	644227	702122	735959	808474	3400	4111	5978	7306	8618	9201	9643	10263	2053	2492	3330	3742	4188	4395	4514	4669
EgtAN-7VzxM	BOTTINO GIGANTE DI MINERALI IN MINIERA NELLA VITA IN CITTÀ 2! - MINECRAFT Ep.32	2022-05-02T11:30:02Z	20	PT33M45S	277816	281867	288643	292425	294989	296226	296806	298234	20833	20988	21191	21309	21383	21414	21431	21465	1118	1121	1122	1106	1106	1106	1107	1108
r_RcQ5959t8	Pagate il Free Refill e poi Riempitevi una Tanica Gratis - Detto Fatto Ep.38 - theShow	2022-05-04T12:00:34Z	24	PT23M43S	318587	381748	484623	542256	590189	617412	632346	664634	25972	29404	34225	37016	39667	40763	41739	42813	785	866	971	1014	1067	1081	1091	1105
uswbU5yGcTs	Ligabue - Non cambierei questa vita con nessun'altra (Official video)	2022-05-03T22:00:31Z	10	PT3M45S	94164	107928	142536	166113	186475	197111	206074	223914	3832	4146	4556	4813	5014	5126	5219	5354	219	243	270	292	306	316	326	336
f60fpQMIdxA	Clementino - Radio Black Pulcinella	2022-05-02T12:00:17Z	10	PT22M42S	63938	69497	84048	94746	103787	110308	114865	123964	4830	5065	5614	6023	6355	6603	6771	7035	458	467	500	528	550	560	572	578
8le_FFz1-uI	Perisic-Lautaro: Udinese-Inter 1-2 | Serie A TIM | DAZN Highlights	2022-05-01T21:00:12Z	17	PT3M26S	382740	383671	386944	387984	388808	389065	389187	389530	4508	4526	4566	4581	4591	4595	4597	4597	560	561	561	557	558	558	558	558
XdLZrfFiajw	"NO WAY HOME, la follia di Tom Cruise e i @The Jackal - ""Come Ca**o Hanno Fatto?""⎮ Slim Dogs"	2022-04-29T12:00:16Z	24	PT27M45S	152248	155938	165827	171050	176380	179347	181253	184247	11966	12117	12478	12663	12888	12976	13058	13143	254	255	265	270	273	273	277	280
sVL1qeIXXBg	L’AMICIZIA TRA MASCHIO E FEMMINA ESISTE?	2022-05-04T12:50:22Z	20	PT38S	59957	72526	119877	205360	335873	389488	414066	472052	6004	6983	11539	19862	30993	34774	37383	41323	140	157	215	356	574	683	736	880
Afmz_B-ZhcE	Nunzio vince grazie a Francesca Tocca 😂 | Reaction Serale Amici 2022 ep.6	2022-04-30T09:32:09Z	24	PT47M57S	170512	173595	182813	187903	191514	193666	194717	197330	7298	7361	7471	7545	7613	7652	7676	7705	429	436	444	447	447	448	449	449
e-euwzBU7yc	Paranoia	2022-04-28T22:02:39Z	10	PT3M3S	370935	384593	417040	439817	463667	481614	495149	524801	20831	20990	21289	21513	21750	21904	22034	22239	0	0	0	0	0	0	0	0
