video_id	title	published_at	category_id	duration	views_1	views_2	views_3	views_4	views_5	views_6	views_7	views_8	likes_1	likes_2	likes_3	likes_4	likes_5	likes_6	likes_7	likes_8	comments_1	comments_2	comments_3	comments_4	comments_5	comments_6	comments_7	comments_8
6q2cMTpUEOQ	Я не бурятка, я русская!	2022-04-14T08:17:03Z	25	PT32S	3770503	3778406	3816759	3846542	3879745	3907751	3933036	3995739	170858	171321	173034	174461	175948	177129	178320	180494	10292	10320	10403	10460	10548	10597	10648	10734
SgflG4TzZNY	ТОЙХАНА | 2 маусым | 1 СЕРИЯ	2022-04-18T12:00:13Z	24	PT24M43S	418730	421255	427236	431042	437572	440913	444702	450734	7384	7397	7460	7498	7576	7615	7672	7748	332	332	334	335	335	337	338	341
p82YhXuWios	Зеленский СОРВАЛСЯ на пресс-конференции в метро Киева	2022-04-23T17:59:53Z	22	PT3M42S	1531691	1532951	1535880	1537763	1539985	1541702	1542469	1543677	16825	16831	16846	16862	16880	16887	16898	16912	None	None	None	None	None	None	None	None
tw9WfyAOt0g	Большое интервью акима Алматинской области Каната Бозумбаева	2022-04-26T01:00:11Z	22	PT1H37M28S	72613	73033	74081	74452	74953	75211	75382	75734	1621	1627	1644	1649	1658	1656	1659	1667	633	635	641	643	643	643	643	644
lVabp2pq2pM	NURBULLIN - СЕЗІНУ	2022-04-29T15:24:59Z	24	PT3M14S	103497	110148	131047	142726	160164	170350	178799	197046	2192	2246	2392	2496	2599	2678	2731	2818	240	242	254	257	259	262	265	271
bKHCTG_nwoU	Пробуем ЛЮБИМУЮ еду СУПЕРГЕРОЕВ	2022-04-28T12:00:15Z	24	PT31M54S	1460472	1488126	1544699	1578282	1612322	1629094	1646925	1679013	109529	110879	113284	114906	116557	117412	118430	119743	4281	4204	4249	4317	4356	4379	4402	4442
-iWBCjdrknE	Дау-дамайсыз: 34 жаста хат танымайды, ал баласын мектепке алмай жатыр...	2022-04-29T14:45:00Z	24	PT23M10S	110225	111931	115471	117203	119104	120337	121241	122836	1646	1673	1709	1725	1751	1769	1775	1793	478	481	492	494	508	512	515	519
OISqNAdTvFc	Түнгі бардакты жақсы көремін | Sadraddin | TALK LIKE	2022-04-22T12:00:12Z	22	PT1H1M42S	138256	138946	140838	141969	143455	144404	145081	146219	3355	3375	3408	3428	3455	3492	3505	3530	265	265	265	266	268	270	271	273
qmyMg504otQ	БРАВЛ ТОЛК НА РУССКОМ! ДЖАНЕТ И БОННИ НОВЫЕ БРАВЛЕРЫ! НОВЫЕ ГАДЖЕТЫ! НОВЫЕ СКИНЫ BRAWL STARS	2022-04-23T15:09:15Z	20	PT20M36S	1027433	1030385	1037684	1042433	1049099	1052874	1056542	1061998	57793	57855	58002	58099	58257	58347	58426	58532	4177	4180	4184	4182	4195	4202	4206	4209
z2JmKR_STSw	Brawl Stars: Brawl Talk - 2 Brawlers, Bot Drop Game Mode, Sprays, and MORE!	2022-04-23T15:00:13Z	20	PT6M44S	10442081	10450371	10475210	10492899	10512745	10523431	10530833	10549723	538489	538629	539013	539282	539536	539658	539743	539992	29968	29977	29981	30005	30049	30058	30066	30076
xTiwEJNlTzM	Amre (Бүркіт) -  Осы музыка ұнайды [OFFICIAL AUDIO]	2022-04-04T20:45:10Z	10	PT3M3S	3683413	3715436	3810351	3867689	3950726	3993291	4037409	4123113	32837	32914	33144	33325	33511	33664	33765	33958	6538	6549	6567	6582	6616	6632	6642	6670
