video_id	title	published_at	category_id	duration	views_1	views_2	views_3	views_4	views_5	views_6	views_7	views_8	likes_1	likes_2	likes_3	likes_4	likes_5	likes_6	likes_7	likes_8	comments_1	comments_2	comments_3	comments_4	comments_5	comments_6	comments_7	comments_8
zyNUr4LWfoc	No one has seen my real face	2022-04-28T13:22:04Z	1	PT19M21S	10692900	10830646	11431005	11722448	12009190	12149738	12220035	12462498	361819	364821	376567	382155	387596	390241	391576	396214	20206	20343	20809	21042	21224	21327	21386	21588
OrJ4rPSlrlI	Last City in Europe with No Laws	2022-05-01T17:00:01Z	24	PT16M44S	1153743	1218688	1497717	1646763	1775906	1860338	1899312	2046250	56426	58696	65741	69175	72153	74046	75184	77956	2510	2615	2946	3192	3376	3518	3614	3870
bh4pXQZjs_4	VI TESTAR ALLA KORVSTÄLLEN I STOCKHOLM	2022-05-01T07:00:19Z	23	PT13M45S	172889	178131	189378	196999	202655	206203	208179	212701	7256	7389	7576	7692	7803	7875	7909	7957	469	475	484	486	491	493	497	501
hD1YtmKXNb4	$10,000 Every Day You Survive Prison	2022-04-09T20:00:00Z	24	PT13M59S	46356226	46637602	48196254	48876760	49651390	50677944	51041254	52457671	2559482	2569924	2609181	2629086	2653088	2683507	2697784	2730428	120190	120701	123368	125804	127647	129072	129860	131384
f-eK1cgzGF8	Annie Lööf tar hänsyn till islamister - Jimmie Åkesson i debatt om korankravallerna	2022-05-03T07:00:44Z	24	PT8M1S	61971	64534	74786	82699	89780	95250	97330	102891	1612	1654	1766	1863	1952	2011	2047	2100	276	282	300	315	315	357	361	378
zIJEOEZdLzE	Alesso - Words (Feat. Zara Larsson) [Official Music Video]	2022-04-22T04:00:18Z	10	PT2M23S	2869784	2950512	3230190	3388593	3555396	3675739	3756745	3980717	106835	109094	115744	119562	123271	125915	127689	131570	2049	2070	2130	2178	2215	2255	2266	2304
1zHVe3NIZpw	"MÄN (OCH KVINNOR) PÅ TINDER.... ""älskar naturen"""	2022-04-28T17:00:02Z	23	PT13M27S	25961	26180	26832	27184	27443	27634	27746	28362	1781	1792	1827	1844	1860	1869	1880	1905	71	71	74	74	74	75	75	78
J7D3r5Q2paY	NI HAR INTE ENS BUSSAR I ERAN STAD! *GISSA STADEN*	2022-05-01T17:00:34Z	23	PT47M12S	112020	115341	124203	129448	133423	135686	136972	139586	4938	5032	5194	5317	5404	5460	5499	5533	201	204	209	217	221	223	227	230
7cK1a9C7nlg	I gave MrBeast a REAL LIGHTSABER and caused a DISASTER!	2022-04-30T16:00:03Z	28	PT12M32S	4605551	4927998	6218630	6823513	7292772	7533136	7610870	7881698	239473	250213	275670	287706	298414	304147	306575	312347	5087	5159	5446	5717	6029	6106	6149	6216
n49er3bE7ww	JAG GILLAR INTE BILAR PÅ ELMIA...	2022-04-24T08:56:19Z	2	PT31M57S	49426	50029	51052	51596	52099	52384	52587	53008	1359	1373	1390	1397	1405	1408	1413	1420	61	64	69	73	75	77	77	77
epuGc-ptWmc	VI HAR KÖPT ETT NYTT HEM	2022-04-24T18:16:18Z	22	PT28M20S	178950	179891	182183	183548	184674	185152	185456	186061	4391	4398	4419	4438	4450	4453	4459	4463	184	184	189	191	193	195	195	194
9Q71C4IsbZE	dyeing my hair and doing a HUGE MAKEOVER	2022-05-01T15:00:04Z	24	PT21M29S	694972	706327	742752	758231	772604	781372	785164	796371	65815	66736	68766	69810	70685	71182	71518	72071	3006	3044	3120	3160	3198	3221	3231	3260
a_0PSZ2S_yw	Overwatch 2 a Pathetic Preview	2022-05-01T17:15:01Z	20	PT4M24S	3581379	3619942	3783481	3855332	3933535	4003169	4029439	4126216	213536	215203	220415	222961	225394	227899	229001	232177	12367	12467	12720	12872	13026	13184	13247	13469
S_nyiXUMzdc	SIDEMEN GAME OF LIFE IN REAL LIFE	2022-05-01T20:27:31Z	24	PT1H16M24S	5587532	5681884	5964042	6097810	6214670	6269444	6295292	6364421	260128	262897	269312	272941	276281	277725	278583	280297	6349	6376	6456	6514	6535	6564	6580	6595
bIGDhqY6KpE	How to PROPERLY Install a Quick Release Steering Wheel (with Working Horn)	2022-04-29T01:00:14Z	2	PT27M1S	1011714	1027207	1086046	1114533	1145361	1164638	1174263	1204368	52705	53257	54606	55341	56151	56621	56890	57560	3020	3047	3128	3178	3212	3250	3262	3300
9qRxNYuR2c4	Dictator's Dilemma (Full Episode) | North Korea: Inside the Mind of a Dictator	2022-04-30T11:59:46Z	24	PT44M24S	1988347	2256597	3402010	3926992	4443147	4724811	4829720	5245313	38597	44108	60884	68311	75172	79026	80855	85682	3512	3887	5049	5587	6034	6320	6429	6718
QO7e_RiMVQg	Insane $100,000 Challenge!	2022-04-24T17:00:22Z	20	PT9M46S	11845553	11897918	12130422	12272609	12411980	12499751	12542161	12674600	542523	543884	548590	551533	554249	556078	557255	559913	22520	22564	22743	23098	23334	23448	23559	23029
bmjWoPZE_R0	VI TÄVLAR OM 1000KR i fotbollsgolf. (jag stukar foten)	2022-05-04T16:00:01Z	22	PT15M57S	13297	16351	20399	21455	22264	22698	23034	23869	869	993	1101	1138	1173	1190	1202	1229	44	44	44	44	44	44	44	56
VIB-S8p16wM	"Han skulle bara ""doppa snoppen""... | VLOGG"	2022-04-17T15:29:23Z	22	PT22M3S	400979	401827	404027	405528	407520	408732	409644	411239	9396	9401	9422	9442	9492	9508	9525	9548	568	569	574	577	579	572	580	581
FcmUNlgld74	Johnny Depp's friend gets emotional talking about Amber Heard	2022-04-14T17:15:00Z	25	PT5M37S	11556546	11689985	12204305	12422680	12650488	12775481	12852115	13019992	163960	165625	171456	174247	176992	178518	179486	181339	11489	11566	11911	12061	12176	12251	12307	12429
QQSHT3faRdk	TESTAR INFLUENCERS MÄRKEN MED PAPPA	2022-04-23T06:00:05Z	22	PT19M9S	56785	57019	57573	57822	57968	58087	58154	58275	1306	1310	1320	1327	1330	1331	1332	1333	77	76	81	82	84	82	84	85
1D3GO4ovibY	SPENDERAR 12 TIMMAR PÅ TUNNELBANAN..	2022-04-29T13:00:24Z	22	PT14M15S	50467	51579	53579	54663	55684	56258	56519	57140	4804	4920	5047	5139	5200	5244	5274	5316	88	91	92	93	100	102	102	104
jcGrTvgarD0	Koenigsegg JESKO ABSOLUT! The FULL STORY: Factory Tour and First Ride | WHERE'S SHMEE Part 26	2022-04-28T17:00:20Z	2	PT44M1S	444393	453303	483878	497745	512325	521479	525857	536629	18604	18910	19615	19906	20213	20401	20502	20684	1207	1220	1244	1252	1269	1278	1286	1293
hJMmweWlDL0	He got Banned from America!	2022-04-28T00:38:14Z	23	PT14M58S	2770959	2781068	2853185	2886154	2923278	2947122	2952981	2989688	145637	146095	147645	148381	149177	149720	149932	150725	4370	4377	4409	4429	4448	4463	4471	4508
OpOvMwkGL18	LAST TO TALK WINS $10,000	2022-05-04T23:43:44Z	22	PT13M15S	2166173	3277431	5793830	6858866	7652639	8033825	8119366	8395477	87400	121554	163925	184185	196352	202331	203626	206946	7001	7948	9982	10827	11667	12133	12314	12643
DDY6KjQCMoQ	Welcome to CLAN CAPITAL! Clash of Clans New Update!	2022-05-02T11:02:34Z	20	PT1M20S	10243159	11040810	14910813	16346886	20066168	21178548	21295911	21442344	161999	162890	165114	166651	168569	169424	169825	170720	5639	5688	5758	5812	5855	5876	5882	5907
oI_X2cMHNe0	How Electricity Actually Works	2022-04-29T13:59:54Z	27	PT24M31S	4134237	4199819	4443223	4542714	4660185	4725895	4755947	4864706	212544	215551	222953	226333	230132	232423	233591	236754	14484	14680	15187	15393	15718	15869	15980	16212
mkAxVJKdFis	OLYMPIADEN FÖR OTRÄNADE 30-ÅRINGAR	2022-04-30T06:00:09Z	17	PT52M16S	30371	32261	38975	41529	43871	45467	46555	50112	1407	1469	1561	1607	1661	1694	1719	1768	65	68	71	75	85	88	93	97
pG_as7YjJQs	BESTÄLLER ALLT VI SER PÅ WISH	2022-04-24T07:00:17Z	23	PT10M34S	203396	205006	208181	210799	213528	215318	216641	219015	8092	8127	8168	8212	8275	8312	8348	8381	409	409	412	414	422	417	423	425
eV_Ki30MDDA	I know what the hell I'm talking about! - Shaquille O'Neal 🤝 #shorts	2022-04-21T21:30:05Z	17	PT40S	8627826	8715064	9248023	9572402	9926345	10171194	10269147	10624215	820976	829956	873076	900445	927967	946652	954573	981671	1835	1869	1985	2071	2139	2200	2218	2304
wah9KtOUWRk	MIN BREVBÄRARE SER UT SOM MIG! *GISSA BLATTEN*	2022-04-24T17:00:29Z	23	PT51M44S	195214	196982	201408	204206	206559	208123	209093	211452	5098	5129	5176	5208	5239	5258	5280	5306	182	185	187	190	191	182	195	197
_fpxCuorKjA	Trevor Noah COMPLETE REMARKS at 2022 White House Correspondents' Dinner (C-SPAN)	2022-05-01T03:21:37Z	25	PT25M50S	3213351	3399955	4147708	4358192	4535858	4655382	4705414	4851022	66955	70624	80964	84236	86780	88375	89206	91030	9789	10227	11643	11956	12310	12493	12626	12833
vg7ZVaBkpWU	HUR MYCKET ___ ÄR DÖDLIGT?	2022-04-29T09:00:24Z	24	PT7M11S	46573	47218	49013	50023	50962	51512	51798	52476	2006	2027	2063	2090	2116	2133	2142	2153	333	336	342	344	347	349	353	353
TkTaadb9GmM	Johnny Depp Amber Heard trial: Depp's friend makes court laugh	2022-04-14T09:46:40Z	25	PT4M13S	16366157	16439151	16729140	16836203	16974649	17053434	17095175	17200088	239977	240854	243764	244986	246831	247757	248248	249343	10502	10521	10611	10661	10721	10758	10781	10935
epUFyHCLlWg	Felix Recenserar - 10 000 timmar	2022-04-28T17:08:36Z	23	PT24M51S	46524	47976	52013	54501	57076	59040	59785	61651	2678	2757	2908	2986	3097	3184	3220	3275	250	251	222	224	231	239	240	242
FIRQSAwF0bI	Turning Ice into a Diamond 🧊💎 #shorts	2022-05-01T21:05:06Z	26	PT57S	4051413	4408205	6186745	7335323	9086574	10675712	11862304	15191704	552172	607089	848486	998773	1200874	1377315	1504610	1790646	1130	1201	1544	1763	2021	2279	2449	2763
DmKpePzn5-c	6IX9INE - GINÉ (Official Music Video)	2022-04-15T19:02:20Z	10	PT2M21S	19407980	19476971	19767476	19985533	20162694	20286512	20352384	20582163	914068	915263	919207	921580	924262	926000	927091	930038	90142	90230	90511	90586	90800	90957	91141	91396
UZeqLhuugQ4	VEM FAN BAR RUNT MIG?	2022-05-02T12:04:41Z	1	PT13M27S	73206	75826	84711	91284	97017	99610	101191	103852	1787	1827	1885	1935	1978	2004	2020	2029	44	44	52	53	55	56	57	59
