video_id	title	published_at	category_id	duration	views_1	views_2	views_3	views_4	views_5	views_6	views_7	views_8	likes_1	likes_2	likes_3	likes_4	likes_5	likes_6	likes_7	likes_8	comments_1	comments_2	comments_3	comments_4	comments_5	comments_6	comments_7	comments_8
M1DIfhAzsWA	Божевільні шабаші на росії. Бандерівці захопили ЦРУ, а шпіони підняли ціни росіянам	2022-05-03T10:07:45Z	22	PT10M49S	694295	706156	734092	744982	748810	751085	752486	754796	69863	70614	71593	72153	72340	72454	72523	72607	6003	6065	5032	5018	5018	5023	5027	5026
SUwKZfzqxHo	Хроніки інформаційної війни | Перемогти РФ	2022-05-01T08:15:37Z	25	PT12M2S	1179123	1195333	1292406	1332656	1367438	1380404	1388085	1398467	19121	19278	20140	20408	20638	20702	20742	20794	2259	2266	2300	2316	2329	2341	2349	2333
q-Z4ks7N9lA	КАБИНЕТ ПУТЕШЕСТВЕННИКА! НОВИНКА 2022! 1 СЕРИЯ! ЛУЧШИЕ СЕРИАЛЫ 2022. СЕРИАЛЫ 2022	2022-04-30T18:00:12Z	1	PT44M25S	206819	215627	242230	255763	271561	279921	283573	291594	1075	1103	1167	1203	1246	1258	1269	1277	69	69	71	71	71	71	73	77
iJLPcmKqJl0	INSTASAMKA - СНОВА? (prod. realmoneyken)	2022-04-21T21:00:19Z	10	PT2M9S	2104452	2155724	2260872	2334505	2433110	2488639	2537519	2632129	42107	42591	43632	44390	45689	46352	46903	47829	3874	3943	4014	4170	4003	4116	4166	4280
RM5UOyi8W9g	#МОНТЯН В ЭФИРЕ: Восемь лет спустя… 😔	2022-05-02T18:20:55Z	22	PT2H4M40S	1268845	1275762	1296372	1307547	1323159	1330136			58540	58642	58818	58965	59147	59220			5133	5162	4839	4825	4848	4851		
bKHCTG_nwoU	Пробуем ЛЮБИМУЮ еду СУПЕРГЕРОЕВ	2022-04-28T12:00:15Z	24	PT31M54S	1460472	1488126	1544699	1578282	1612322	1629094	1646925	1679013	109532	110879	113286	114908	116558	117412	118430	119745	4281	4204	4249	4317	4356	4379	4402	4442
RqMxClvspj8	#МОНТЯН В ЭФИРЕ: Тихий вторник? 🤔	2022-05-03T17:37:11Z	22	PT1H6M17S	1135070	1149331	1161960	1165616	1169562	1171789			48397	48496	48324	48306	48321	48315			3373	3409	3300	3321	3327	3321		
btOCT2xcdmA	Фашистское государство Россия	2022-04-27T09:21:05Z	25	PT2M38S	1844708	1855466	1891844	1903889	1916154	1923267	1926988	1931128	71929	72090	72550	72650	72755	72785	72807	72804	10542	10561	10621	10622	10621	10625	10625	10413
oekocb7Boik	Невзоров. Пропаганда, Страх, мобилизация, парад и очень хороший совет Путину к 9 мая.	2022-05-01T16:00:10Z	25	PT12M26S	2057273	2078028	2149945	2177961	2198997	2207683	2212988	2218020	183942	184859	187176	188057	188598	188762	188850	188875	12465	12633	13028	13202	13230	13253	13271	13154
AeNvZiUFBiQ	Сьогодні вперше M270 MLRS відпрацювали по окупантах	2022-04-28T15:02:40Z	25	PT25S	2129328	2132375	2140819	2142242	2145167	2146548	2147439	2148463	36868	36911	36996	36994	37000	36999	36994	36990	4225	4226	4228	4230	4225	4228	4230	4225
t4-Vf6L63Js	День семидесятый. Беседа с @Alexey Arestovych Алексей Арестович	2022-05-04T21:05:53Z	25	PT30M21S	1649526	1791498	1891481	1901680	1906406	1909042	1909485	1912521	272666	279891	307145	306533	306453	306385	306323	306175	4187	4635	4698	4703	4459	4457	4465	4446
dTA54srFoI4	Lp. Идеальный МИР #2 ЖИВЫЕ ЛЮДИ • Майнкрафт	2022-05-02T12:00:30Z	20	PT17M8S	1061026	1086406	1137647	1158629	1176915	1189404	1200766	1213799	136882	138504	141421	142506	143588	144358	145082	145702	5269	5283	5320	5330	5338	5349	5360	5372
kKREoXVEA_8	Что прячут в гаражах звёзды? ФИЗРУК и МИХАЛЫЧ	2022-04-26T17:20:12Z	22	PT28M40S	2142139	2151478	2176698	2188338	2201027	2208584	2215717	2230016	83517	83768	84277	84500	84763	84932	85116	85330	1865	1869	1877	1884	1893	1897	1900	1903
z2JmKR_STSw	Brawl Stars: Brawl Talk - 2 Brawlers, Bot Drop Game Mode, Sprays, and MORE!	2022-04-23T15:00:13Z	20	PT6M44S	10442138	10450371	10475210	10492899	10512813	10523431	10530833	10549723	538490	538629	539013	539282	539536	539658	539744	539992	29968	29977	29981	30005	30049	30058	30066	30076
W-bDXp11_yU	GULHAR (गुल्हर) | Trailer | Bhargavi Chirmuley | Madhav Abhyankar | Ramesh Chaudhari | 6th May 2022	2022-04-25T04:00:11Z	24	PT3M10S	420403	421023	421653	422654	423710	424083	424422	424937	289	298	343	370	388	393	399	416	26	26	27	27	27	27	27	28
zy_bIL9W8EA	DANTES: ворог росії, Харків, розлучення з Дорофєєвою | СЛАВА+	2022-04-23T10:30:19Z	24	PT24M36S	412070	414754	421102	424467	428935	432345	434327	438454	8773	8829	8901	8958	9011	9051	9087	9155	726	728	734	735	738	739	741	743
Q5dqdK_oCDY	Пропаганда побеждает? Россияне о войне	2022-04-28T12:03:03Z	25	PT13M25S	1624676	1663236	1758355	1781669	1813168	1827963	1836776	1869124	72689	73424	75068	75465	76040	76323	76496	77003	16559	16862	17447	17609	17875	17984	18056	18212
mhgTPzD7thY	Українська армія звільнила Руську Лозову на Харківщині: людей евакуювали	2022-04-30T13:50:53Z	25	PT3M35S	81871	82385	84361	84734	85180	85348	85478	85632	2177	2184	2222	2227	2232	2234	2238	2238	142	151	152	152	152	152	153	153
