XdUoiEVccdo	1046	1056	1104	1130	1144
hse_g-YZ754	2332	2341	2368	2374	2381
AAp-2L682Jg	4870	4926	5168	5267	5367
5ED4m-4zw14	None	None	None	None	None
i-qaw_coIsw	392	402	418	428	433
IkWhSslf7d8	582	619	679	729	756
a_0PSZ2S_yw	12367	12467	12718	12872	13026
acMC7bTVcY8	20816	21628	22243	22596	22947
Ujaa3ar4hCA	2165	2218	2419	2567	2693
FgSX-RZeXQU	2214	2227	2265	2307	2351
SoVLr7A4Q7k	212	212	214	219	221
CMWLX0KXwF4	2454	2629	3108	3331	3552
nxn0lmYArXg	652	657	663	671	682
F4Z0GHWHe60	0	0	0	0	0
cU4CuA5dFz4	822	834	848	856	860
Nq3x1AkwgpY	7909	8759	10253	10761	11215
s-MoeONH5Ug	4795	4811	4879	4904	4934
VMJPHqwv41U	3878	3996	4310	4427	4476
SNL1828hKIQ	1683	1725	1816	1848	1895
IRyvDZzXGEs	1345	1355	1385	1400	1422
gRDJH0ba64c	783	796	814	840	852
N3f7OLt-WvY	2734	2759	2814	2842	2861
qqAxQ9yVa5A	4745	4799	4977	5050	5124
eQS0iayRgQU	364	364	364	364	364
6lcVtR-zHuI	172	172	178	181	181
_fpxCuorKjA	9788	10227	11643	11956	12310
6fPj6mj-M_k	3223	3253	3322	3372	3411
ql1YDUYWTmg	347	347	354	356	356
BkBkxM2MOmw	4948	4998	5218	5339	5449
wBo8hqRd92Q	1403	1441	1521	1586	1621
T4tcZAduiVk	1045	1060	1085	1097	1110
JyXpzxRr_T0	1014	1026	1080	1106	1148
bG19b06NG_w	1189	1223	1317	1402	1484
OXbQx2hfA5k	2113	2118	2137	2144	2151
h5AKZrG1khI	742	747	779	782	787
IFQczCt-oSY	4097	4105	4126	4108	4117
XzZGOrCn0gQ	3594	3602	3665	3690	3726
_bdxSvIh7-A	1042	1044	1059	1069	1076
wZiPs0vqFFU	1062	1092	1136	1160	1205
vVXqB3WbzM0	240	241	243	245	245
Q33XE_ksUCU	14942	15111	15884	16091	16318
PbRZcvVnF0w	4667	4813	5586	6105	6405
JKOdGQAfAIc	780	797	857	905	940
p9ImTMnUK0Q	1897	1964	2267	2459	2684
KCNhjF-MzYg	5399	5580	5631	5702	5752
NP0mOzGPAmg	701	701	703	703	703
3iLXOp3TbiU	1376	1378	1377	1377	1376
Ajn-PTtBOn4	4248	4347	4692	4959	5206
7RcXq-8cOac	201	201	268	267	293
_WE89vjfcBI	2373	2401	2456	2482	2500
jeVqPpWlPxg	63159	65743	69493	71171	72861
Oxyo2sK_jVk	2235	2257	2341	2398	2463
neELJuq4yTI	None	None	None	None	None
VS4QQPFw5uI	2706	2845	3221	3325	3445
3yvVjrVpzws	1650	1790	1942	2042	2102
YxwOYl5Ar-c	1785	1791	1822	1836	1859
0uGjlJAUVN4	1724	1729	1771	1790	1805
hiE6RIPe6U4	883	900	967	1035	1083
iH8mWNKM8xU	3284	3934	4693	4822	5024
exMTvet57Ew	2670	2717	2849	2926	2964
a5gbT7Uo5qY	5270	5655	6597	6912	7203
AmWcgZVpbGw	801	803	808	812	814
yb4kLSp-Us8	3300	3327	3424	3472	3511
wInET75QqWc	2749	2763	2817	2844	2860
mMTubwgXTFw	869	914	1004	1124	1223
CdzGHBUEMY8	7133	7219	7438	7476	7556
0HPKKFugajE	5500	5538	5660	5710	5741
QlZjtudjVD0	4599	4600	4609	4614	4612
NlXYiUDyhkg	1448	1513	1830	1971	2085
xaS3waWZm2c	1397	1422	1391	1404	1416
xk2NXsveacg	465	470	478	481	486
tCOaHMeZ6ow	3718	3740	3774	3791	3794
665iGAG-ZqU	9843	9935	10163	10266	10330
dsUz1eG15k0	2093	2098	2115	2127	2139
-b7l4TmWMQg	1751	1773	1821	1865	1888
n6WwfSGj31E	2302	2352	2467	2561	2656
lXx_w6mZrWA	1367	1367	1316	1317	1309
GI5Ly4hco2k	557	570	705	762	800
_7oxJxSB4tQ	151	154	173	183	184
OHUsPiXfcfM	40542	40680	41142	41311	41454
HLLofrwRlBg	3005	3027	3147	3236	3302
oHVD8Kvztj8	901	947	826	830	834
gUyz3dXZ4M4	420	423	441	450	459
jf2lyUMr1xQ	4586	5030	5223	5204	5216
vg6Iq_Es3Wk	21597	22016	22898	23580	24058
SekELztG4LU	3760	4111	5402	6451	6940
QizGkU3HuOs	None	None	None	None	None
mkH7rVb6V68	10857	10864	10881	10892	10902
oSwZ_BckDvc	19178	19573	20238	20851	21344
VUXTzIxvtrk	1498	1567	1812	1936	2039
IYOQi5caOME	1736	1793	1861	1906	1932
AQbmpecxS2w	3426	3650	4210	4594	5000
3l04R6SEtBY	15401	15440	15522	15549	15552
fBothcgu0Lo	1711	1734	1779	1787	1800
64qgJAVbHL8	226	230	243	255	265
8Z1hVuzU5ac	2199	2217	2402	2480	2432
c0wUKCekI34	3244	3293	3435	3494	3569
P5j-DvILc9E	11792	11999	12338	12494	12603
cOFuEQEvC3E	5234	5261	5293	5294	5314
oDH4AKMG16I	3241	3250	3230	3275	3283
W6CXEbFGn-I	587	589	589	592	594
FBeSKL9zVro	5342	5512	5887	6050	6219
ZoPJVcHYlU0	None	None	None	None	None
WosblHoWh1g	13345	13420	13579	13673	13800
tvMukfKu95w	1713	1743	1768	1775	1781
OvureZfa7AI	467	478	504	521	535
xf3OzncHmfE	15743	15870	16355	16600	16796
eT_k9JG0IN4	292	315	349	385	471
0XwlWXtpaCM	18115	18480	19669	20245	20677
pQuk3t2aeBo	5917	5944	6159	6229	6284
MaaHpMY51oc	2117	2143	2269	2338	2358
SUdHzKRiBX8	5256	5402	5748	5930	6167
_8Wn3vl-U3I	284	284	287	290	290
sCAluJdxOCI	2422	2518	2703	2840	2980
L-QNituOKHk	734	739	768	774	785
ZQ4E0JJcxz0	9258	9306	9590	9687	9789
kZdhnDmr0w4	3751	3774	3898	3959	4022
dmBvnY4rKHg	9250	9289	9358	9399	9425
YzPNIG1nJ8I	1755	1836	1972	2008	2015
Yx3K3g4CtoQ	12178	12470	13136	13290	13353
0O19jrfqG_w	480	492	596	586	587
l0Xw6NMlRQ4	2435	2618	2843	2895	2931
uFzuRm3wCDk	3085	3122	3247	3295	3364
HG4tYKI7qBo	2826	2830	2850	2862	2867
_GY0NgIrsAw	1107	1115	1131	1130	1139
-4CDUUCtmxg	1678	1713	1790	1825	1865
dztw13yqZQg	1494	1497	1534	1545	1553
H1hDzq98WIY	3889	3971	4131	4208	4289
JCqqojm7I1U	1735	1867	2115	2229	2337
lyJqXb8Nj-I	1830	1883	2015	2081	2166
3-ZKlNOonB8	1739	1760	1830	1889	1952
n1khwOk5dN8	15738	15878	16743	17027	17408
VQeW62X8rEA	301	319	367	381	411
ECqZp53MSes	4163	4174	4210	4229	4263
CvUiD3RUP2k	715	718	720	726	732
txXIEosA36g	6005	6042	6220	6290	6377
zpqrCaSw3DM	9648	9686	9789	9854	9942
Kcg8l5IQgjo	8210	8285	8505	8615	8713
WylC30nOvAs	3318	3363	3639	3839	3984
lJ8PdLpbcd8	4619	4685	5008	5122	5193
6cpqybFgy2k	7374	7382	7435	7446	7453
WgdABWxoAB4	6606	6804	7410	7622	7760
MH2RusnlnlA	742	756	785	792	802
Gg3RFw0249I	214	223	238	246	250
sdk5KHP20Co	1011	1035	1165	1218	1266
1nLnR8yK_BA	5413	5481	5766	5962	6109
heayyMyhSGU	1108	1136	1262	1356	1429
w7yAu-uNT7o	1033	1053	1104	1124	1158
CA1VHbdq5hY	1908	1947	2052	2091	2159
8dJyRm2jJ-U	337353	340359	352220	356722	360852
xCjgsA89mXM	772	779	788	794	797
qOY8F_ngNWI	4520	4582	5421	5537	5637
viTSMbstk8E	140	142	156	167	175
j1AuFXa_g0o	4996	5275	6551	7520	8462
dEbVfBJMoRI	2239	2259	2331	2423	2466
