XdUoiEVccdo	1046	1056	1104	1130	1144	1160
hse_g-YZ754	2332	2341	2368	2374	2381	2382
AAp-2L682Jg	4870	4926	5168	5267	5367	5412
5ED4m-4zw14	None	None	None	None	None	None
i-qaw_coIsw	392	402	418	428	433	436
IkWhSslf7d8	582	619	679	729	756	770
a_0PSZ2S_yw	12367	12467	12718	12872	13026	13184
acMC7bTVcY8	20816	21628	22243	22596	22947	23155
Ujaa3ar4hCA	2165	2218	2419	2567	2693	2794
FgSX-RZeXQU	2214	2227	2265	2307	2351	2369
SoVLr7A4Q7k	212	212	214	219	221	219
CMWLX0KXwF4	2454	2629	3108	3331	3552	3683
nxn0lmYArXg	652	657	663	671	682	692
F4Z0GHWHe60	0	0	0	0	0	0
cU4CuA5dFz4	822	834	848	856	860	862
Nq3x1AkwgpY	7909	8759	10253	10761	11215	11490
s-MoeONH5Ug	4795	4811	4879	4904	4934	4959
VMJPHqwv41U	3878	3996	4310	4427	4476	4537
SNL1828hKIQ	1683	1725	1816	1848	1895	1928
IRyvDZzXGEs	1345	1355	1385	1400	1422	1433
gRDJH0ba64c	783	796	814	840	852	856
N3f7OLt-WvY	2734	2759	2814	2842	2861	2877
qqAxQ9yVa5A	4745	4799	4977	5050	5124	5171
eQS0iayRgQU	364	364	364	364	364	364
6lcVtR-zHuI	172	172	178	181	181	181
_fpxCuorKjA	9788	10227	11643	11956	12310	12493
6fPj6mj-M_k	3223	3253	3322	3372	3411	3429
ql1YDUYWTmg	347	347	354	356	356	355
BkBkxM2MOmw	4948	4998	5218	5339	5449	5499
wBo8hqRd92Q	1403	1441	1521	1586	1621	1637
T4tcZAduiVk	1045	1060	1085	1097	1110	1124
JyXpzxRr_T0	1014	1026	1080	1106	1148	1172
bG19b06NG_w	1189	1223	1317	1402	1484	1520
OXbQx2hfA5k	2113	2118	2137	2144	2151	2154
h5AKZrG1khI	742	747	779	782	787	796
IFQczCt-oSY	4097	4105	4126	4108	4117	4125
XzZGOrCn0gQ	3594	3602	3665	3690	3726	3735
_bdxSvIh7-A	1042	1044	1059	1069	1076	1076
wZiPs0vqFFU	1062	1092	1136	1160	1205	1221
vVXqB3WbzM0	240	241	243	245	245	245
Q33XE_ksUCU	14942	15111	15884	16091	16318	16496
PbRZcvVnF0w	4667	4813	5586	6105	6405	6618
JKOdGQAfAIc	780	797	857	905	940	961
p9ImTMnUK0Q	1897	1964	2267	2459	2684	2781
KCNhjF-MzYg	5399	5580	5631	5702	5752	5779
NP0mOzGPAmg	701	701	703	703	703	698
3iLXOp3TbiU	1376	1378	1377	1377	1376	1372
Ajn-PTtBOn4	4248	4347	4692	4959	5206	5345
7RcXq-8cOac	201	201	268	267	293	295
_WE89vjfcBI	2373	2401	2456	2482	2500	2515
jeVqPpWlPxg	63159	65743	69493	71171	72861	73726
Oxyo2sK_jVk	2235	2257	2341	2398	2463	2490
neELJuq4yTI	None	None	None	None	None	None
VS4QQPFw5uI	2706	2845	3221	3325	3445	3496
3yvVjrVpzws	1650	1790	1942	2042	2102	2116
YxwOYl5Ar-c	1785	1791	1822	1836	1859	1872
0uGjlJAUVN4	1724	1729	1771	1790	1805	1809
hiE6RIPe6U4	883	900	967	1035	1083	1100
iH8mWNKM8xU	3284	3934	4693	4822	5024	5102
exMTvet57Ew	2670	2717	2849	2926	2964	2982
a5gbT7Uo5qY	5270	5655	6597	6912	7203	7365
AmWcgZVpbGw	801	803	808	812	814	814
yb4kLSp-Us8	3300	3327	3424	3472	3511	3545
wInET75QqWc	2749	2763	2817	2844	2860	2865
mMTubwgXTFw	869	914	1004	1124	1223	1297
CdzGHBUEMY8	7133	7219	7438	7476	7556	7577
0HPKKFugajE	5500	5538	5660	5710	5741	5770
QlZjtudjVD0	4599	4600	4609	4614	4612	4613
NlXYiUDyhkg	1448	1513	1830	1971	2085	2139
xaS3waWZm2c	1397	1422	1391	1404	1416	1422
xk2NXsveacg	465	470	478	481	486	489
tCOaHMeZ6ow	3718	3740	3774	3791	3794	3824
665iGAG-ZqU	9843	9935	10163	10266	10330	10407
dsUz1eG15k0	2093	2098	2115	2127	2139	2148
-b7l4TmWMQg	1751	1773	1821	1865	1888	1921
n6WwfSGj31E	2302	2352	2467	2561	2656	2708
lXx_w6mZrWA	1367	1367	1316	1317	1309	1311
GI5Ly4hco2k	557	570	705	762	800	830
_7oxJxSB4tQ	151	154	173	183	184	188
OHUsPiXfcfM	40542	40680	41142	41311	41454	41554
HLLofrwRlBg	3005	3027	3147	3236	3302	3338
oHVD8Kvztj8	901	947	826	830	834	836
gUyz3dXZ4M4	420	423	441	450	459	466
jf2lyUMr1xQ	4586	5030	5223	5204	5216	5224
vg6Iq_Es3Wk	21597	22016	22898	23580	24058	24284
SekELztG4LU	3760	4111	5402	6451	6940	7151
QizGkU3HuOs	None	None	None	None	None	None
mkH7rVb6V68	10857	10864	10881	10892	10902	10913
oSwZ_BckDvc	19178	19573	20238	20851	21344	21583
VUXTzIxvtrk	1498	1567	1812	1936	2039	2165
IYOQi5caOME	1736	1793	1861	1906	1932	1950
AQbmpecxS2w	3426	3650	4210	4594	5000	5215
3l04R6SEtBY	15401	15440	15522	15549	15552	15573
fBothcgu0Lo	1711	1734	1779	1787	1800	1807
64qgJAVbHL8	226	230	243	255	265	272
8Z1hVuzU5ac	2199	2217	2402	2480	2432	2465
c0wUKCekI34	3244	3293	3435	3494	3569	3630
P5j-DvILc9E	11792	11999	12338	12494	12603	12745
cOFuEQEvC3E	5234	5261	5293	5294	5314	5334
oDH4AKMG16I	3241	3250	3230	3275	3283	3280
W6CXEbFGn-I	587	589	589	592	594	594
FBeSKL9zVro	5342	5512	5887	6050	6219	6294
ZoPJVcHYlU0	None	None	None	None	None	None
WosblHoWh1g	13345	13420	13579	13673	13800	13839
tvMukfKu95w	1713	1743	1768	1775	1781	1786
OvureZfa7AI	467	478	504	521	535	539
xf3OzncHmfE	15743	15870	16355	16600	16796	16883
eT_k9JG0IN4	292	315	349	385	471	525
0XwlWXtpaCM	18115	18480	19669	20245	20677	20843
pQuk3t2aeBo	5917	5944	6159	6229	6284	6321
MaaHpMY51oc	2117	2143	2269	2338	2358	2377
SUdHzKRiBX8	5256	5402	5748	5930	6167	6355
_8Wn3vl-U3I	284	284	287	290	290	290
sCAluJdxOCI	2422	2518	2703	2840	2980	3053
L-QNituOKHk	734	739	768	774	785	791
ZQ4E0JJcxz0	9258	9306	9590	9687	9789	9841
kZdhnDmr0w4	3751	3774	3898	3959	4022	4082
dmBvnY4rKHg	9250	9289	9358	9399	9425	9439
YzPNIG1nJ8I	1755	1836	1972	2008	2015	2036
Yx3K3g4CtoQ	12178	12470	13136	13290	13353	13397
0O19jrfqG_w	480	492	596	586	587	515
l0Xw6NMlRQ4	2435	2618	2843	2895	2931	2971
uFzuRm3wCDk	3085	3122	3247	3295	3364	3409
HG4tYKI7qBo	2826	2830	2850	2862	2867	2868
_GY0NgIrsAw	1107	1115	1131	1130	1139	1144
-4CDUUCtmxg	1678	1713	1790	1825	1865	1893
dztw13yqZQg	1494	1497	1534	1545	1553	1558
H1hDzq98WIY	3889	3971	4131	4208	4289	4346
JCqqojm7I1U	1735	1867	2115	2229	2337	2375
lyJqXb8Nj-I	1830	1883	2015	2081	2166	2192
3-ZKlNOonB8	1739	1760	1830	1889	1952	1981
n1khwOk5dN8	15738	15878	16743	17027	17408	17783
VQeW62X8rEA	301	319	367	381	411	429
ECqZp53MSes	4163	4174	4210	4229	4263	4258
CvUiD3RUP2k	715	718	720	726	732	735
txXIEosA36g	6005	6042	6220	6290	6377	6440
zpqrCaSw3DM	9648	9686	9789	9854	9942	9988
Kcg8l5IQgjo	8210	8285	8505	8615	8713	8759
WylC30nOvAs	3318	3363	3639	3839	3984	4060
lJ8PdLpbcd8	4619	4685	5008	5122	5193	5240
6cpqybFgy2k	7374	7382	7435	7446	7453	7456
WgdABWxoAB4	6606	6804	7410	7622	7760	7843
MH2RusnlnlA	742	756	785	792	802	807
Gg3RFw0249I	214	223	238	246	250	251
sdk5KHP20Co	1011	1035	1165	1218	1266	1304
1nLnR8yK_BA	5413	5481	5766	5962	6109	6198
heayyMyhSGU	1108	1136	1262	1356	1429	1486
w7yAu-uNT7o	1033	1053	1104	1124	1158	1173
CA1VHbdq5hY	1908	1947	2052	2091	2159	2205
8dJyRm2jJ-U	337353	340359	352220	356722	360852	363322
xCjgsA89mXM	772	779	788	794	797	797
qOY8F_ngNWI	4520	4582	5421	5537	5637	5682
viTSMbstk8E	140	142	156	167	175	179
j1AuFXa_g0o	4996	5275	6551	7520	8462	8897
dEbVfBJMoRI	2239	2259	2331	2423	2466	2486
2n5GKLdrTfk	1794	1826	1926	1960	2018	2047
Snr1T9872B4	585	600	630	646	654	662
zlwVZTtR0zQ	837	837	862	862	871	871
f-FKuLKPZ_o	1763	1776	1806	1814	1827	1838
HD6_0c8Fgnk	1083	1164	1212	1208	1212	1211
_iz5_DuY_II	9176	9424	9945	10554	10843	11037
gSPbrmIpcy0	2308	2355	2536	2762	3087	3319
fV5NzrTmqZM	5742	5813	5966	6040	6083	6124
pY5O1u2gK7Q	18388	18554	18930	19165	19387	19409
U46SdfBAGNg	974	988	1050	1075	1113	1127
7LjwkTx--O8	4072	4105	4225	4292	4324	4355
IhZ41e1gzAY	2339	2366	2373	2375	2376	2377
7OPg-ksxZ4Y	11173	11476	12367	12918	13501	13710
kg7_6afHYDA	271	275	283	288	301	304
EUcvdGfGEj0	12697	12771	12965	13082	13168	13241
7l6L5wFfsLU	10480	10527	10691	10775	10837	10887
T9F0jnh4Rak	3256	3293	3356	3399	3416	3426
RO_XCj8lkqo	881	887	903	910	919	916
pkOdmGzEucE	10342	10377	10543	10716	10805	10843
3Yh_6_zItPU	16417	17128	18023	18331	18639	18872
kBArlifCKgo	1659	1705	1734	1746	1767	1773
z8a5-W9aeSI	3190	3256	3346	3396	3431	3449
l3aWuWZL8x0	1253	1256	1258	1223	1224	1225
_dEb_xBr_Mk	1017	1026	1064	1085	1099	1113
S6hedDGVOGE	9888	10201	11065	11544	11988	12145
ItZ4SlxpOiI	1429	1481	1635	1796	1935	2048
ONj9cvHCado	None	None	None	None	None	None
WHQncEyyP6I	388	391	408	411	422	426
RTTNXES9L44	340	340	343	343	344	344
egU5k2_lYbo	847	888	923	930	943	948
PwLH7QJGXLc	1055	1056	1063	1066	1067	1067
DtQycgMD4HQ	10330	10452	10852	11034	11271	11415
QXBWp0KXp0o	623	623	629	633	634	636
0iL0B-02b5M	8186	8263	8908	9593	10107	10260
PJkTt9rxLtQ	2307	2308	2311	2318	2324	2326
QUXYYx4YCIo	3171	3197	3279	3304	3331	3355
mGBshW61EC0	3012	3099	3378	3574	3707	3777
ijS_orLb6VU	5284	5322	5563	5689	6095	6179
ZTpRsEp-_04	4938	4985	5223	5327	5438	5500
g8SVsEgrygY	1138	1155	1206	1216	1227	1246
dDtLZ-l_ItE	3137	3183	3283	3308	3334	3367
OH11BCYwD_A	1446	1462	1511	1536	1548	1561
mR1BGC_S8xo	975	976	982	988	995	1001
HpcMKZUs2QY	10537	10570	10683	10736	10833	10873
v5M8TjxCu9w	3481	3487	3506	3522	3538	3549
