_LzE_yWxdqo	548	551	551	554	558	561
oq3XzVsARVQ	2053	2492	3330	3742	4188	4395
EgtAN-7VzxM	1118	1121	1122	1106	1106	1106
r_RcQ5959t8	785	866	971	1014	1067	1081
uswbU5yGcTs	219	243	270	292	306	316
f60fpQMIdxA	458	467	500	528	550	560
8le_FFz1-uI	560	561	561	557	558	558
XdLZrfFiajw	254	255	265	270	273	273
sVL1qeIXXBg	140	157	215	356	574	683
Afmz_B-ZhcE	429	436	444	447	447	448
e-euwzBU7yc	0	0	0	0	0	0
t4-Vf6L63Js	4185	4635	4698	4703	4459	4457
bFeC5UBtLZs	3272	4112	4740	4858	4943	4994
64Yh8JkGuqc	1783	1801	1846	1868	1888	1896
4pnc9F_bc7Y	628	629	634	640	646	651
1sPPxTwkcno	522	528	536	540	544	544
wt8gNb3tSEU	325	333	333	355	364	367
_JPsTvnc43U	304	307	310	313	313	313
r5n1GCY-nYQ	70327	75032	87517	94540	101277	105495
DDY6KjQCMoQ	5639	5688	5758	5812	5855	5876
ZkzNAhppysE	804	847	963	1065	1137	1161
uBDxPRi0OoU	785	976	1475	1636	1909	2012
LqtwJRgAo7c	43	47	54	61	65	69
RKLuD3zPi_s	240	243	247	249	252	254
iPyxXX1EOmI	1080	1152	1221	1250	1258	1279
wgqPKrU8Z54	726	784	835	845	867	869
u8bRv8VHePQ	351	360	392	412	421	426
nEc-uwLVOCg	225	232	241	246	251	255
qo-NO-bFfzE	57	56	56	52	52	52
E4eUX_KJYDQ	475	475	475	478	478	478
ONAfRcquz_k	25	25	29	29	30	30
g88DHXCtEzw	45	48	70	80	92	102
CXYAxBwGVaY	155	160	165	179	181	182
0rsIRMbNLxI	268	304	354	363	381	393
TW5K4u6IZq8	244	248	249	249	252	254
kA81LzzdDGw	4483	5004	5482	5566	5639	5665
K8SYEIBmSPg	5466	5480	5332	5344	5352	5354
P6Ps7MYB2bI	529	552	598	614	615	617
m96Tk1IeqPc	110	112	116	117	118	115
nyEL4gEuC8g	390	395	348	358	362	366
PcFC-Eek0E4	318	328	347	361	369	372
9MhICC9iSkM	113	125	130	131	130	132
Shgz5SkFqH4	594	607	623	635	645	653
3w9LY_7oKiI	357	382	419	458	486	516
W6fPYXJ-Zro	1752	1770	1802	1816	1841	1849
0B9GbMDZC6k	92	109	138	158	166	177
l58K4N4QECs	470	481	490	515	533	540
7P2xj3j5RWc	259	261	275	280	284	285
OZkvm0wem0s	1137	1294	1366	1366	1371	1379
fFFGdJCy7Sc	None	None	None	None	None	None
uGzDKU7gxho	3498	3545	3544	3545	3539	3530
Klmparbq4hQ	24913	25017	25217	25401	25577	25660
WQbb2PBBVNM	216	220	222	225	227	227
jeVqPpWlPxg	63154	65808	69485	71179	72854	73726
xwkdFxYbdDE	350	355	362	371	382	385
a8DssxNUIU0	371	378	445	545	637	683
TVzPx7geWY4	0	0	0	0	0	0
q7qpAhPAyag	750	822	968	1027	1074	1106
d9RkYL35MJE	438	455	475	483	490	494
iH8mWNKM8xU	3285	3934	4693	4823	5024	5102
JrcBrCSZbZ0	1263	1448	1657	1739	1765	1777
5Z3ZC3Xqo4g	143	166	181	None	None	None
oO2A5dHzeIc	735	746	772	785	799	809
JMdr5imKtPk	0	0	0	0	0	0
a2-KCKHTrC8	0	0	0	0	0	0
L7D8PKNsZ3Y	None	None	None	None	None	None
TPoMuSdbL90	1380	1397	1435	1476	1512	1525
BMRUFaqTMlI	853	855	857	860	865	866
kY5UcheqBg4	1074	1090	1113	1148	1167	1174
WIjyPNvlKcY	2412	2450	2531	2566	2623	2643
VOy-koBLg98	719	968	1102	1100	1116	1119
-Q-ZpoATlpI	429	471	480	531	559	574
cUbzWjNqtmo	6051	6356	6515	6578	6704	6761
MOifIuOhBiA	5622	5683	5428	5361	5307	5289
WhIfGDvXghQ	175	178	183	189	191	191
mD2iDUoCxt0	816	854	924	946	975	990
5BiMGHyv3WI	62	63	74	76	78	79
4vbDFu0PUew	58736	59710	62672	64867	67579	68535
scZgPT3h4uY	1078	1097	1123	1141	1168	1170
_HlOyG1HxEI	221	231	233	233	234	234
DuDmanjlXLo	0	0	0	0	0	0
3_zu-BUdywI	66	82	96	100	0
PozSoxA1HtY	342	350	387	423	439	447
0ue7A9x_K5Q	1093	1158	1306	1392	1430	1445
aa6NTDLX5Og	229	230	239	245	247	248
6eN_roYUYQU	610	618	663	688	711	722
x-e-Erg5irA	3948	4412	5052	5175	5234	5295
Q0HtPG3mGwM	1037	1047	1071	1107	1139	1158
iW6PL6cOVT0	None	None	None	None	None	None
jkD9prp1Ii4	730	755	818	857	906	939
9Rrn7O9UZ7Q	280	300	351	381	398	411
