r4Cb5nj4VgI	194	197
XdUoiEVccdo	1046	1056
OrJ4rPSlrlI	2513	2618
z3vJM8AOvvQ	572	574
2RguRRYnqlU	340	340
3MCr2hsmLBE	30	30
7cK1a9C7nlg	5087	5147
HzKJeQIX78k	52	54
KvbrhBGeQss	513	515
_A6QcoZwRpI	441	448
Vcwhe0pY4Bg	2314	2336
a_0PSZ2S_yw	12367	12460
lxZJqTudlf8	1236	1243
QO7e_RiMVQg	22521	22560
FcmUNlgld74	11489	11563
3Nv99SKbpKU	497	496
z2JmKR_STSw	29969	29977
OpOvMwkGL18	6980	7943
DDY6KjQCMoQ	5639	5688
Im9bpJY_NRs	860	869
M3iYFWMATyg	1429	1466
jVn_rRlP29w	454	463
DxJNeHoCl9M	317	318
2J9pXnhQJqM	788	824
DgyBl_gexIM	344	346
oI_X2cMHNe0	14484	14685
CTQ0TYi5_CE	None	None
eV_Ki30MDDA	1835	1869
I1KoMDjBGFw	583	587
_fpxCuorKjA	9783	10227
xS68bBDwRXg	302	305
V231U4jWvDY	116	116
gRl0LJyG92Q	356	433
FIRQSAwF0bI	1130	1201
QmUuITayBSY	256	261
zQDDKSzdD14	315	315
Hpv4f6NuAqw	647	648
coazyyuVn8Q	52	54
JyXpzxRr_T0	1014	1026
j-AoXqu9EUo	221	233
_dpIwwI86ss	4449	4471
P6Ps7MYB2bI	529	552
C37nK27J70U	3543	3865
EsSsgFzMVwI	2557	2560
tgB1wUcmbbw	66760	66799
URwwo3xyFQA	3367	3385
iBRvV0MMY28	33	42
S7oMM6o96UU	5027	5063
F0fMoqY9qI0	5974	5994
3SpV9KhFkDo	58	59
W-ZTiWVFlzU	None	None
YWyouWrkbwg	181	184
TUbq7dOIWfc	167	169
ofzAHuarLQQ	1661	1695
E3j8JJxoNZM	28	28
-tRyveYrHWc	502	510
8G01PAw2SdY	221	225
jeVqPpWlPxg	63145	65760
FfsjGlFNb6k	144	144
-KKBtdYW9Uc	710	731
V7xkf4EIyys	563	572
o2uWu55clG8	1482	1506
BcZutcrwspM	811	813
tn79OFbPwKE	20911	20976
iH8mWNKM8xU	3283	3931
rjKuq25a0L8	413	414
RirNNYeHfBc	962	968
eBe4TySsONo	1135	1136
0HPKKFugajE	5500	5538
1yuTJMFGxEw	54496	55658
8TF1lDvl8To	721	765
m77uOIO8oZc	393	396
nWvCC170AhQ	360	364
zPOYkJsrewU	7159	7217
oF0tQiRA_Po	263	265
cUbzWjNqtmo	6049	6356
OPLNn0EWRak	339	345
