r4Cb5nj4VgI	194	197	203	203
XdUoiEVccdo	1046	1056	1104	1130
OrJ4rPSlrlI	2513	2618	2946	3192
z3vJM8AOvvQ	572	574	579	585
2RguRRYnqlU	340	340	342	343
3MCr2hsmLBE	30	30	63	65
7cK1a9C7nlg	5087	5147	5446	5717
HzKJeQIX78k	52	54	63	71
KvbrhBGeQss	513	515	523	528
_A6QcoZwRpI	441	448	470	479
Vcwhe0pY4Bg	2314	2336	2399	2457
a_0PSZ2S_yw	12367	12460	12718	12870
lxZJqTudlf8	1236	1243	1255	1262
QO7e_RiMVQg	22521	22560	22743	23098
FcmUNlgld74	11489	11563	11911	12061
3Nv99SKbpKU	497	496	505	506
z2JmKR_STSw	29969	29977	29981	30004
OpOvMwkGL18	6980	7943	9981	10826
DDY6KjQCMoQ	5639	5688	5758	5812
Im9bpJY_NRs	860	869	900	918
M3iYFWMATyg	1429	1466	1520	1536
jVn_rRlP29w	454	463	481	484
DxJNeHoCl9M	317	318	321	324
2J9pXnhQJqM	788	824	915	963
DgyBl_gexIM	344	346	350	358
oI_X2cMHNe0	14484	14685	15187	15393
CTQ0TYi5_CE	None	None	None	None
eV_Ki30MDDA	1835	1869	1985	2071
I1KoMDjBGFw	583	587	581	587
_fpxCuorKjA	9783	10227	11643	11956
xS68bBDwRXg	302	305	309	312
V231U4jWvDY	116	116	123	127
gRl0LJyG92Q	356	433	554	606
FIRQSAwF0bI	1130	1201	1543	1763
QmUuITayBSY	256	261	272	272
zQDDKSzdD14	315	315	322	325
Hpv4f6NuAqw	647	648	658	661
coazyyuVn8Q	52	54	56	61
JyXpzxRr_T0	1014	1026	1080	1106
j-AoXqu9EUo	221	233	255	261
_dpIwwI86ss	4449	4471	4503	4507
P6Ps7MYB2bI	529	552	598	612
C37nK27J70U	3543	3865	4500	4717
EsSsgFzMVwI	2557	2560	2571	2577
tgB1wUcmbbw	66760	66799	66935	67018
URwwo3xyFQA	3367	3385	3420	3446
iBRvV0MMY28	33	42	50	50
S7oMM6o96UU	5027	5063	5225	5300
F0fMoqY9qI0	5974	5994	6027	6048
3SpV9KhFkDo	58	59	67	68
W-ZTiWVFlzU	None	None	None	None
YWyouWrkbwg	181	184	194	194
TUbq7dOIWfc	167	169	173	173
ofzAHuarLQQ	1661	1695	1819	1864
E3j8JJxoNZM	28	28	30	30
-tRyveYrHWc	502	510	545	561
8G01PAw2SdY	221	225	243	253
jeVqPpWlPxg	63145	65760	69482	71172
FfsjGlFNb6k	144	144	153	156
-KKBtdYW9Uc	710	731	754	758
V7xkf4EIyys	563	572	603	611
o2uWu55clG8	1482	1506	1530	1544
BcZutcrwspM	811	813	815	815
tn79OFbPwKE	20911	20976	21196	21384
iH8mWNKM8xU	3283	3931	4693	4822
rjKuq25a0L8	413	414	423	430
RirNNYeHfBc	962	968	980	987
eBe4TySsONo	1135	1136	1145	1148
0HPKKFugajE	5500	5538	5660	5710
1yuTJMFGxEw	54496	55658	58025	59174
8TF1lDvl8To	721	765	826	855
m77uOIO8oZc	393	396	400	403
nWvCC170AhQ	360	364	366	370
zPOYkJsrewU	7159	7217	7391	7495
oF0tQiRA_Po	263	265	267	268
cUbzWjNqtmo	6049	6356	6515	6578
OPLNn0EWRak	339	345	348	350
8xfSL0XLRtQ	11769	12018	12920	13212
DmQ4Dqxs0HI	7349	7428	7795	7977
TYAPatpXmYU	136	135	135	136
t0A9T9odIng	131	134	135	146
4vbDFu0PUew	58731	59709	62684	64869
W6aKUbzrf7Q	263	266	267	268
-b7l4TmWMQg	1751	1773	1821	1865
4DzpgwcGM-A	724	726	732	736
0_E-aG_bISM	1112	1246	1318	1326
iE3G6JwkSzM	241	237	244	248
xmGetpBKsJM	127	128	128	131
QZ3pBoEAFmo	231	231	234	238
vL0yww9nk9o	6615	6639	6660	6666
CU-gFup1N6g	299	301	303	308
QGae78sWVSw	13793	14800	16865	17479
kJQ3FkvUB20	5292	5301	5322	5341
mkH7rVb6V68	10857	10864	10881	10892
oSwZ_BckDvc	19178	19567	20238	20851
v17J6GbtvKY	8706	8717	8752	8786
llWDmKfTf4Q	32	32	32	32
AQbmpecxS2w	3426	3648	4210	4594
p6sCsOdqXQw	12613	12819	13393	13646
Z_MvkyuOJgk	13918	14027	14351	14499
AGdN0M3qvRQ	671	674	687	688
C99p_XDjnzM	3352	3355	3364	3368
EMENtBGB2oI	299	304	340	351
yvMFw-RPw24	84	84	85	86
AMt2USIyHxo	None	None	None	None
7JYWvFXxrtc	66	68	72	76
GGY2mPQwN7c	3000	3036	3110	3155
gcrbbm1M5_E	748	751	752	752
IV3dnLzthDA	32446	32614	33138	33450
5ns4cNiEPEU	112	113	117	117
EOWTHZasKjY	201	201	206	209
v2PeasiG_bE	96	95	99	101
ZoPJVcHYlU0	None	None	None	None
8uiUz_IUkpo	7907	8134	8816	9169
qrQlFeRhh_M	127	128	139	144
eHDO_lT2mVU	555	556	556	558
pQuk3t2aeBo	5917	5944	6159	6229
SUdHzKRiBX8	5256	5403	5748	5930
v8lSnWpX2HY	172	175	185	192
L-QNituOKHk	734	739	768	774
rDDg8yh8_Zo	406	414	426	435
vjhbxxTYkpw	3845	4314	4758	4827
ZQ4E0JJcxz0	9258	9306	9590	9687
pirYs7L4xog	4597	4646	4756	4832
Az0qpaULe44	120	123	130	133
uFzuRm3wCDk	3085	3122	3247	3295
O--o-O-ABBw	18100	22108	31870	37737
DqWPQqfRod0	44	44	45	45
6kolTgj7uQc	1265	1274	1344	1363
-4CDUUCtmxg	1678	1713	1790	1825
VGmTO5DRxII	25700	25795	26256	26523
7sKmkddKo7c	30	31	32	32
w1eENwQOp_c	3972	4006	4076	4221
JF8UziDHqZo	5899	6093	6501	6583
lyJqXb8Nj-I	1830	1883	2015	2081
sk9zxDrY_Cs	336	373	389	391
n1khwOk5dN8	15738	15878	16743	17027
X4tkpScTVIE	230	231	233	237
DUqcrdEZopY	4563	4587	4751	4842
_cW5UCUv2zU	1364	1377	1420	1444
m5KR5mVWtmQ	116	116	116	116
QYh5gWwZnCM	130	132	131	134
faFYKeUd6HE	39	39	44	46
3RUUYE9oRaQ	190	191	200	205
2ktrhIVfRws	892	892	892	892
OJ2B4Fb7xQQ	6922	7161	7915	8335
ByffdoApIuc	195	202	208	209
3h0_EKfgxuY	149	148	158	162
Sd0cUVU2CzE	238	240	259	263
yEP7GgzSgUs	156	156	158	162
c0AOEQAvZWk	14009	14012	14005	13997
Vt-WpdbwIek	1940	1944	1951	1955
w0Hpsc89KpI	18	18	18	18
plevxo4Enps	539	539	546	551
44UFVI6lTYE	293	303	315	302
8dJyRm2jJ-U	337347	340356	352218	356719
41-nd7dmjFc	51	52	51	52
qOY8F_ngNWI	4520	4582	5421	5537
kUb-hQsTdMY	282	284	289	297
tOoqe7gj3eo	280	282	286	290
dEbVfBJMoRI	2239	2259	2331	2423
2n5GKLdrTfk	1794	1826	1926	1960
pnCIQDuO6rE	9303	9388	9707	9877
5CZ7BDolNaA	244	249	253	254
V3C4pWwDqps	34489	34512	34586	34640
HD6_0c8Fgnk	1081	1164	1212	1208
_iz5_DuY_II	9176	9424	9943	10554
bbNj0atVOzw	None	None	None	None
KYOsPUantFM	15575	15582	15612	15620
JyP4errAatk	61	62	66	68
DApcnbjG5io	1153	1173	1199	1232
_3qcta4fo6Q	488	501	513	528
7OPg-ksxZ4Y	11171	11476	12367	12918
Q_R5azC1xUI	1435	1447	1464	1463
Xl9u1XTGkis	2707	2769	2997	3132
wpV7OXr7JYo	12854	12984	13215	13289
YLYKyDs6jWg	76	82	93	93
3Yh_6_zItPU	16418	17128	18027	18327
Vr5Ph5nOdgg	198	201	211	213
kBArlifCKgo	1659	1705	1734	1746
t3TiuCbgWMQ	142	142	147	150
u79EjaUsHBc	99	102	108	108
52TijrkrNGY	220	219	226	226
-lf-tobZ54I	506	510	517	519
UST5N5fgLV8	790	793	799	803
zkxokq6qiGw	68	66	74	75
g9g9Y3BgYMQ	16585	16828	16523	16514
ONj9cvHCado	None	None	None	None
UT6svFVQY4g	91	92	97	101
RQtMWyUV4zU	89	89	92	93
JqD2OxWQYMk	3378	3391	3439	3471
5YZ02LC7SUM	438	444	438	440
V2ANgnLDIQw	25	28	43	50
oTw8AECmUNA	24185	24263	24657	24910
vYHaQ_oD3No	1195	1336	1416	1421
IO0s9JzR4So	91	93	102	108
mR1BGC_S8xo	975	976	982	988
6N22wYwItDs	1624	1785	1971	2038
HpcMKZUs2QY	10537	10570	10683	10736
BOnhJt5pyOo	147	148	148	148
