zyNUr4LWfoc	20206	20343
OrJ4rPSlrlI	2511	2615
aNasBtbOsQA	28546	28708
hD1YtmKXNb4	120195	120699
1cB5JZcosr4	6065	6260
JktwRXYTDYc	70544	70636
WGwjBfi7b0I	12241	12260
PhJ0FaLdzSs	2840	2857
jvsDRB2GmmQ	497	511
kYkGsXiRl1w	3284	3293
4X16Iw5ST4Q	8853	8904
7cK1a9C7nlg	5088	5159
RmP93yzx82k	133	144
TGmteJjCBhQ	908	1040
a_0PSZ2S_yw	12368	12467
9Q71C4IsbZE	3006	3044
S_nyiXUMzdc	6349	6376
vPdDYqQHgCQ	957	958
9qRxNYuR2c4	3513	3896
QO7e_RiMVQg	22521	22564
FcmUNlgld74	11489	11566
wls4sJFKWoE	0	0
ujcsE0iXMH8	4136	4160
z2JmKR_STSw	29968	29977
hJMmweWlDL0	4370	4377
f2Tn9_Q-si4	185	192
OpOvMwkGL18	7002	7952
DDY6KjQCMoQ	5639	5688
ZkzNAhppysE	804	847
3EPWJEdDkFc	4426	4443
Ipv_LWcdfC0	6113	6120
gRDJH0ba64c	783	796
oI_X2cMHNe0	14484	14680
eV_Ki30MDDA	1835	1868
TkTaadb9GmM	10502	10521
gRl0LJyG92Q	356	433
FIRQSAwF0bI	1130	1201
bG19b06NG_w	1190	1223
_dpIwwI86ss	4450	4471
wGvO8b-tiaM	30452	31613
XzZGOrCn0gQ	3594	3602
Z1Nv1VcsWeo	2888	2963
tgB1wUcmbbw	66760	66800
vBJDPmTWP8o	969	981
ACc_TqqRtxw	2081	2117
ojv92-lmwko	287	287
F0fMoqY9qI0	5975	5994
b4F0YBnVdno	5653	5659
yrj9OzuI-RU	111	111
tcSmm3rJikY	5675	5682
jeVqPpWlPxg	63155	65808
-KKBtdYW9Uc	708	731
3C44FKPNTwg	931	946
LEskwxhMZLU	161	164
A_Th5L5iTd0	350	351
tn79OFbPwKE	20911	20974
iH8mWNKM8xU	3280	3934
exMTvet57Ew	2670	2717
yb4kLSp-Us8	3300	3327
0HPKKFugajE	5500	5538
p6QAMEdB_BM	10171	10269
QlZjtudjVD0	4599	4600
4BQs5o6ND0k	1863	1886
zPOYkJsrewU	7159	7217
dz4SG2vgE1g	228	228
8xfSL0XLRtQ	11769	12018
DmQ4Dqxs0HI	7349	7432
MOifIuOhBiA	5622	5683
tCOaHMeZ6ow	3720	3740
4vbDFu0PUew	58739	59710
gA9XVJ4lv1g	6963	6967
iq6q82Jo8ZQ	15639	15648
4vfZ4KSw50M	1208	1248
kntrqdpZ1vk	None	None
_pG5BrnHzDs	1396	1411
x-e-Erg5irA	3954	4412
QGae78sWVSw	13798	14814
DXxwFwbwwKc	12208	12460
PyPrgbRBilg	1024	1023
B-ZnzIAL_sw	2594	2613
HqO5jmkARaE	2512	2929
i9t7RIVW_Oo	1289	1302
mkH7rVb6V68	10858	10864
oSwZ_BckDvc	19179	19567
v17J6GbtvKY	8706	8717
AQbmpecxS2w	3427	3651
ZgtWHv-0L_A	508	514
Fj9f1BGuEss	72	75
0yCenSLpnaE	6405	6422
p6sCsOdqXQw	12616	12829
F-yEoHL7MYY	11527	11725
oDH4AKMG16I	3241	3251
3FajtMuSknA	704	714
CCdm7E1_k6k	624	625
IV3dnLzthDA	32449	32617
Wc7QmaS8_sk	63	65
NUhNJ8lFUQg	2173	2185
EXUuKYHyXPY	6046	6122
paIL5Y1DLTU	4318	4322
XKDhq2UcjIM	5127	5140
WuY0CbeBv8g	244	246
t2aPiie87Q8	1896	1898
xdT8bhSrh_Y	1057	1060
pQuk3t2aeBo	5917	5947
SUdHzKRiBX8	5259	5405
xAOv_zvXBQk	14938	15146
L-QNituOKHk	734	739
ZQ4E0JJcxz0	9258	9306
vjhbxxTYkpw	3847	4329
kZdhnDmr0w4	3751	3774
dmBvnY4rKHg	9251	9289
a8vpdjYfWww	44	46
PQLhTPEiYnM	7311	7324
XIDVt-dB7Ak	7189	7194
5hMfhG18tms	176	176
qimBSj7_CnM	2093	2163
sLTvQnjEkRU	6850	6913
-5q3oq6SM-4	3263	3280
uFzuRm3wCDk	3085	3122
EHbm0BXx0_4	1702	1780
qVPw33-qtgw	5646	5652
nmjcQGEqcFU	2377	2384
rUCe2WAdEg0	1860	1861
6kolTgj7uQc	1265	1274
VGmTO5DRxII	25702	25795
w1eENwQOp_c	3973	4006
JF8UziDHqZo	5899	6093
lyJqXb8Nj-I	1830	1883
yQEondeGvKo	43376	43403
oUPRwfb37sM	9477	11155
dcZ6bEUPWts	10536	10564
DUqcrdEZopY	4563	4587
9kb5cuLK4n0	26939	29316
2gjKoP5bwbQ	957	975
txXIEosA36g	6005	6043
lJ8PdLpbcd8	4619	4685
WylC30nOvAs	3318	3363
PiWMvddGSMc	5142	5162
7ZNlk07klW8	13	13
WgdABWxoAB4	6606	6801
c0AOEQAvZWk	14009	14012
0Dz8SebIq3s	2229	2230
ep57Nj9eWmU	15570	15584
0lkSqR4vrIQ	1891	2401
heayyMyhSGU	1108	1136
_iksbUH1aMg	7562	7574
V2uoT42Oy9U	119	121
zdBthc6fCk4	3811	3852
8dJyRm2jJ-U	337373	340438
YQpq3nPuiQo	2733	2943
qOY8F_ngNWI	4520	4582
iy95PRrxLT4	11194	11224
O1XZRJ39R9Q	81	84
j1AuFXa_g0o	5000	5275
xn3J2EMqA9g	1332	1335
dEbVfBJMoRI	2239	2259
k01Pm-5h89k	28743	35950
Wjx7LaqEHJo	9400	9407
A4hjdUhKluc	1019	1037
4vczeQsaWSA	28196	28238
V3C4pWwDqps	34489	34513
_iz5_DuY_II	9178	9426
KYOsPUantFM	15576	15582
7OPg-ksxZ4Y	11171	11474
kg7_6afHYDA	271	275
EUcvdGfGEj0	12697	12771
7l6L5wFfsLU	10480	10527
wpV7OXr7JYo	12854	12986
RO_XCj8lkqo	881	887
lcV0SO8jYdU	51	52
3Yh_6_zItPU	16423	17128
4H66pDhczzw	15462	15490
uaeqaqNyDFA	2729	2731
j34VRnALak8	27	27
Dw77XHkPojg	51	52
wNeKvT_24Hk	400	401
g9g9Y3BgYMQ	16589	16818
ONj9cvHCado	None	None
ItZ4SlxpOiI	1429	1483
3PHhl2pa3jo	8939	8942
wFKgdZMm4wE	732	749
x7q6cDBryUI	1897	1996
DxaFNE7guqw	239	239
osa7x8qUVec	25240	25241
JqD2OxWQYMk	3378	3391
O9clzzxE4BM	11887	11892
orN0PaqQECs	650	652
fi5lWVhxEEY	118	121
EOJ5Og4YgcQ	76767	83011
-_EVfrXqkEo	9268	9269
oTw8AECmUNA	24186	24268
71ACRkNlhQg	3666	3683
3xXczgEyp5M	4919	5339
zuNWYmaaNZA	7775	7780
2S2GadSDSg4	246	246
JCNWDL3zIcw	1824	1829
