i0O86g520cs	1221	1215	1222	1225	1227
cXW7M2TQvQ0	1699	1701	1717	1722	1726
YC6fW0qqDUk	0	0	0	0	0
uynLFuuFBps	65	65	71	73	74
a_0PSZ2S_yw	12367	12467	12718	12872	13026
lnr1KCWf-J4	58	58	58	58	58
n43oZSY7df0	10383	10416	10526	10567	10604
aCZ6aLuyTwM	49	54	62	68	77
GsPk03_TqMc	None	None	None	None	None
FcmUNlgld74	11489	11563	11911	12061	12176
acMC7bTVcY8	20824	21630	22255	22597	22948
QO7e_RiMVQg	22520	22564	22743	23098	23334
YpQ5DEMqoW0	544	550	560	565	575
ioHy9bZDLhg	298	301	301	301	308
v8MKkbrfL-c	5049	5053	5061	5065	5074
bc593mbuTTc	10171	10176	10186	10193	10204
IM-x1VrAL-c	1551	1565	1603	1622	1645
z2JmKR_STSw	29969	29977	29981	30005	30049
s5vuXYNQehA	774	780	785	788	789
DDY6KjQCMoQ	5639	5688	5758	5812	5855
zKYqM2ADpz8	2822	2825	2844	2857	2882
IycyBFrJXXg	970	965	979	992	1004
y1RNQcFySWc	83	83	83	84	84
oI_X2cMHNe0	14484	14680	15187	15393	15718
TkTaadb9GmM	10502	10521	10611	10661	10721
48s6RGU1dr0	6601	6854	7549	7883	8127
yOK-Vy8J4NM	2966	2981	3018	3053	3170
xBpUcJKYkSk	2608	2613	2621	2626	2626
VH0sc3HtAq4	7258	7365	7437	7457	7469
DmKpePzn5-c	90142	90230	90511	90586	90800
4Uo3_IuRR5E	502	514	542	572	588
efFQ02rvSiA	1813	2204	3795	4259	4353
cBzlNT9bU4M	130	131	143	144	144
5Ofpo0Jj62c	3736	3753	3831	3873	3914
tWIHC4pW3jc	210	211	215	215	218
P6Ps7MYB2bI	529	552	598	614	615
d_cwY5KqwYw	853	857	870	885	888
GZifN_BacG0	1571	1578	1582	1579	1581
apPxQOfh0ek	5925	5944	5988	6030	6060
tgB1wUcmbbw	66760	66799	66935	67018	67265
X6ePJCYeEn0	78	81	87	89	96
