XQwsE3mvBEg	6806	7008	6784	6760	6785	6795	6794	6803
GhjhjdMLGyU	33	53	56	57	54	54	54	54
wNy8mtRYxOs	142	151	174	188	219	233	242	258
KRkYYZqUrYQ	1391	1401	1350	1371	1377	1379	1379	1374
RM5UOyi8W9g	5133	5162	4839	4825	4854	4851
Z0U07aRv54w	2038	2146	2306	2398	2494	2552	2595	2672
RqMxClvspj8	3373	3409	3300	3321	3327	3321
oJAkfH-GHKA	991	1090	1237	1354	1442	1487	1514	1520
acMC7bTVcY8	20825	21630	22255	22597	22948	23155	23250	23452
t4-Vf6L63Js	4185	4635	4698	4703	4459	4457	4465	4446
bFeC5UBtLZs	3271	4112	4740	4858	4943	4994	5016	5044
2k9g9BVPx1k	3176	3322	3404	3439	3472	3490	3501	3519
TowtJr7kbTc	1472	1539	1638	1665	1712	1723	1743	1755
85ePZOOfShI	3199	3358	3328	3321	3268	3274	3274	3267
KMeLtkiLEQg	4992	5056	5213	5320	5435	5498	5563	5636
LHJOFSPDp24	1907	2016	1941	1761	1754	1755	1759	1631
yjmFq279JRQ	4165	4251	4351	4407	4468	4494	4516	4534
Wgqwxiczq5U	4851	5176	4998	5034	5207	5296	5410	5346
yeQeQnwdQcQ	98	115	133	137	146	147	147	147
Mr_P0uopeZM	122	132	145	154	183	193	200	217
_mGG40ZvXyE	2515	2555	2584	2611	2625	2632	2637	2640
EAI0aeioV5E	849	874	984	1020	1049	1054	1086	1095
yvdyDTKuJXI	4864	5086	5198	5223	5238	5277	5286	5247
V3exqLIGdbA	889	923	963	1034	3849	5730	7081	8623
-nZjGO2np3Y	2798	2972	3489	3610	3708	3846	3927	3958
tHvupGgb_iA	684	732	800	818	856	868	880	895
k_LQZaTCjJI	12840	13071	13357	13507	13629	13669	13703	13734
ejqo6qHgWTg	2422	2771	3168	3232	3330	3372	3404	3485
kJRmCcqrg7g	13	17	17	17	17	17	17	17
SgbomNuKv_s	2024	2098	2260	2344	2397	2422	2436	2462
tD09cBIltKE	1003	1063	1160	1211	1294	1340	1394	1410
dUTWbjR5nHA	None	703	1771	2101	2409	2540	2636	2718
kA81LzzdDGw	4482	5004	5482	5566	5639	5665	5686	5697
KD8Uq9lu-DY	1098	1135	1121	1145	1156	1157	1156	1158
DXDgtGpvl8Y	12740	16152	16662	15600	15545	15550	15542	15512
5HJSLAgch8A	628	720	789	815	833	836	845	854
CXpTpbhbkMU	71	87	104	116	120	121	124	126
c5guhIm9YDI	738	1110	1264	1130	1166	1190	1199	1192
0uBvrBK5Rbs	771	918	1004	1025	1032	1033	1033	1039
OBf0d2PYdk4	14467	16375	16987	17022	17145	17188	17218	17236
EPCJizoIeUI	1976	2073	2162	2207	2242	2265	2299	2335
3s58t9KFCik	463	523	574	595	621	631	647	659
Fy8TJFvW9g0	847	900	1022	1061	1124	1169	1198	1240
8G2jppE4rgo	83	83	72	73	74	75	77	78
KGQjUIu9b54	2768	2832	2711	2785	2844	2873	2889	2910
d5IPaqKJCCc	313	324	339	364	407	434	452	478
tQjjfBRxbcs	205	208	210	211	213	213	214	216
sbza7p2w33M	7816	8044	8313	8475	8588	8660	8733	8841
yw9qEpDan10	503	604	761	781	818	919	912	948
uWRxfANFDBs	4077	4092	3207	3203	3189	3187	3190	3189
9wOdmZepV0E	846	1362	2019	2417	2513	2566	2594	2651
uGzDKU7gxho	3498	3545	3544	3545	3539	3530	3528	3528
7EpAv6nHKFo	2192	2384	2536	2573	2654	2684	2721	2761
MWYf3-Mkx8A	1567	1723	1824	1878	1894	1904	1909	1906
jVsUrGkErUI	289	297	303	313	322	324	328	331
jeVqPpWlPxg	63150	65765	69493	71167	72861	73726	74187	75023
O6PB0lXt9Ro	2204	2415	2772	3005	3335	3556	3724	4007
obK8sGRQlso	98	98	100	103	105	106	106	106
GH39qiQCGS0	709	717	721	707	707	707	707	708
yDEoKxx1bLI	31105	33975	36433	36613	36951	37019	37249	37332
ucGb5xbkbjk	2628	2765	3036	3061	3099	3130	3171	3203
-JVOhHA5zZ8	3024	3095
namXTvyvLp0	8738	8841	8818	8919	9018	9075	9102	9152
ZXLoiPy6n6g	886	905	929	940	957	963	977	985
DDeqU7Jblt4	7206	7892	8353	8349	8430	8457	8479	8535
2yKhiTxqshI	497	539	608	628	682	705	717	743
b4PUQjqvufg	2483	2591	2754	2836	2938	2990	3022	3051
hMxoZJOkn2s	1050	1108	1195	1232	1260	1289	1304	1307
TQaGKFvOZXg	251	301	699	826	876	897	911	915
POq8-yPaHxQ	319	335	360	380	406	418	422	449
gtSwZjv1qO8	660	706	740	754	774	785	793	797
SpF78BwWYt4	2065	2171	2256	2354	2438	2465	2483	2507
hkDv-WF6xys	239	247	259	264	267	274	276	282
jS4eARGSJSI	419	467	503	503	572	576	582	517
MOifIuOhBiA	5622	5683	5428	5361	5307	5289	5289	5264
lZIn-y63XFM	10940	11741	15445	16793	17389	17676	17839	18164
pxqOWc_oTIU	1867	1995	1976
qlfj2FejGg4	186	199	217	241	268	277	293	309
K_LtyVVHaQo	2003	2050	2054	2021	2070	2090	2118	2146
GSvuulcIY-I	51	51	50	51	53	53	53	53
zGUc4mVK6MI	3717	3875	3632	3929	4228	4301	4342	4288
C-7xXQ_iVRw	13317	13627	12413	12466	12639	12731	12792	12824
z9Va7cyv3d4	1902	1914	1935	1890	1894	1892
Mun1sNl7hp8	322	333	348	374	402	413	419	437
uNonZ5WWZwE	2140	2133	1887	1885	1795	1795	1795	1793
OTq-H44sdRk	419	419	464	612	725	745	758	774
GC4xGb0a2Io	2786	2897	3066	3205	3285	3323	3341	3376
0Ki_9jyEV-M	4411	4875	4809	4688	4676	4683	4708	4703
EWorIW42X6w	1025	1060	1114	1173	1201	1221	1227	1234
ONS31ND-L-k	1068	1119	1224	1254	1280	1290	1298	1311
FKKshcibx9k	15417	15740	14507	14478	14530	14587	14619	14598
xS-gaiizvJ4	2035	2069	2139	2202	2296	2337	2379	2424
s7tstzJ1z4E	592	658	742	777	795	807	819	827
H9MRW8xL3ZE	3375	3430	3260	2958	2976	2980	2982	2981
mrmUVunrw_s	1306	1347	1368	1363	1402	1407	1411	1405
C4hedi1lqpg	423	446	583	719	861	918	983	984
3gJFlG5SELg	3257	3310	3386	3409	3445	3472	3483	3495
livsK9vZN0E	432	527	670	744	793	830	858	885
vqH2J5jwfFM	27	27	25	25	25	26	26	26
pVVlOhVS8-A	498	516	551	561	573	572	573	575
PqKZRCyxXJE	4590	4838	5716	6185	6478	6620	6712	6845
s6k3kQfdJFo	3650	3944	4291	4470	4612	4659	4714	4770
nYeR9KMQSuQ	1741	1813	1904	1940	1974	1981	1992	2003
hFEzUUBBVkc	5066	5159	5312	5593	5906	6079	6210	6190
ftDQ3bM6C-c	3	3	3	3	3	3	3	3
Tvva9IhMWfM	19180	19724	20489	20902	21355	21586	21846	22156
AbRG2AMqlw8	1757	1760	1752	1761	1759	1753	1752	1757
Lmgr3UPCK_w	101	103	123	137	156	164	169	173
tvJwv-6oNOQ	6661	6980	7476	8775	9836	10577	10838	10513
7hPr9jYqMFk	1714	1781	1668	1697	1724	1742	1756	1737
T_I_BJLZ7Sg	2308	2522	2497	2461	2500	2522	2535	2528
kCV1Q4jHRzM	1578	1684	1740	1760	1801	1817	None	20
TOl098VVSd0	2336	2519	2610	2645	2690	2725	2746	2752
vAaEdTUuzkk	30	33	54	62	71	72	73	74
yJ4A-TzHU7A	184	180	174	175	172	168	168	168
kqcd6n3UI_E	4633	4858	4701	4702	4731	4752	4768	4763
Cu1dRtRknnM	111	127	142	151	156	161	161	160
q4HSTqu9qVg	2962	3390	3731	3825	3926	4002	4066	4162
nK5-sHSOK04	45	61	98	100	101	109	128	136
qprZr64xtaU	7642	7989	8322	8704	9083	9332	9470	9930
-MawZgUZaAg	5790	5844	5817	5827	5835	5836	5840	5847
JTL_gtRccwE	1501	1519	1525	1527	1530	1532	1534	1535
fA0F5q76bcw	30132	30515	30532	30668	30683	30708	30800	30793
kB9qR4xlG9Q	963	989	1036	1049	1060	1066	1068	1074
QAp3Jv8c9uE	1773	1810	1822	1828	1851	1862	1874	1885
-OkDE948Z18	11290	12227	12037	11870	12102	12278	12365	12243
e7KCUKQV2Ww	134	141	156	165	171	171	171	172
zdBthc6fCk4	3811	3852	3906	3927	3942	3942	3944	3943
tsnxZRcJe6g	1314	1353	1313	1328	1358	1369	1376	1360
X10VFBZXEfU	4555	4812	5133	5273	5414	5480	5527	5600
ooeT0CdgQh8	2070	2088	1835	1838	1838	1832	1832	1830
vXJJQ3B6XOo	626	676	792	803	832	838	846	851
pq__dCbLoLI	12	13	13	14	14	14	15	7
JnPnQO1td_A	1384	1395	1271	1273	1269	1271	1271	1270
yEn8BDFVRcI	101	104	113	117	119	119	119	120
dDWlp1iNZvc	371	386	357	391	405	416	422	380
245CmJkEqIk	1373	1499	1822	1876	1951	2003	2017	2044
T-vBmTAvtWE	241	254	253	257	269	271	271	271
WsRxPCx2cl0	456	491	528	529	551	556	557	564
nemx2OFS4ks	2279	2355	2432	2473	2503	2525	2539	2564
D3e9jWnhO3k	3351	3387	3409	3441	3465	3475	3479	3482
H70Ht32ttNo	1755	1901	1881	1921	1943	1969	1970	1968
XpaUkndm85k	4926	5235	5627	5573	5938	6192	6396	6459
PEbXCWE0mUE	23	23	23	23	23	25	25	25
bH-o5PlfpiY	16738	17045	18030	19036	20035	20664	21083	21665
3Yh_6_zItPU	16426	17128	18023	18331	18639	18871	19055	19347
FfeaUvBsStE	1128	1170	1213	1228	1245	1243	1242	1238
GRmDEmQPkOo	286	314	338	348	359	365	372	383
UF1E5HJNz-A	8206	8885	8819	8414	8382	8384	8389	8380
-aUulCEUfOY	701	762	845	878	898	912	927	922
_8Fz6-YWMrE	273	294	335	348	371	393	407	417
KE9bWXsTdvM	46	47	51	54	54	54	54	54
fOLGNmnx0X8	5761	5971	5375	5236	5233	5239	5245	5238
fFMmitI1Eys	3227	3341	3264	3267	3252	3266	3272	3272
3i5WeMTJg6Q	54	65	84	96	116	119	129	146
m_MyfcG7g-0	1381	1436	1503	1617	1640	1654	1663	1626
aSfQHZDXpzM	1672	1779	1975	2071	2223	2272	2326	2434
7U96UgEpOYM	36	44	45	45	46	46	46	46
ATId-Ofg60o	804	1082	1356	1277	1282	1290	1298	1296
Y1F2-qm-RgM	810	843	892	928	959	973	980	981
