zyNUr4LWfoc	20206	20343	20809
OrJ4rPSlrlI	2510	2615	2946
bh4pXQZjs_4	469	475	484
hD1YtmKXNb4	120190	120701	123368
f-eK1cgzGF8	276	282	300
zIJEOEZdLzE	2049	2070	2130
1zHVe3NIZpw	71	71	74
J7D3r5Q2paY	201	204	209
7cK1a9C7nlg	5087	5159	5446
n49er3bE7ww	61	64	69
epuGc-ptWmc	184	184	189
9Q71C4IsbZE	3006	3044	3120
a_0PSZ2S_yw	12367	12467	12720
S_nyiXUMzdc	6349	6376	6456
bIGDhqY6KpE	3020	3047	3128
9qRxNYuR2c4	3512	3887	5049
QO7e_RiMVQg	22520	22564	22743
bmjWoPZE_R0	44	44	44
VIB-S8p16wM	568	569	574
FcmUNlgld74	11489	11566	11911
QQSHT3faRdk	77	76	81
1D3GO4ovibY	88	91	92
jcGrTvgarD0	1207	1220	1244
hJMmweWlDL0	4370	4377	4409
OpOvMwkGL18	7001	7948	9982
DDY6KjQCMoQ	5639	5688	5758
oI_X2cMHNe0	14484	14680	15187
mkAxVJKdFis	65	68	71
pG_as7YjJQs	409	409	412
eV_Ki30MDDA	1835	1869	1985
wah9KtOUWRk	182	185	187
_fpxCuorKjA	9789	10227	11643
vg7ZVaBkpWU	333	336	342
TkTaadb9GmM	10502	10521	10611
epUFyHCLlWg	250	251	222
FIRQSAwF0bI	1130	1201	1544
DmKpePzn5-c	90142	90230	90511
UZeqLhuugQ4	44	44	52
gRvY0xnfgro	95	95	99
4PNWZb5erDw	21	21	21
tVr9v3o7iHY	77366	77938	77300
_dpIwwI86ss	4450	4471	4503
nivl2aepIpM	19	19	21
C37nK27J70U	3546	3867	4500
c872m0f00jE	29	29	29
tgB1wUcmbbw	66760	66799	66934
dwzYqLZYfz4	23	23	24
OxvLT83XBfU	69	71	76
F0fMoqY9qI0	5975	5994	6027
W-ZTiWVFlzU	None	None	None
7PHGvzR3Egs	106	104	109
T79ZSCQ5WEc	4243	4313	4541
b4F0YBnVdno	5653	5659	5663
jeVqPpWlPxg	63160	65748	69493
QJ82JUmbK3M	219	219	225
yTV0i9IjesU	595	594	598
tn79OFbPwKE	20911	20976	21196
iH8mWNKM8xU	3285	3934	4693
8RPHruM9Oz8	88	90	92
x83Uq20OJNc	243	249	273
yb4kLSp-Us8	3300	3327	3424
hH28oAoyuSw	1365	1381	1421
jg5HbrawYPU	760	765	775
2h4tsI0lTsg	16800	17261	17825
WhL0GJ3dM2s	23	23	28
7JGkp6ZrI9o	853	855	861
1BaJdom1MuY	90	90	91
hhEBjQBMcRU	134	133	141
0HPKKFugajE	5500	5538	5660
QlZjtudjVD0	4599	4600	4609
zPOYkJsrewU	7159	7217	7391
DmQ4Dqxs0HI	7349	7432	7795
8xfSL0XLRtQ	11770	12018	12920
uoNuZEP77XY	230	234	237
prPZAbKzAB0	None	None	None
exDlflj0N5s	162	163	173
1mTJYTT-miA	43	43	43
CaTwsdnhECs	71	70	70
v2t75tTm_Jc	82	83	93
4vbDFu0PUew	58730	59710	62672
Mu6GtxrZMbk	242	274	291
kntrqdpZ1vk	None	None	None
x-e-Erg5irA	3952	4412	5052
QGae78sWVSw	13792	14808	16865
qD5yKGH6KEk	429	433	440
8pOknzhAuzE	127	127	130
7MClnLA1i40	489	490	491
MnTRG-2WQoU	217	218	222
oSwZ_BckDvc	19178	19573	20238
v17J6GbtvKY	8706	8717	8752
AQbmpecxS2w	3427	3651	4208
-XtToNPFU1E	7937	8126	8327
RMcnH7oawHk	211	235	246
N3ae1mtSK-8	531	535	540
p6sCsOdqXQw	12613	12830	13393
F-yEoHL7MYY	11530	11725	12021
opDbH9m2OTs	375	378	381
YRvf00NooN8	12577	12600	12752
3FajtMuSknA	704	714	742
GGY2mPQwN7c	3000	3036	3110
j3Zjl8AOTYg	315	316	321
IV3dnLzthDA	32448	32618	33138
TV9evdHjvGk	243	245	250
ZoPJVcHYlU0	None	None	None
750isJ3Gnjc	52	69	83
1LisgDFk1Lo	9	9	9
tQlT9nxnq3A	134	136	144
zL5zAYR666U	114	115	120
pQuk3t2aeBo	5917	5947	6159
SUdHzKRiBX8	5259	5405	5748
gJRoXFRDxuw	259	259	259
L-QNituOKHk	734	739	768
dfaY1dIG-8A	169	170	176
ZQ4E0JJcxz0	9258	9306	9590
vjhbxxTYkpw	3846	4329	4758
4OlfFWDN4C4	405	419	444
pirYs7L4xog	4597	4646	4756
0TGAjtjlwYk	112	169	191
e0AE2ixKJ3U	52	56	68
nmjcQGEqcFU	2377	2384	2397
uFzuRm3wCDk	3085	3122	3247
O--o-O-ABBw	18126	22130	31903
aZiewBCr1aw	1352	1353	1357
6qTdl75bn0s	203	204	214
VGmTO5DRxII	25703	25795	26258
w1eENwQOp_c	3973	4006	4076
JF8UziDHqZo	5899	6093	6501
lyJqXb8Nj-I	1830	1883	2015
dcZ6bEUPWts	10536	10564	10686
DUqcrdEZopY	4563	4587	4751
zmNxBq4U624	162	191	231
rV0yp9op96Y	426	452	528
9kb5cuLK4n0	26937	29266	37334
2gjKoP5bwbQ	957	975	1032
WD6tU_77boA	1501	1513	1529
gwsbCWu3eMM	19	19	19
KHOcTG2yCio	2663	2667	2690
csCt0BNYEv8	116	115	121
WxDHDCPcsQ4	194	194	196
B0eTkU4XZ2o	288	290	295
c0AOEQAvZWk	14009	14012	14005
F0xYQ8bqhGE	321	321	321
tZUCiXCQ6fs	67	67	67
ep57Nj9eWmU	15570	15584	15636
pY9H-uM052U	170	172	181
0lkSqR4vrIQ	1895	2401	2928
d-RVzcnIJPY	34	34	34
_iksbUH1aMg	7562	7574	7666
AEzEvxGi7v8	294	295	296
zdBthc6fCk4	3811	3852	3906
m6DXkfnYyr8	137	139	149
oSm3Qo8n0-Q	647	649	649
8dJyRm2jJ-U	337380	340397	352226
YQpq3nPuiQo	2732	2943	3209
qOY8F_ngNWI	4520	4582	5421
x2hKmKoBpfA	50	50	52
KJmifyfP7x0	1594	1626	1718
iy95PRrxLT4	11194	11224	11330
j1AuFXa_g0o	5000	5275	6541
xn3J2EMqA9g	1332	1335	1345
gLp7NzaRFKA	18	16	22
dEbVfBJMoRI	2239	2259	2331
gKp2gh8lUHs	207	205	209
7SoG8bKN8vA	2751	2763	2828
