XdUoiEVccdo	11461	11746
hse_g-YZ754	85998	86428
-PPoe9b2iCo	6028	6188
iny16wsspZk	30713	31432
URnqWj-kJlE	1460	1521
FxTk7YRp3FE	3583	3620
f69ICbKFKak	3870	4423
eOhcZ-CupVE	32696	37586
3QbGg8G7wE8	7032	7249
y6L2HPhuGSg	56941	65780
9Q71C4IsbZE	65810	66728
cvgbMpKjtks	32058	34145
a_0PSZ2S_yw	213524	215191
Hrckugg1uWQ	14273	14696
yf--HfbV2Is	16123	16255
ZTFWZJHuZQE	3254	3418
B5T0RHIcT_Y	16829	17237
kT_x7qxQuac	7167	7394
z_CroYdSTwM	1974	2081
wWWD-gpfIqg	8304	8471
67F4wWCUKTY	26547	30896
CMWLX0KXwF4	51141	57761
T2OSS9mX8Io	21455	26499
r5n1GCY-nYQ	413954	422803
DDY6KjQCMoQ	161994	162887
-lYheij1EtI	18931	19851
NFUW6Vj3z_I	4517	4745
ZkzNAhppysE	68655	71558
8G1VS70BdU8	8839	9024
2J9pXnhQJqM	6594	6851
oI_X2cMHNe0	212527	215530
_fpxCuorKjA	66936	70607
mL_WNsw8Wdg	3848	3865
6fPj6mj-M_k	47604	48042
VCHk9zoFIr8	67908	75025
VWRh7mSO0dA	3909	4070
tRDblFJlcb8	4799	5001
xcjPuh9qFzA	6372	6477
tmZEiRqbDpM	63893	64894
zY3mKI1XFKM	24178	24255
JyXpzxRr_T0	64716	66800
AoOLVyilwfc	3792	3884
Q_wdABahpCM	7795	8046
P6Ps7MYB2bI	11913	12432
x-rA2Jrnuz8	12156	12261
1KHiwwmusaE	40145	40488
U6vFqjTVYOU	3593	3778
vPHbooOJVQA	10856	11131
SpV7VPoTzF8	21185	21945
jJI-UmMbsAM	1825	1845
PbRZcvVnF0w	39148	40811
KCNhjF-MzYg	137801	146238
iZr3E3a7woY	8535	8550
HtYZTqi5jgQ	17287	17600
dqX7hF9AUBA	2120	2126
Ajn-PTtBOn4	37195	38618
g7Pi-14IOtM	14273	14350
jeVqPpWlPxg	1272647	1347501
VS4QQPFw5uI	21325	22421
3yvVjrVpzws	19663	20948
UxWtQokSuvw	426	427
xt4E8FSIwFM	7206	7627
cozgrxWZBKg	11384	11420
YzgJvysqbpg	1302	1346
bxKMXOSJyqY	3877	3998
iH8mWNKM8xU	None	None
7kuF__NWV6U	38839	41280
