hse_g-YZ754	86002	86431	87836	88141
o__3fco3RxM	54471	54737	55558	56084
JktwRXYTDYc	249734	250451	253813	256149
5O69clHm2wE	19886	19978	20269	20405
2_4sx92TO0Y	542950	546301	555134	559262
m20eY8gcoMk	82084	95550	114664	123922
Lygx457WFTM	17782	18066	18865	19276
Lsbt0bWqIjo	20593	20730	21101	21292
DEuiAx4r2fU	53859	54144	55014	55528
Do1MTPUQ1Ss	21349	21637	22812	23657
4bpbolK_3q4	41061	42612	45026	46209
jjY3LDm7AQw	130772	135976	145063	150751
Dvbs6je5_DI	54812	54988	55564	55853
1pU2uRl5GzQ	28983	29612	31974	33119
Ylkq7x5gGxM	6166	6474	6946	7215
SRRBKMbZmI8	26867	27908	30115	31642
KYw10Eie_-M	149283	150871	157330	160670
pA3k6-ZWzBU	12019	12145	12543	12769
QO7e_RiMVQg	542528	543888	548592	551535
gf5KCQX5Ons	16500	17865	19727	21261
6T4tUHiOeLk	1192	1270	1380	1416
YZuL90fj9V8	24027	24341	25149	25570
2zFD9kxQXwU	107067	107632	110136	111589
zwrTdw8LpIg	54920	55826	58072	59521
xRERAqW-4DM	9583	9583	9582	9582
jmWahXQsjBk	20836	20977	21505	21778
EVgDwM6AwAQ	41856	42257	43330	43828
0evQ8jIDp0c	70782	71237	72495	73143
0sVtEAEphSA	57272	57540	58425	58938
Skfi8knijbY	77949	78587	80756	81830
z2JmKR_STSw	538490	538629	539013	539282
x0nkYuceo6c	28663	32258	46711	56854
w1g_LyCcekU	429712	432445	441569	446230
Z_z6fuStGEM	29354	29393	29499	29545
hnSvVqj5j_I	84579	84796	85536	86018
qVvyyNtXc5s	85649	86481	88794	90785
nWBbzqi_CqI	2681	2759	2951	3097
AMazCOhvs8k	53412	53602	54044	54284
Ihjd5MW3Sik	51086	51216	51540	51702
v9tGy755jEc	50326	50431	50708	50870
6Uc4cQ-RNq8	17983	18105	18422	18588
b7wkATaFFak	43129	43995	46159	47245
IVxSK4gGDdE	20998	21237	21843	22119
OGj0zBkAMhk	86304	86861	88088	88744
8ZssJxbjCrI	12326	12343	12423	12452
Ovs3MbDWXqM	23261	24048	26715	28377
ShdFZYD5YLQ	31388	32864	36734	38625
tzwxUoQbhNc	10452	10643	11361	11662
R3ZaW7KhaWs	42925	43100	43598	43885
vdkJYWCJKJo	23983	24270	25128	25542
NOjZR_ZPw1I	188310
mnC1Z4wxqLo	53482	53563	53848	53991
fZxqO7dd0qw	44871	45113	46227	46813
TmKnWc97k-o	32908	33470	35342	36336
fnaDApWBnbw	55347	55793	57214	58113
6dcbAbYhJMw	149677	151167	155443	157373
o5RhbG3tOT8	635097	638017	649077	654527
9FXZ8xk2VbI	28001	28399	29484	30026
jeVqPpWlPxg	1273865	1347806	1683216	1757298
vp2rImrGE1w	61676	61849	62307	62678
1vQY-xQpb6w	7092	7109	7169	7192
mEIzkTrAvrI	215505	216217	219777	221602
3yvVjrVpzws	19677	20958	22855	23901
uK-JiLhKOKU	45115	45616	48543	50058
zse3u1oVooY	121841	121881	122131	122294
3ILWjcGApWU	10006	10046	10222	10308
6UIUnvwF9JA	26310	26509	27056	27356
I6WGT41QbPQ	38174	38836	40742	41859
SGJoTuWmMmQ	9099	9122	9181	9216
Sb2eX6tA_d4	43728	43734	43751	43769
xAhVV-7Z1t4	25536	25796	26473	26884
B3G4PfZH2yI	1856	1862	1881	1895
uRHQskCeOxw	None	None	None	None
QlZjtudjVD0	125659	125788	126099	126235
fViLT6Jc_ug	151088	151555	153281	154157
VQ2yRoXQvVU	82290	83249	85422	86521
pcozYHHSnz0	31837	32022	32659	33087
Zld_w0UfAgU	13857	14133	14717	14957
nrnrYUZn9Wk	95392	95506	95777	95925
CYim-pwuqtA	6624	6664	6787	6854
JHWqhCTqG3g	95989	96872	99508	100960
4vbDFu0PUew	989245	1006762	1071544	1108663
kg4F7IOejHo	25342	28657	35521	38887
Frpi1Wob4-I	121886	122473	123962	124968
OHUsPiXfcfM	1229912	1240819	1277078	1290563
gvJeucHQbKY	89938	90519	92247	93220
EztDGXf7cj4	146587	147119	148729	149518
WQzPsqIP37w	15782	15866	16126	16292
PKNDDnEU7aA	46668	47112	48312	48963
ntocVvAV5aI	32831	35688	45990	53258
ITSae5IpY6c	41893	45175	55483	61659
iAtcheL3PtA	64118	66206	74758	77915
2JQPWREz2FU	48043	48132	48374	48563
fJxLtBQYaKI	88555	89666	93631	95537
jbjDNRgbrj0	170559	171591	175139	177099
kJQ3FkvUB20	175930	176467	177762	178447
dAbonQU2OkQ	54708	55153	56819	57770
mkH7rVb6V68	226771	227061	227553	227707
75BThchsoe0	92337	92555	93301	93841
XAhcVf9J1Zc	38688	38779	39199	39366
D9QxcFqx0aE	166646	166806	167403	167742
MSkST08_ks0	10913	10915	10926	10934
Do3dF_nP2A4	18472	18594	19004	19183
r8PhxRYWwYc	42987	43208	44081	44602
gM7krybryzA	31746	33320	38977	42932
E33MthiMQiE	29562	31274	36955	39845
LCdAosclYME	377199	378231	379920	380856
FlxillzWdz0	213313	213446	213987	214326
kFKRcAwgl_E	9968	10191	10628	10901
TJvNFsRoiDg	36676	36827	37120	37220
QUfUBmICdpk	54523	55333	57360	58461
Z9b0Hj-BfaM	948537	950805	958163	962467
k86yeNMh43o	6765	6824	6974	7074
rJ8__hQAnUE	77584	78341	80330	81274
xDzuH1fpGpQ	16478	16624	17013	17226
dmBvnY4rKHg	664432	668645	681851	688954
-rR9702X4js	20185	20275	20606	20769
_e-cyonSZ0w	38370	38537	39161	39517
yIScEWE2Bf4	10047	10345	11590	12266
85zWEfYBjOI	51140	51318	51771	52097
XmjPQxYHQZg	79199	79478	80129	80438
Ge2OOxa2Kho	12884	15373	21541	25675
SyuUYR3a1mA	88800	88882	89067	89168
MzybZ2cw8Ao	46700	47251	49305	50431
3B3-mqpXCHc	90673	93220	99116	102253
KuhfXzyIiOU	27636	29450	34764	38597
FBX87W9n7z4	7998	8327	9010	9432
U9o7k7_H0M0	13891	13898	13906	13913
ZeB01dyFaGs	49385	49438	49675	49844
EvmjUfzIppY	5999	6040	6100	6124
jHX3CSsW__8	32316	34505	36375	36625
rkiTIJgXJJE	60780	61143	62633	63344
ad4XOIWYThw	12187	13113	14757	15598
fogtIQuw5bs	15520	15597	15925	16122
j2q5LxheI34	17075	17952	20169	22408
kc4dA_apaCg	18589	19903	24224	26810
