XdUoiEVccdo	11466	11746	12561	13021
EY8eRmmSGx0	1502	1579	1754	1857
zyNUr4LWfoc	361825	364822	376571	382156
OrJ4rPSlrlI	56426	58696	65744	69176
JktwRXYTDYc	249731	250445	253810	256146
hD1YtmKXNb4	2559486	2569929	2609181	2629089
Jrr9bPVeieE	1957403	1962805	1974917	1981149
4X16Iw5ST4Q	131097	132035	135164	136706
0kKkKfpKfDk	2611	2636	2682	2707
7cK1a9C7nlg	239477	250221	275672	287706
oHV9sqp7Kws	900	1416	1700	1731
At1EOyY5Hpo	44000	44074	44377	44509
36I7yGCA12s	1477	1776	2343	2582
a_0PSZ2S_yw	213537	215205	220417	222962
S_nyiXUMzdc	260130	262898	269313	272942
acMC7bTVcY8	705403	753394	843669	877209
t4-Vf6L63Js	272627	279885	307145	306533
QO7e_RiMVQg	542525	543884	548590	551534
FcmUNlgld74	163961	165626	171456	174248
LTenOkKggsg	278539	280493	286540	290590
ttwrfsruMaU	1871	2166	2669	2903
UOMiA4hSVVc	14755	15224	15790	16043
z2JmKR_STSw	538489	538629	539012	539283
wtZelxSzzm8	2347	2375	2424	2448
OpOvMwkGL18	87428	121574	163929	184189
DDY6KjQCMoQ	162000	162890	165114	166651
3EPWJEdDkFc	93628	94040	95660	96758
jCokmhfCziU	27761	27836	28001	28117
mTa8L_X-AfQ	1355749	1368449	1416965	1452596
3Qdog8EvSzg	4040	4055	4096	4120
oI_X2cMHNe0	212548	215551	222954	226334
lv8n_gPSbqM	707	724	769	797
6M8VTsQJ-74	3671	3722	3812	3867
TkTaadb9GmM	239978	240854	243764	244986
hjAyYupCcy0	9538	9706	9930	10066
DmKpePzn5-c	914068	915264	919209	921580
_dpIwwI86ss	26136	26221	26387	26451
9-Lxt14dSL4	1367	1372	1377	1380
5pEupFLn3Mw	3613	3640	3715	3742
ibDgSpyBQAA	73697	73721	73774	73789
1ACoq99fZYo	1522	1569	1625	1636
XzZGOrCn0gQ	181753	182641	186350	189499
tgB1wUcmbbw	1679551	1681020	1687295	1692056
