XdUoiEVccdo	11466	11746	12561	13021	13499	13703
EY8eRmmSGx0	1502	1579	1754	1857	1924	1968
zyNUr4LWfoc	361825	364822	376571	382156	387596	390241
OrJ4rPSlrlI	56426	58696	65744	69176	72154	74046
JktwRXYTDYc	249731	250445	253810	256146	258468	259679
hD1YtmKXNb4	2559486	2569929	2609181	2629089	2653092	2683510
Jrr9bPVeieE	1957403	1962805	1974917	1981149	1986841	1989581
4X16Iw5ST4Q	131097	132035	135164	136706	138222	139413
0kKkKfpKfDk	2611	2636	2682	2707	2735	2774
7cK1a9C7nlg	239477	250221	275672	287706	298417	304147
oHV9sqp7Kws	900	1416	1700	1731	1751	1754
At1EOyY5Hpo	44000	44074	44377	44509	44675	44852
36I7yGCA12s	1477	1776	2343	2582	2730	2782
a_0PSZ2S_yw	213537	215205	220417	222962	225394	227899
S_nyiXUMzdc	260130	262898	269313	272942	276282	277725
acMC7bTVcY8	705403	753394	843669	877209	910452	926750
t4-Vf6L63Js	272627	279885	307145	306533	306454	306385
QO7e_RiMVQg	542525	543884	548590	551534	554250	556078
FcmUNlgld74	163961	165626	171456	174248	176992	178518
LTenOkKggsg	278539	280493	286540	290590	295281	298829
ttwrfsruMaU	1871	2166	2669	2903	3040	3104
UOMiA4hSVVc	14755	15224	15790	16043	16256	16348
z2JmKR_STSw	538489	538629	539012	539283	539536	539657
wtZelxSzzm8	2347	2375	2424	2448	2465	2470
OpOvMwkGL18	87428	121574	163929	184189	196353	202332
DDY6KjQCMoQ	162000	162890	165114	166651	168570	169424
3EPWJEdDkFc	93628	94040	95660	96758	97862	98678
jCokmhfCziU	27761	27836	28001	28117	28325	28434
mTa8L_X-AfQ	1355749	1368449	1416965	1452596	1495281	1521431
3Qdog8EvSzg	4040	4055	4096	4120	4127	4131
oI_X2cMHNe0	212548	215551	222954	226334	230132	232423
lv8n_gPSbqM	707	724	769	797	820	838
6M8VTsQJ-74	3671	3722	3812	3867	3929	3954
TkTaadb9GmM	239978	240854	243764	244986	246831	247757
hjAyYupCcy0	9538	9706	9930	10066	10224	10327
DmKpePzn5-c	914068	915264	919209	921580	924262	926000
_dpIwwI86ss	26136	26221	26387	26451	26508	26529
9-Lxt14dSL4	1367	1372	1377	1380	1388	1394
5pEupFLn3Mw	3613	3640	3715	3742	3773	3799
ibDgSpyBQAA	73697	73721	73774	73789	73799	73812
1ACoq99fZYo	1522	1569	1625	1636	1651	1659
XzZGOrCn0gQ	181753	182641	186350	189499	192680	194276
tgB1wUcmbbw	1679551	1681020	1687295	1692056	1697685	1701455
vBJDPmTWP8o	13924	14023	14444	14710	15062	15189
dCC-Ix87Y68	2534	2558	2607	2657	2710	2737
IyrK52_bLl4	5015	5029	5065	5096	5120	5137
FKD71cLGzO4	122453	128087	143346	150466	156619	159266
7eLE5GHIyOg	30720	30800	30968	31091	31204	31248
F0fMoqY9qI0	1044714	1051817	1062325	1067771	1072988	1076192
JKOdGQAfAIc	53838	55568	60901	64159	67028	68398
-OxoU9WyZ8Q	1858	1892	1948	1971	1993	2009
Nus7MfF2ytw	5576767	5652343	5975751	6170106	6340215	6439026
b4F0YBnVdno	30329	30353	30432	30492	30546	30585
tcSmm3rJikY	167740	168039	168822	169294	169864	170186
jeVqPpWlPxg	1273427	1347697	1683116	1757215	1839538	1888254
OT2l4eNRtBk	2356	2551	2714	2774	2816	2844
9tPUeBsYmyc	2268	2396	2666	2815	2941	3002
7i8ZtcUekg0	4650	4710	4767	4811	4847	4866
tn79OFbPwKE	439335	442030	452255	458262	463453	466079
k6HfmIZXDuA	1080	1089	1114	1132	1152	1161
yt8XWraKEpQ	3439	3808	4522	4588	4648	4674
B9fv9EysEKk	1463223	1509019	1674469	1773039	1865673	1927953
iH8mWNKM8xU	None	None	None	None	None	None
DrG669-BIUk	3423	3430	3418	3419	3421	3425
m-acj_D5xLo	497217	498405	505929	513259	521204	525151
QtUOwx5Sn3s	672	680	693	709	724	730
OcJB9GWRq9Q	116490	116679	117299	117685	118071	118597
6qIz1TEBd0I	2864	2948	3038	3212	3381	3444
2h4tsI0lTsg	36055	36948	38361	38575	38861	38963
7pPkYIJH7oI	2896	2901	2911	2918	2919	2931
0HPKKFugajE	135148	136091	138660	139856	140982	141585
1yuTJMFGxEw	271041	275993	285672	290609	296386	300062
p6QAMEdB_BM	161706	164796	171479	174562	177048	178269
QlZjtudjVD0	125658	125788	126099	126233	126310	126355
8lPVQK2wn38	1381	1386	1406	1414	1420	1424
zPOYkJsrewU	155143	156901	161651	164041	166120	167508
6C1PEDS-kac	10716	10780	10914	10953	11013	11033
cUbzWjNqtmo	12886	13092	13420	13454	13683	13797
v_Sz-Kh2GLo	6142	6165	6353	6443	6585	6625
DmQ4Dqxs0HI	241367	245166	255546	261493	267061	270155
PT_Lvt_mqJA	2359	2566	2739	2849	2939	3009
8xfSL0XLRtQ	260094	268514	294563	307853	321787	329755
AUZcer3JNJc	4035	4066	4140	4180	4221	4247
4vbDFu0PUew	989162	1006719	1071479	1108623	1152830	1175372
KkeDg9RJELc	10456	10498	10560	10611	10667	10691
PcfwVCyJayU	878	880	887	888	890	891
PyPrgbRBilg	881914	882856	887291	890129	893256	895625
ZcyZRtLaWOw	12692	13959	17868	19202	20300	20819
HqO5jmkARaE	66585	84412	103906	110145	115388	118003
uKQXgerfnE4	10910	10987	11091	11150	11229	11302
kJQ3FkvUB20	175929	176467	177760	178447	179172	179560
cCf4qFl5uVA	3287	3855	4276	4413	4582	4640
mkH7rVb6V68	226770	227060	227553	227707	228096	228176
I5cKmpA7x68	2195	2228	2261	2319	2376	2400
oSwZ_BckDvc	120809	123978	132992	139141	146031	149128
esSnfGZo58Y	1579	1594	1639	1660	1682	1703
AQbmpecxS2w	45047	47261	52389	56601	61642	64277
elJf9iFLGos	1563	1933	2112	2115	2115	2118
-XtToNPFU1E	96994	98276	102059	103585	105117	106006
v17J6GbtvKY	99595	99794	100449	100942	101371	101632
0yCenSLpnaE	110386	110905	112899	114069	115140	115679
p6sCsOdqXQw	81064	82082	85012	86407	87649	88380
F-yEoHL7MYY	229546	235357	250075	259545	268942	275327
3FajtMuSknA	10116	10135	10199	10213	10225	10233
IV3dnLzthDA	498833	502189	512318	518340	524376	529065
atzfBDB3lZI	682125	685656	702435	713511	723842	729539
CKJfT8zyofk	932	958	1040	1080	1104	1125
ZoPJVcHYlU0	None	None	None	None	None	None
NUhNJ8lFUQg	60655	61372	63622	64600	65630	66277
EXUuKYHyXPY	86756	88177	95260	99591	102814	104490
8uiUz_IUkpo	6849673	7017963	7624435	7939340	8217066	8365272
XKDhq2UcjIM	142616	143136	144897	145743	146600	147121
SUdHzKRiBX8	73725	75673	81463	84825	88096	90080
pQuk3t2aeBo	250109	252658	260836	264766	268361	270515
L-QNituOKHk	76341	76912	78403	78947	79412	79773
vjhbxxTYkpw	32869	40032	46766	48922	49914	50162
kZdhnDmr0w4	69765	70295	72172	73232	74306	75115
pirYs7L4xog	5027250	5063090	5199866	5285538	5361252	5401451
2FsOG2guDqc	14857	14984	15144	15252	15358	15395
jaCtOiCgd1M	2057	2137	2238	2301	2346	2372
vnWHw1dXoq0	866	875	882	889	903	913
gM-PEws3iYk	10297	10358	10488	10566	10636	10668
n8b0z30Jg-w	8439	8661	9201	9415	9596	9732
af_MVvq0t34	9903	9923	9978	10014	10052	10070
245-m_JYDmY	884	893	900	910	918	924
VGmTO5DRxII	112423	113022	115816	117398	119005	120139
w1eENwQOp_c	17108	17186	18029	19260	20169	20497
Qs9qAjBbeus	3297	3325	3357	3403	3433	3465
JF8UziDHqZo	82044	84288	89202	90285	91386	92094
yQEondeGvKo	872981	873736	876759	878943	881405	883170
