_LzE_yWxdqo	456585	461159	462455
oq3XzVsARVQ	3400	4111	5978
EgtAN-7VzxM	20833	20988	21191
r_RcQ5959t8	25972	29404	34225
uswbU5yGcTs	3832	4146	4556
f60fpQMIdxA	4830	5065	5614
8le_FFz1-uI	4508	4526	4566
XdLZrfFiajw	11966	12117	12478
sVL1qeIXXBg	6004	6983	11539
Afmz_B-ZhcE	7298	7361	7471
e-euwzBU7yc	20831	20990	21289
t4-Vf6L63Js	272634	279886	307145
bFeC5UBtLZs	115567	166152	204168
64Yh8JkGuqc	17982	18255	18704
4pnc9F_bc7Y	15317	15374	15534
1sPPxTwkcno	7493	7613	7759
wt8gNb3tSEU	7297	7418	7879
_JPsTvnc43U	13715	14063	14404
r5n1GCY-nYQ	414049	422831	453679
DDY6KjQCMoQ	162001	162890	165115
ZkzNAhppysE	68688	71578	80745
uBDxPRi0OoU	23006	32303	40366
LqtwJRgAo7c	1143	1260	1557
RKLuD3zPi_s	4858	5091	5399
iPyxXX1EOmI	10764	11727	12555
wgqPKrU8Z54	12427	13680	14654
u8bRv8VHePQ	6866	7140	7783
nEc-uwLVOCg	4634	4763	5081
qo-NO-bFfzE	247	254	259
E4eUX_KJYDQ	13791	13860	13947
ONAfRcquz_k	1715	1769	1880
g88DHXCtEzw	21242	21304	29070
CXYAxBwGVaY	3060	3264	3590
0rsIRMbNLxI	5899	6709	7823
TW5K4u6IZq8	15262	15852	16291
kA81LzzdDGw	125944	144946	161890
K8SYEIBmSPg	18678	19081	19836
P6Ps7MYB2bI	11917	12434	13730
m96Tk1IeqPc	838	840	850
nyEL4gEuC8g	787	801	824
PcFC-Eek0E4	18612	19352	20361
9MhICC9iSkM	4841	5059	5472
Shgz5SkFqH4	37738	38786	41155
3w9LY_7oKiI	12468	13218	14591
W6fPYXJ-Zro	57841	58789	61357
0B9GbMDZC6k	5512	7188	8305
l58K4N4QECs	9064	9497	10208
7P2xj3j5RWc	4010	4102	4279
OZkvm0wem0s	17048	20732	21667
fFFGdJCy7Sc	4802	4986	5472
uGzDKU7gxho	38594	38851	38930
Klmparbq4hQ	241654	243866	247901
WQbb2PBBVNM	24722	25409	26303
jeVqPpWlPxg	1273504	1347713	1683131
xwkdFxYbdDE	42240	42989	44037
a8DssxNUIU0	34461	35344	43200
TVzPx7geWY4	3600	5035	8076
