zyNUr4LWfoc	361833	364826	376573	382159
OrJ4rPSlrlI	56434	58699	65745	69178
aNasBtbOsQA	51093	51665	52929	54314
hD1YtmKXNb4	2559495	2569943	2609187	2629094
1cB5JZcosr4	27638	28579	31934	35673
JktwRXYTDYc	249733	250447	253810	256146
WGwjBfi7b0I	451421	452662	456085	457939
PhJ0FaLdzSs	15538	15631	15858	15911
jvsDRB2GmmQ	2924	2930	2943	2953
kYkGsXiRl1w	57612	57922	58666	59029
4X16Iw5ST4Q	131099	132038	135164	136706
7cK1a9C7nlg	239496	250233	275671	287711
RmP93yzx82k	932	1042	1150	1195
TGmteJjCBhQ	14803	17777	24399	31048
a_0PSZ2S_yw	213540	215209	220418	222962
9Q71C4IsbZE	65817	66737	68767	69810
S_nyiXUMzdc	260131	262901	269315	272942
vPdDYqQHgCQ	50650	50724	50984	51104
9qRxNYuR2c4	38609	44115	60893	68317
QO7e_RiMVQg	542526	543886	548590	551534
FcmUNlgld74	163962	165629	171459	174252
wls4sJFKWoE	1827	1847	1898	1937
ujcsE0iXMH8	27202	27432	28610	29328
z2JmKR_STSw	538489	538629	539013	539282
hJMmweWlDL0	145638	146095	147645	148381
f2Tn9_Q-si4	9529	10477	13459	14346
OpOvMwkGL18	87475	121620	163936	184195
DDY6KjQCMoQ	162002	162890	165115	166654
ZkzNAhppysE	68689	71580	80746	86760
3EPWJEdDkFc	93628	94042	95660	96760
Ipv_LWcdfC0	99274	99505	100135	100567
gRDJH0ba64c	31283	31944	33320	34491
oI_X2cMHNe0	212553	215557	222956	226338
eV_Ki30MDDA	820992	829981	873083	900453
TkTaadb9GmM	239979	240855	243764	244987
gRl0LJyG92Q	22497	23685	24638	24801
FIRQSAwF0bI	552280	607262	848589	998878
bG19b06NG_w	38970	40250	45747	50176
_dpIwwI86ss	26136	26221	26387	26451
wGvO8b-tiaM	111959	115892	120279	121462
XzZGOrCn0gQ	181755	182641	186350	189499
Z1Nv1VcsWeo	148609	154445	164121	168836
tgB1wUcmbbw	1679553	1681021	1687297	1692059
vBJDPmTWP8o	13924	14024	14444	14710
ACc_TqqRtxw	251795	255247	309025	350031
ojv92-lmwko	14616	14739	15534	15923
F0fMoqY9qI0	1044723	1051825	1062329	1067772
b4F0YBnVdno	30329	30353	30432	30492
yrj9OzuI-RU	2534	2535	2540	2539
tcSmm3rJikY	167740	168039	168822	169295
jeVqPpWlPxg	1273596	1347730	1683148	1757250
-KKBtdYW9Uc	8352	8363	8322	8332
3C44FKPNTwg	30216	30805	32046	32734
LEskwxhMZLU	1458	1475	1494	1505
A_Th5L5iTd0	3434	3453	3508	3550
tn79OFbPwKE	439341	442036	452256	458265
iH8mWNKM8xU	None	None	None	None
exMTvet57Ew	59559	60724	64042	65407
yb4kLSp-Us8	72285	73529	76870	78554
0HPKKFugajE	135148	136091	138660	139856
p6QAMEdB_BM	161713	164801	171480	174562
QlZjtudjVD0	125658	125788	126099	126233
4BQs5o6ND0k	18114	18333	19097	19548
zPOYkJsrewU	155144	156904	161652	164043
dz4SG2vgE1g	1918	1927	1939	1943
8xfSL0XLRtQ	260100	268530	294567	307857
DmQ4Dqxs0HI	241371	245172	255552	261497
MOifIuOhBiA	348661	348779	348036	347888
tCOaHMeZ6ow	153350	154385	156759	157920
4vbDFu0PUew	989187	1006737	1071498	1108634
gA9XVJ4lv1g	322838	322798	322620	322479
iq6q82Jo8ZQ	110572	110640	110846	110921
4vfZ4KSw50M	30531	31998	35604	37773
kntrqdpZ1vk	3339	3348	3363	3371
_pG5BrnHzDs	42846	43548	45608	46590
x-e-Erg5irA	8399	8949	9924	10216
QGae78sWVSw	58902	63843	74840	77932
DXxwFwbwwKc	54823	56503	59805	60756
PyPrgbRBilg	881914	882858	887293	890130
B-ZnzIAL_sw	68495	69014	70605	71416
HqO5jmkARaE	66623	84437	103909	110149
i9t7RIVW_Oo	28189	28748	29831	30201
mkH7rVb6V68	226770	227061	227553	227707
oSwZ_BckDvc	120814	123983	132997	139143
v17J6GbtvKY	99596	99794	100449	100942
AQbmpecxS2w	45047	47265	52389	56602
ZgtWHv-0L_A	3475	3513	3604	3647
Fj9f1BGuEss	667	723	830	934
0yCenSLpnaE	110386	110905	112899	114070
p6sCsOdqXQw	81068	82082	85012	86408
F-yEoHL7MYY	229553	235363	250080	259549
oDH4AKMG16I	15600	15656	15886	16091
3FajtMuSknA	10116	10135	10199	10213
CCdm7E1_k6k	5582	5612	5694	5736
IV3dnLzthDA	498836	502194	512320	518340
Wc7QmaS8_sk	807	816	834	839
NUhNJ8lFUQg	60655	61375	63622	64600
EXUuKYHyXPY	86757	88183	95261	99591
paIL5Y1DLTU	216352	217026	220105	221911
XKDhq2UcjIM	142617	143136	144897	145743
WuY0CbeBv8g	9499	9503	9516	9521
t2aPiie87Q8	54128	54186	54335	54433
xdT8bhSrh_Y	52610	52703	52909	53022
pQuk3t2aeBo	250113	252659	260842	264766
SUdHzKRiBX8	73725	75678	81463	84825
xAOv_zvXBQk	195296	197586	207594	213779
L-QNituOKHk	76342	76914	78403	78947
ZQ4E0JJcxz0	127696	128584	131024	132246
vjhbxxTYkpw	32877	40036	46768	48922
kZdhnDmr0w4	69765	70297	72172	73232
dmBvnY4rKHg	664419	668639	681844	688950
a8vpdjYfWww	716	719	727	733
PQLhTPEiYnM	131639	132179	133852	135528
XIDVt-dB7Ak	201114	201684	204054	205477
5hMfhG18tms	1462	1481	1519	1543
qimBSj7_CnM	16627	17686	20278	21685
sLTvQnjEkRU	106876	108237	113912	115753
-5q3oq6SM-4	61295	61710	62962	64001
uFzuRm3wCDk	51866	52858	55294	56388
EHbm0BXx0_4	17882	18855	22906	24853
qVPw33-qtgw	350916	350889	350731	350620
nmjcQGEqcFU	46801	47072	47586	47751
rUCe2WAdEg0	281995	282428	284135	284731
6kolTgj7uQc	70490	71472	73848	75160
VGmTO5DRxII	112424	113023	115816	117398
w1eENwQOp_c	17108	17186	18029	19260
JF8UziDHqZo	82046	84291	89203	90285
lyJqXb8Nj-I	29773	31125	34637	36764
yQEondeGvKo	872981	873740	876759	878946
oUPRwfb37sM	120821	151416	196694	210861
dcZ6bEUPWts	139938	140531	143586	145723
DUqcrdEZopY	147061	149394	158343	162408
9kb5cuLK4n0	386421	433765	581704	618824
2gjKoP5bwbQ	30025	30548	32406	33319
txXIEosA36g	93065	93567	96216	97561
lJ8PdLpbcd8	89905	91242	95349	97434
WylC30nOvAs	62532	63740	68876	72795
PiWMvddGSMc	86312	86840	88493	89627
7ZNlk07klW8	393	406	449	466
WgdABWxoAB4	215110	225706	254438	263919
c0AOEQAvZWk	3609584	3609444	3609144	3608800
0Dz8SebIq3s	61406	61443	61534	61611
ep57Nj9eWmU	119394	119701	120811	121408
0lkSqR4vrIQ	35094	46198	55519	58631
heayyMyhSGU	84781	88182	101246	110420
_iksbUH1aMg	100557	100734	101792	102273
V2uoT42Oy9U	1111	1135	1178	1199
zdBthc6fCk4	150548	151899	154584	155691
8dJyRm2jJ-U	6165194	6234168	6476799	6611397
YQpq3nPuiQo	4050	4220	4526	4611
qOY8F_ngNWI	149263	152640	164131	168834
iy95PRrxLT4	340407	341725	346400	349050
O1XZRJ39R9Q	1217	1250	1313	1338
j1AuFXa_g0o	91685	98074	121871	138275
xn3J2EMqA9g	94830	95035	95637	95927
dEbVfBJMoRI	56839	57534	59738	62061
k01Pm-5h89k	67178	88367	113723	123633
Wjx7LaqEHJo	86262	86315	86500	86592
A4hjdUhKluc	17093	17662	19668	20978
4vczeQsaWSA	195110	195509	196982	198324
V3C4pWwDqps	59706	59853	60287	60505
_iz5_DuY_II	281484	290057	325204	347536
KYOsPUantFM	190426	190647	191258	191586
7OPg-ksxZ4Y	202537	209581	229277	243364
kg7_6afHYDA	24034	24317	25057	25527
EUcvdGfGEj0	172111	173237	177111	178935
7l6L5wFfsLU	216853	218537	222717	224598
wpV7OXr7JYo	88235	89522	92653	93641
RO_XCj8lkqo	17151	17292	17642	17807
lcV0SO8jYdU	957	971	994	1004
3Yh_6_zItPU	306071	317295	335962	343835
4H66pDhczzw	91942	92112	92751	93055
uaeqaqNyDFA	16398	16442	16537	16629
j34VRnALak8	547	549	550	550
Dw77XHkPojg	4463	4469	4485	4496
wNeKvT_24Hk	7369	7389	7434	7463
g9g9Y3BgYMQ	49023	49786	50502	50291
ONj9cvHCado	459294	466073	483100	491391
ItZ4SlxpOiI	95117	100002	118302	132562
3PHhl2pa3jo	192933	192977	193152	193225
wFKgdZMm4wE	14891	15387	15812	16248
x7q6cDBryUI	51146	53668	63133	67885
DxaFNE7guqw	10670	10672	10673	10675
osa7x8qUVec	941475	941844	943021	943580
JqD2OxWQYMk	53734	54190	55498	56143
O9clzzxE4BM	351117	351516	352565	353300
orN0PaqQECs	25494	25505	25548	25571
fi5lWVhxEEY	1145	1168	1203	1209
EOJ5Og4YgcQ	769705	879873	1313549	1516390
-_EVfrXqkEo	225194	225287	225563	225708
oTw8AECmUNA	530022	532520	543945	550910
71ACRkNlhQg	37375	37755	39393	40052
3xXczgEyp5M	64989	70116	76319	76346
zuNWYmaaNZA	165824	166009	166643	166963
2S2GadSDSg4	9108	9155	9245	9288
JCNWDL3zIcw	44518	44847	45792	46335
mR1BGC_S8xo	74326	74575	75251	75644
DSMHqHkR1mA	10640	11188	12544	13403
6N22wYwItDs	7524	8049	8966	9312
HpcMKZUs2QY	137886	138694	140855	141950
