fHdU-gzkl-I	2288	2359
_LzE_yWxdqo	456591	461160
kdnoxh8vjLo	10726	11758
760xRU26YNM	14113	14895
ZF6ILkIzyFo	18389	18585
d0oK0XipfTU	6616	6670
tP0MvwnQr3U	57629	58241
rEx-A26tJ58	4515	4646
WJojnQkITtg	3880	4184
tfCTOaou8IU	944	950
t4-Vf6L63Js	272660	279888
mjtTXlIYnbw	848	857
Fw8ZJCRK-sY	5680	5751
D-Im2mB8btQ	None	None
JrrHWYu81iI	8219	8553
-EnO5IHKDmE	5643	5911
JzTsOwl1nJQ	876	878
bFFxJS9Qjnw	13490	15308
ETmC5qZIQX8	22431	23405
LJenGtkGLeY	27106	27377
xQwQojn9Dcw	5441	5613
vDHHdq6Cvd0	25346	25802
v-PP9dk4DDg	1301	1317
nT3e7zwZJsU	17789	17958
cDV5sVNDDck	858	879
Q2UIgJfTBOU	34379	34509
rlt4IQQITlY	1093	1096
oAyRl0bWRFY	4615	4609
sQCof2oeUbA	25532	25765
kB12Q0NU7rA	7115	8152
9cWTQPctB_M	4875	4875
VMbFg7z7VpI	3019	3503
GmPWPuZp1sA	1679	2125
gRl0LJyG92Q	22498	23685
R3GjmkuWuuQ	8011	8221
nVeM3AOY2hM	2904	3032
KAyvp4FTFUQ	12662	12811
bzuDEtAjBPQ	1491	1515
pz14QTJrito	5934	6062
kA81LzzdDGw	126034	144962
7zq34_ZGsqY	4221	4363
IajEJAOpbzI	3081	3102
BH1XO-lbgw4	7897	7909
Q0ROOgIWc04	30693	31543
1M9A2LwmCYo	5603	5646
CA7_BMEJz3U	2484	2559
FIBaJilCGL0	8546	8608
m9gUuGqHsFs	61320	63108
F0fMoqY9qI0	1044728	1051831
NbH10unWiV8	6437	6795
cQFin1k1hQ4	19758	19821
_-UT5mrGtb4	16780	17279
rJmFVWGkgxA	3703	3757
GxkcwtT4bh0	19026	19094
MFexmKGDr08	20535	21133
MFJXVifOwJM	7300	7389
jeVqPpWlPxg	1273725	1347764
44eiT--RN6U	9926	11170
pqvwYlaefP8	11087	13769
UdUL92O17kE	10169	10354
iH8mWNKM8xU	None	None
d8jHBC7KUKw	1637	1892
cNVgMk2oLQ4	49479	49957
Ug-xUfLIivE	1733	1823
FtYkJe9w4eo	3728	3790
7ML5HuZDtw8	4305	4313
FXg1DGfgIq4	21275	21427
G_sXw-9s83Y	9698	10267
LwLaJbNOqYU	77245	79009
QTdaJHXS8rQ	5021	5226
tw0gG3NV9YE	4907	5025
TyAmmAA7hQc	6473	6569
1yuTJMFGxEw	271052	276002
0gAfB8YGQlQ	6108	6190
may0wSpC5X0	3925	4536
yLXKqhKaQjc	5626	6051
ZfQgia8y85g	5650	5719
9N0pRm_atEI	6558	6638
R5E_DcitNBI	4595	4645
DmQ4Dqxs0HI	241376	245179
4E5iJbK1-Lw	3801	3887
MOifIuOhBiA	348661	348779
T-phq7QKN_I	6016	6084
1D-H_7W6pZs	53312	54930
4vbDFu0PUew	989215	1006750
yq6_Z7fi0q4	30649	33134
SGMxo7cRi24	3294	3343
FBVrdMAnZpM	12182	12250
RXF9oupPE_E	18330	18792
jCcdH4imZ8o	10491	10624
DgCTlhAqGjQ	2807	2855
enZxKJnMzRA	29285	29414
3PXENu6PvkQ	9029	9264
rJYPadEC_PM	6920	6900
oSwZ_BckDvc	120821	123984
ujjflEi6lV4	10189	10437
_83AOaZ3Iyg	125449	131221
bFgRGA8rjoU	891	924
OEOEX_ExDnM	5870	5889
hfClU7lZyQA	7399	7712
XynFyyAX1f8	6172	6389
YWFkjaa8yfE	41239	41427
c0wUKCekI34	162285	166513
