i0O86g520cs	21547	21619	21838	22010
cXW7M2TQvQ0	18307	18432	18696	18822
YC6fW0qqDUk	1656	1690	1769	1801
uynLFuuFBps	1697	1717	1800	1827
a_0PSZ2S_yw	213531	215200	220414	222960
lnr1KCWf-J4	84373	84533	85105	85543
n43oZSY7df0	442104	443996	450414	455087
aCZ6aLuyTwM	11811	12315	13988	15553
GsPk03_TqMc	32098	32238	32931	34197
FcmUNlgld74	163954	165622	171456	174245
acMC7bTVcY8	705294	753329	843635	877184
QO7e_RiMVQg	542523	543881	548589	551530
YpQ5DEMqoW0	22526	22668	23094	23373
ioHy9bZDLhg	27651	27707	27948	28055
v8MKkbrfL-c	218534	218760	219506	219979
bc593mbuTTc	225225	225349	225807	226171
IM-x1VrAL-c	238853	241017	250112	255310
z2JmKR_STSw	538489	538629	539010	539283
s5vuXYNQehA	79880	80107	80814	81352
DDY6KjQCMoQ	161998	162889	165113	166651
zKYqM2ADpz8	148554	149083	150561	152017
IycyBFrJXXg	71608	71853	73183	74345
y1RNQcFySWc	4692	4724	4798	4832
oI_X2cMHNe0	212540	215544	222951	226330
TkTaadb9GmM	239975	240853	243764	244984
48s6RGU1dr0	194164	203430	231329	249168
yOK-Vy8J4NM	353996	356225	362511	367302
xBpUcJKYkSk	157523	157707	158731	159502
VH0sc3HtAq4	3319578	3374666	3406965	3415171
DmKpePzn5-c	914067	915263	919205	921580
4Uo3_IuRR5E	241510	247093	263375	274740
efFQ02rvSiA	846560	958793	1330308	1436574
cBzlNT9bU4M	3405	3464	3598	3714
5Ofpo0Jj62c	108511	110092	116161	120538
tWIHC4pW3jc	35301	35585	36324	36648
P6Ps7MYB2bI	11915	12432	13728	14416
d_cwY5KqwYw	41021	41427	42659	43176
GZifN_BacG0	18045	18094	18227	18261
apPxQOfh0ek	243799	245025	249823	253514
tgB1wUcmbbw	1679547	1681019	1687290	1692052
X6ePJCYeEn0	3816	3840	3865	3877
uFDkjbD4pZs	57535	58960	62646	64893
PKMaOgCZU_U	45536	46367	48358	49474
C2rJZd5YQJU	178985	179831	183264	185368
F0fMoqY9qI0	1044703	1051804	1062316	1067768
UeqIVJJnwCU	6011	6251	6831	7161
rpr9ltx8q28	2470	2488	2524	2550
T79ZSCQ5WEc	1351463	1365025	1403926	1439825
HmP_wGYw1_g	441490	445335	454407	458777
8_BLh6MXpN8	3410	3495	3661	3728
Nus7MfF2ytw	5576519	5652201	5975497	6169931
uGzDKU7gxho	38594	38851	38929	38767
sVKlJ5M2kBY	35802	36688	38352	39347
y7RxSfivDnE	3721	3750	3797	3826
AcDGIkDGY2c	167167	169400	177235	180405
VcHMZ7LdMO8	1574	1621	1677	1747
jeVqPpWlPxg	1273112	1347617	1683048	1757145
-KKBtdYW9Uc	8352	8363	8322	8332
R5QpUh6cYO8	202477	202734	203661	204344
ktwOZXFYw0Y	774193	781009	806277	826950
jLRm8wP6iCE	27544	27564	27608	27632
ovZw_z2s9Bc	145077	148478	155912	159422
iH8mWNKM8xU	None	None	None	None
GS-666L0VLE	259622	260801	265566	268457
dEjA3uw5s3I	156944	159909	170441	179834
1meYHqpovJc	3789	3851	4012	4132
UMnk3n6QGmA	32200	32297	32609	32788
