zyNUr4LWfoc	10692900	10829458	11429492	11722448	12008516	12149056	12219454
73z14uurwO8	348359	354157	369985	374785	378342	379669	380256
nOL7AAlBNWE	153122	158754	176677	186359	195364	199692	201755
1bLg0XAmkT0	45786	46689	48967	49974	50632	51221	51466
HcYkm5HMO-Y	121723	126252	135575	139982	144497	146808	148140
OJiBxSe4pfU	17657	18469	20453	21457	22487	23072	23440
-d8rwuG4l3Q	216498	224401	244171	251452	256972	260011	261890
7cK1a9C7nlg	4605551	4923592	6215518	6823513	7291988	7532550	7610269
irmjkT-cu9I	2700168	2830141	3148891	3283435	3395065	3460116	3490881
_A6QcoZwRpI	450325	461352	487565	509236	527971	541663	551074
a_0PSZ2S_yw	3581123	3619942	3783481	3855332	3933385	4003169	4029204
acMC7bTVcY8	3498898	3912171	4876184	5299822	5717665	5928586	6065831
QO7e_RiMVQg	11845553	11897193	12130393	12272259	12411980	12499429	12542161
FcmUNlgld74	11556546	11689985	12204305	12421970	12650488	12775481	12852115
3Nv99SKbpKU	409302	415453	430145	442358	457134	464468	472396
NFGKkYjjsyI	2487454	2491295	2504668	2513202	2523478	2528536	2531307
z2JmKR_STSw	10442081	10450237	10475080	10492849	10512745	10523385	10530763
tzfRQrrAliU	293192	295107	299452	301316	302745	303851	304221
DDY6KjQCMoQ	10243159	11039644	14910813	16345118	20066168	21178548	21295911
Im9bpJY_NRs	351802	360685	384886	397383	407804	413970	418380
jVn_rRlP29w	223525	230348	244137	250117	255480	259225	260982
V7lHNwP3pes	1571263	1627126	1797412	1878992	1952816	1996625	2017150
mc8s_H028VI	2020702	2074273	2221581	2291681	2341288	2375719	2390024
zLUV7_cvGWs	1681037	1682757	1688447	1691826	1696138	1699009	1701062
oI_X2cMHNe0	4133837	4199819	4443223	4542714	4660185	4725895	4755947
4TcXhZZM9ss	1060457	1101236	1212361	1267201	1316702	1349209	1369805
aTTRT41kKRk	522097	581103	695744	789164	871473	922380	936880
TkTaadb9GmM	16365488	16439151	16729140	16836203	16974307	17053434	17094849
S0NjsRuxguQ	2230136	2247699	2299672	2326680	2356945	2382235	2396890
eV_Ki30MDDA	8627826	8713709	9246182	9572402	9925902	10170344	10268136
lf5xz9OcB4I	64878	65105	65488	65649	65758	65820	65864
V231U4jWvDY	85192	91919	114831	127637	143852	155104	163181
DmKpePzn5-c	19407980	19476026	19766995	19985533	20162324	20286146	20351583
9KTbxKz8VXI	1118561	1200496	1490585	1616882	1711607	1766062	1796713
Pym_mBhBin4	1553669	1567087	1603749	1622236	1639363	1649693	1655791
Hpv4f6NuAqw	558349	565457	584358	593989	604720	612230	617194
0ob5Cxk_R-I	1190648	1238173	1350902	1393080	1418871	1434722	1443593
JfA5jerg6Jo	490691	498121	528107	540600	551536	561211	565582
m_jpfxJz04I	2672101	2733157	2893857	3013166	3109813	3151558	3175372
kA81LzzdDGw	2576643	3367902	4259346	4696591	4927603	5015130	5047155
xNZLnGcSZm0	323636	327735	342593	349024	354518	358541	360590
P6Ps7MYB2bI	823091	862733	990936	1036104	1055902	1071251	1072073
_dpIwwI86ss	1899314	1908316	1933802	1941704	1949436	1952778	1953791
V4jE96BAOtE	94736	97449	107503	115497	126227	133211	137230
nY3Pqhs_Jbs	2863496	2926436	3107839	3186948	3251527	3291446	3313603
EsSsgFzMVwI	321614	322646	325029	325974	326986	327666	328008
q0qPsBvRRL8	1090314	1112267	1190322	1240042	1286999	1321232	1346451
N9Bkt5LYtDs	715258	722145	743351	746801	750306	752125	752937
ITQ6spSMC38	2039723	2040217	2040474	2041321	2042705	2043369	2043847
mmuMv4d6ZQE	1775909	1844000	2065404	2199224	2326841	2404751	2469292
tgB1wUcmbbw	36651488	36723595	37082413	37344795	37660541	37857082	37987734
IsFpeXZTWao	263352	278927	336453	388146	422046	433351	440277
NmX1N2p_UUI	136164	141173	155203	163143	170971	174394	176571
U18_SflSX2o	779791	783050	789778	793313	797572	800436	802213
vWQLeWxqVoM	1578870	1588161	1624876	1641406	1665475	1677807	1683087
F0fMoqY9qI0	11347879	11402408	11512599	11563398	11623184	11663169	11693962
Jrlrf7SO2e4	645110	652027	669593	676576	686245	693040	695422
ofzAHuarLQQ	371005	374533	386262	395117	404515	409492	412930
v74W5Httipk	247129	252757	270322	280588	291009	297005	299413
9wOdmZepV0E	672096	1137673	1886297	2141677	2366431	2486799	2556569
XGQIQVsgAQw	487108	492861	507349	515383	522984	527311	529402
uGzDKU7gxho	2328062	2433533	2446565	2448638	2443616	2444090	2444259
8G01PAw2SdY	68322	72600	80339	85742	89454	92156	94145
GkvuazSkBoI	1749228	1788430	1888027	1935106	1978738	2005814	2023441
r4L9EzvQmfw	652066	656426	670781	680048	689008	701109	705561
jeVqPpWlPxg	5281368	5871921	6883185	7346701	7799083	8069342	8221643
pqnSZjwlYKY	1150171	1187384	1357098	1511811	1635337	1716844	1751133
-KKBtdYW9Uc	1154326	1158859	1178326	1181299	1186764	1189615	1190430
FfsjGlFNb6k	121994	123599	128783	131683	134913	137024	138377
gOx-3yEYrFA	3438266	3457414	3541461	3601299	3662016	3693588	3705137
V7xkf4EIyys	135078	142426	157896	163547	168208	170687	172292
LP_670OTBN8	997446	1000699	1010482	1017024	1025749	1030783	1033798
o2uWu55clG8	629012	633694	646531	653918	661334	665486	668196
tn79OFbPwKE	14762939	14901398	15558613	15925214	16265057	16428648	16503161
iH8mWNKM8xU	2012873	2705990	4039625	4519148	4957672	5169542	5276001
rjKuq25a0L8	68568	69973	73641	76207	78111	79185	79818
XH0ETI9URE0	2387544	2412190	2465271	2487783	2503328	2513775	2518836
RirNNYeHfBc	816617	827363	857914	875589	891025	901180	908552
eBe4TySsONo	736935	741317	753263	759098	765618	770978	773826
