XdUoiEVccdo	1000813	1031430	1148979	1217544
hse_g-YZ754	3720415	3745104	3822597	3843508
-PPoe9b2iCo	156179	162799	178623	187021
iny16wsspZk	347289	361438	377976	385656
URnqWj-kJlE	62647	65080	75993	81534
FxTk7YRp3FE	66650	67765	71319	73662
f69ICbKFKak	87252	97957	118533	139173
eOhcZ-CupVE	285522	344931	411632	430729
3QbGg8G7wE8	383140	400583	424508	434824
y6L2HPhuGSg	1620596	2146546	2458980	2515612
9Q71C4IsbZE	694881	706120	742670	758231
cvgbMpKjtks	365943	396360	448272	473060
a_0PSZ2S_yw	3581123	3619926	3783091	3855332
Hrckugg1uWQ	278771	286431	302793	309942
yf--HfbV2Is	196248	199338	203176	204501
ZTFWZJHuZQE	50786	54395	65878	72245
B5T0RHIcT_Y	234790	241728	257705	265587
kT_x7qxQuac	214457	225575	243346	250691
z_CroYdSTwM	239284	249708	299073	306183
wWWD-gpfIqg	227845	232624	242213	246589
67F4wWCUKTY	289527	352806	455269	486266
CMWLX0KXwF4	425225	523176	837546	1010628
T2OSS9mX8Io	178342	244150	301397	321016
r5n1GCY-nYQ	5617080	6177203	8033681	9063969
DDY6KjQCMoQ	10243159	11039644	14910813	16345118
-lYheij1EtI	252805	271950	288328	304546
NFUW6Vj3z_I	76568	83888	104856	114450
ZkzNAhppysE	2174274	2288758	2779016	3102735
8G1VS70BdU8	197584	203107	223173	232108
2J9pXnhQJqM	325462	342618	399326	423353
oI_X2cMHNe0	4133837	4199819	4442547	4542714
_fpxCuorKjA	3211576	3396728	4146290	4358192
mL_WNsw8Wdg	257047	257997	260709	262008
6fPj6mj-M_k	1088520	1105364	1158164	1180813
VCHk9zoFIr8	3366895	4195740	7919988	10117014
VWRh7mSO0dA	153089	161347	178945	188753
tRDblFJlcb8	65909	69631	77781	84701
xcjPuh9qFzA	142540	145953	154028	158579
tmZEiRqbDpM	644895	661368	696764	723053
zY3mKI1XFKM	1300706	1306862	1335705	1339372
JyXpzxRr_T0	684876	706978	807258	865898
AoOLVyilwfc	113842	117020	125720	131293
Q_wdABahpCM	100224	106319	121276	132363
P6Ps7MYB2bI	823091	862733	990936	1036104
x-rA2Jrnuz8	158339	159855	163398	165279
1KHiwwmusaE	527864	534433	548659	556805
U6vFqjTVYOU	45085	49353	59314	63432
vPHbooOJVQA	141710	148586	163675	170781
SpV7VPoTzF8	962120	1009251	1160736	1243300
jJI-UmMbsAM	58419	61367	64826	66910
PbRZcvVnF0w	986814	1037565	1312856	1505160
KCNhjF-MzYg	476238	531067	649926	690656
iZr3E3a7woY	104150	104636	108828	110608
HtYZTqi5jgQ	293312	305871	337574	355006
dqX7hF9AUBA	92132	92361	92713	92922
Ajn-PTtBOn4	896493	937453	1098992	1210127
g7Pi-14IOtM	401281	405384	419580	427179
jeVqPpWlPxg	5281368	5871921	6883185	7345404
VS4QQPFw5uI	602484	634843	781039	828294
3yvVjrVpzws	995293	1066735	1196955	1276428
UxWtQokSuvw	38546	38778	39285	39613
xt4E8FSIwFM	126347	134540	158721	183813
cozgrxWZBKg	148087	149253	151363	151807
YzgJvysqbpg	109934	114255	124435	125691
bxKMXOSJyqY	92942	95398	110927	133612
iH8mWNKM8xU	2008265	2705990	4039625	4519148
7kuF__NWV6U	712860	782180	926451	967186
ZDfR8S43Chw	119962	144745	204112	245252
dPRlBez5_9U	104799	106206	109989	112030
oijf7rtTwxQ	413473	421635	438839	444585
kd4F17sAzrY	176620	186360	204838	212423
AmWcgZVpbGw	620255	625687	641303	648876
W2HxIKEwC6w	181257	184821	194141	198177
rI0b_gmnvvU	59269	59682	62080	62851
si45rP-exiQ	251920	257513	278085	288868
-NMs56pQ9EE	116252	237741	382284	453553
i3Mft0X7UQk	340947	389588	457005	474420
SrXSH0KfI_c	743270	789203	890475	958332
qeT-ZocCEAk	243511	246352	251752	254560
-gJao_GoBWc	145377	151770	171518	182576
idpaZFV3b3o	106850	108741	114107	116303
4V-KojsHAAA	124368	125528	128820	130112
4vbDFu0PUew	31895720	33137969	40236974	44602892
4TN6qRf7S2U	1028446	1094968	1277733	1390376
n6WwfSGj31E	521814	538842	595682	638738
6eN_roYUYQU	3928382	4167069	4857121	5283749
HLLofrwRlBg	1534249	1565598	1689765	1790172
eqDyBMHIrrU	226119	247192	299088	331294
jkD9prp1Ii4	2281580	2473671	3052072	3474866
vg6Iq_Es3Wk	9670189	10147962	11426161	12300379
KKXHax5Kbg0	501509	520696	574497	604167
SekELztG4LU	1255666	1460436	2324270	2948336
Wo60qvZFBTc	481528	504716	562562	584968
oSwZ_BckDvc	9807557	10166231	11226573	11795256
VUXTzIxvtrk	395196	447673	586841	658393
84vlnoIDe8s	337072	344185	361914	372238
AQbmpecxS2w	924110	977463	1157875	1288738
olyLUstmWt8	383140	398328	423304	433204
UWeJg217v68	115761	122083	137096	145733
cOFuEQEvC3E	2900033	2936997	3011669	3029714
SXxvaMrMFnE	213252	254855	381700	481594
qV-PKroH6_U	112036	114917	128740	142863
PZts_28JGpw	274872	278373	289958	296168
1WhDCLhgHmY	317498	322832	336552	341872
Y0qOJO5hfBQ	140247	149299	196699	237656
0b5QBaHd9iQ	338431	346298	368077	380048
MoyDJ8VnTGo	287605	299308	320402	332674
tNLpc44miaw	94061	96041	101138	103918
9UX0JCz2SCI	127727	130392	137940	147174
DfcrhO3f4KA	59023	62041	69075	73010
ZzDP7HGvnm8	247045	255976	284579	300639
aD_KrLsM5kQ	61230	61902	65259	70128
WosblHoWh1g	2380948	2409579	2522720	2570500
Xhj9SBgSMwk	138673	144809	157690	162258
SUdHzKRiBX8	1735623	1796893	2040208	2171199
pQuk3t2aeBo	6467110	6564103	7048988	7285827
sCAluJdxOCI	2418046	2904537	3942390	4650256
X6mv-owlbH4	62695	63723	67917	70127
ZQ4E0JJcxz0	3033654	3063193	3165624	3214089
vjhbxxTYkpw	1816045	2374143	3036211	3201659
Vm0ZxZikXcc	630490	658086	732171	777717
dmBvnY4rKHg	6989188	7116093	7432582	7602652
R_S-K6bMX1w	251177	257765	277674	294066
Yx3K3g4CtoQ	1824393	1952074	2470283	2652878
RnCqjF6aGJw	177524	228752	346077	442898
QYSy42bSawk	117903	124192	142830	153834
FIoeYRjSonI	529969	551097	619962	666273
uFzuRm3wCDk	1130962	1154495	1243007	1276820
mog5HEfbr68	681186	683298	702167	703492
PHOtAn1ABCk	27092	27153	27314	27408
PLUu9mlJtV4	265690	274422	300240	308640
sYvE4X_3LjI	320987	335549	373600	391827
VoPdilLrDr4	78013	79119	81612	82315
Rd7k3lEtUc4	386083	393110	411187	419751
ilTPLTPrBTI	43227	47189	59507	68656
TrE6w5k5j5s	110846	115717	133760	144378
Vfv9Qky427Q	1817954	1949183	2739486	3056930
JCqqojm7I1U	967495	1092460	1429874	1603542
xADoXTL07qI	84239	91328	103920	105876
eSAqhmneKKA	1043970	1092841	1178053	1223969
ebatweUrQws	753202	780379	911661	997253
XYrsVRONZUI	204832	214342	233154	245319
4oEFDdVRKGI	339864	347602	363202	381316
n1khwOk5dN8	8609560	8893796	9743105	10057696
f8SH9l8cPkQ	176142	177499	180556	181774
4aqqj96AYu0	331539	339394	360775	375918
vcf4A_I--Ak	211068	216087	227010	234281
Kcg8l5IQgjo	2147554	2172832	2307092	2363002
oj5BM-X7zPs	190404	240535	295036	316014
C_0nXwKhWhw	48665	52753	61094	66899
OJ2B4Fb7xQQ	2465350	2683571	3520472	3993348
HoQsrReqmyo	2617353	2768614	3090483	3325426
AEk8elc73kY	262014	266809	278243	287006
bVVZOaAHeVE	181492	183872	191410	197014
Yfo7z8Y3uPM	202188	204786	211244	215603
cXbMAGnB_og	2091950	2094901	2100193	2102281
heayyMyhSGU	2792206	2921900	3594290	4102756
rj9lYx3xyAg	87411	101562	132887	146473
w7yAu-uNT7o	599317	615011	683463	720086
8dJyRm2jJ-U	87149121	92833112	109399079	119761208
LiNxfFkymTk	2459871	2890648	3844282	4330399
zLDZXdjufs0	437952	444394	465983	472896
C1ARa-BGcHs	353835	361280	387449	404536
E4atQtgymTQ	212634	249657	294431	309351
OBKDd-ubn2E	110743	114628	124589	138565
kLgwM5Cr2lU	561578	568008	575242	578601
_iz5_DuY_II	6392990	6653878	7821344	8584281
eJMCHsOINzQ	204093	220896	275412	309396
fV5NzrTmqZM	4124226	4271619	4685700	4809834
iylKpM-3gaA	485099	504184	545056	568711
7OPg-ksxZ4Y	2561568	2683025	3110335	3383332
tasUunmKGHk	258955	269207	301940	322652
zrtpHfYDja0	261906	272915	292650	307936
BWUR1e6fMtw	1934560	2079059	2512498	2812753
wpV7OXr7JYo	7804256	7925204	8363197	8488744
USE7u92juMc	336269	452178	737178	986496
uttscLyNu-Q	38938	39522	41107	41854
55qd4q-DBis	271413	312457	427950	497480
WuLuF6EsvdY	622464	733742	1041577	1266015
p9WdnIvEgT8	31672	33230	44349	59378
ItZ4SlxpOiI	2418366	2535872	3158127	3615434
ONj9cvHCado	8588970	8835259	9772224	10205246
2jCkcOSXS_g	1358086	1391976	1428735	1433953
C7HW17Vojj4	3074849	3619822	5746509	6987182
RcABArm8aYY	198096	200578	203240	204463
OTtr8LF9Bzw	240976	246126	256406	264227
mGBshW61EC0	1231233	1299946	1481866	1620379
CgkOp-zTlmc	1606284	1655509	1853150	1982756
vhj06OEYCM8	155921	166474	180779	194552
ijS_orLb6VU	5140042	5485835	6652910	7342049
ZTpRsEp-_04	2493969	2548968	2818887	2964149
gfZD4F01m-c	88654	91260	96261	100023
nSKr_P6YcRY	57207	59319	65423	69021
_fnn84w8PNs	90423	93669	101846	110206
0UIH2gQUkTU	152744	156627	167378	173503
wNfSsCXAhZo	634969	638923	651857	658931
6tsCKpae2WU	184696	187004	192481	195698
6N22wYwItDs	297540	345504	467027	509550
HpcMKZUs2QY	2472797	2497127	2585055	2631356
1hzWvcDQpZE	134152	140339	153236	160555
