RYqCp7DhSog	551539	575208	651908	676358	692760	702871
iHpirPqHu0c	164630	167997	184601	190475	196582	200089
XwG55kTNs_0	195361	213942	286238	321237	348552	361369
RO97n4rHLLU	216060	224785	258098	279526	300431	313614
hRffZKY8oqA	104443	107639	118220	123888	131148	138208
_VxUbjsMyQs	1369756	1394926	1502558	1567702	1623614	1661834
7t1-J40L_rM	296316	314016	366320	399612	434046	452574
_-DxRpFt8Z8	1192357	1196029	1213206	1219850	1226095	1231023
-NF0TGFka4w	75708	78027	86051	91788	96217	98901
t4-Vf6L63Js	1647567	1789521	1891433	1901666	1906388	1909034
bFeC5UBtLZs	1254104	2144136	3189898	3507722	3701296	3796881
IG-7SnQW-80	606599	748142	917538	950253	975886	994375
4SCdc8cGxAI	116284	173696	349020	364988	376790	384481
AH9m4WF_aD4	71523	76538	84472	93072	102635	106980
CMWLX0KXwF4	425225	523176	837546	1011030	1187953	1314239
r5n1GCY-nYQ	5621749	6177203	8033681	9063969	9736071	10031884
DDY6KjQCMoQ	10243159	11039644	14910813	16346886	20066168	21178548
_HYse_HYnuk	22803238	25987737	32596663	35335710	37300652	38051227
UUnQZiDaNdg	331097	343007	378971	396625	408670	416547
1ydMr8kxfw8	151638	153120	157764	159854	161926	163967
kAu3uDBf8oA	436959	437149	437626	437825	437310	437448
7QLNMC3VTx4	334111	390405	430308	439215	445370	448824
uYc6aV4R6PQ	435904	445570	479123	496020	512654	522799
E5VIOnDzrY4	263168	280484	361947	418415	464812	500484
fN89luprW3o	298892	307882	336299	346919	349813	355962
5j0fptQ1R1U	181986	207026	363143	481035	632381	756677
7lWEHHl6VTI	24892	28907	34648	37181	39317	40740
Kj3AxeGK8wM	473557	498235	518062	522546	528402	540153
VCHk9zoFIr8	3375663	4195740	7919988	10117014	11545848	12674817
zhO5d4F2prE	248381	270712	288826	297582	301707	303475
sKWU4rneSlQ	741187	761885	855492	890729	916987	924526
BPOpyIxVbBI	350868	368941	413308	430499	450855	462284
