r4Cb5nj4VgI	143907	152142	171580
XdUoiEVccdo	1000813	1031430	1148979
OrJ4rPSlrlI	1153743	1218688	1497717
z3vJM8AOvvQ	144093	146433	151732
2RguRRYnqlU	257619	258538	261026
3MCr2hsmLBE	35237	36975	41879
7cK1a9C7nlg	4605551	4923592	6215518
HzKJeQIX78k	31441	34283	40621
KvbrhBGeQss	200945	202186	205833
_A6QcoZwRpI	450280	461352	487565
Vcwhe0pY4Bg	8057867	8161441	8630441
a_0PSZ2S_yw	3581123	3619942	3783481
lxZJqTudlf8	336800	339791	346440
QO7e_RiMVQg	11845553	11897193	12130393
FcmUNlgld74	11556546	11689985	12204305
3Nv99SKbpKU	409302	415351	430145
z2JmKR_STSw	10442081	10450237	10475080
OpOvMwkGL18	2159792	3277431	5793830
DDY6KjQCMoQ	10243159	11039644	14910813
Im9bpJY_NRs	351802	360685	384886
M3iYFWMATyg	135865	140798	151042
jVn_rRlP29w	223525	230348	244137
DxJNeHoCl9M	152614	153460	155464
2J9pXnhQJqM	325462	342618	399326
DgyBl_gexIM	504230	507552	516566
oI_X2cMHNe0	4133837	4199819	4443223
CTQ0TYi5_CE	116993	122278	133607
eV_Ki30MDDA	8627826	8713709	9246182
I1KoMDjBGFw	295104	300509	329339
_fpxCuorKjA	3211576	3396728	4146290
xS68bBDwRXg	300381	302950	309144
V231U4jWvDY	85192	91919	114760
gRl0LJyG92Q	618608	682391	784090
FIRQSAwF0bI	4051413	4408205	6186745
QmUuITayBSY	49190	53616	63241
zQDDKSzdD14	446110	448938	457391
Hpv4f6NuAqw	558349	565457	584358
coazyyuVn8Q	76964	79597	85618
JyXpzxRr_T0	684876	707305	807258
j-AoXqu9EUo	160426	179882	219083
_dpIwwI86ss	1899314	1908214	1933744
P6Ps7MYB2bI	823091	862733	990936
C37nK27J70U	1688234	1860660	2425587
EsSsgFzMVwI	321614	322646	325024
tgB1wUcmbbw	36651488	36723595	37082413
URwwo3xyFQA	2870507	2935391	3107583
iBRvV0MMY28	30163	32432	37939
S7oMM6o96UU	2921868	2953698	3162981
F0fMoqY9qI0	11347879	11402408	11512599
3SpV9KhFkDo	90828	93994	101923
W-ZTiWVFlzU	1764421	1782222	1849682
YWyouWrkbwg	145527	148489	154877
TUbq7dOIWfc	151928	154885	161116
ofzAHuarLQQ	371005	374533	386262
E3j8JJxoNZM	54997	69007	78921
-tRyveYrHWc	137105	144143	166438
8G01PAw2SdY	68322	72600	80339
jeVqPpWlPxg	5281368	5871921	6883185
FfsjGlFNb6k	121994	123599	128783
-KKBtdYW9Uc	1154326	1158859	1178326
V7xkf4EIyys	135078	142426	157896
o2uWu55clG8	628993	633694	646531
BcZutcrwspM	392480	394910	400443
tn79OFbPwKE	14762939	14901398	15558613
iH8mWNKM8xU	2012873	2705990	4039625
rjKuq25a0L8	68568	69973	73641
RirNNYeHfBc	816617	827363	857914
eBe4TySsONo	736935	741317	753263
0HPKKFugajE	2053422	2069665	2133008
1yuTJMFGxEw	5269916	5406237	5717630
8TF1lDvl8To	171912	182048	226114
m77uOIO8oZc	135437	138343	143969
nWvCC170AhQ	312125	314977	321749
zPOYkJsrewU	1828143	1858239	1971050
oF0tQiRA_Po	429310	431489	436834
cUbzWjNqtmo	2123820	2186328	2288302
OPLNn0EWRak	207310	210158	216161
8xfSL0XLRtQ	3879132	4021416	4711626
DmQ4Dqxs0HI	3435475	3505836	3817905
TYAPatpXmYU	80844	81401	82782
t0A9T9odIng	73268	75727	85640
4vbDFu0PUew	31912333	33137969	40236974
W6aKUbzrf7Q	180086	180986	183820
-b7l4TmWMQg	1165498	1181826	1261960
4DzpgwcGM-A	398616	403515	421852
0_E-aG_bISM	256207	364364	437041
iE3G6JwkSzM	160249	161065	164048
xmGetpBKsJM	131422	132243	133948
QZ3pBoEAFmo	177409	178714	182831
vL0yww9nk9o	6429841	6446165	6512227
CU-gFup1N6g	320689	323119	331652
QGae78sWVSw	2988611	3234121	4344336
kJQ3FkvUB20	3531330	3589901	3743891
mkH7rVb6V68	5650372	5659687	5680566
oSwZ_BckDvc	9807557	10166231	11226573
v17J6GbtvKY	2565136	2573524	2612011
llWDmKfTf4Q	22166	22834	24521
AQbmpecxS2w	924110	977463	1157875
p6sCsOdqXQw	2209368	2244727	2388939
Z_MvkyuOJgk	13336354	13498083	14125997
AGdN0M3qvRQ	592279	596515	606494
C99p_XDjnzM	317725	318829	321382
EMENtBGB2oI	179815	191105	222791
yvMFw-RPw24	39064	43543	53406
AMt2USIyHxo	60571	63084	69595
7JYWvFXxrtc	59190	59844	60932
GGY2mPQwN7c	7074764	7238373	7670292
gcrbbm1M5_E	421360	423534	426128
IV3dnLzthDA	11621627	11730393	12165689
5ns4cNiEPEU	55489	56603	59358
EOWTHZasKjY	165082	165575	166872
v2PeasiG_bE	44611	46028	48859
ZoPJVcHYlU0	None	None	None
8uiUz_IUkpo	150823007	154912540	167283122
qrQlFeRhh_M	593007	640022	753500
eHDO_lT2mVU	375459	377561	381373
pQuk3t2aeBo	6467110	6564103	7048988
SUdHzKRiBX8	1735623	1796893	2040208
v8lSnWpX2HY	140755	145152	153855
L-QNituOKHk	1261833	1275261	1314190
rDDg8yh8_Zo	328323	332163	343950
vjhbxxTYkpw	1816045	2374143	3036211
ZQ4E0JJcxz0	3033654	3063193	3165624
pirYs7L4xog	108937605	109713484	113101266
Az0qpaULe44	53735	55466	60050
uFzuRm3wCDk	1130962	1154495	1243007
O--o-O-ABBw	2283016	3659131	8316313
DqWPQqfRod0	49323	50153	51773
6kolTgj7uQc	1073776	1090429	1154386
-4CDUUCtmxg	1705199	1747348	1946163
VGmTO5DRxII	9591647	9653303	10012823
7sKmkddKo7c	20353	20905	22260
w1eENwQOp_c	1228018	1235647	1330811
JF8UziDHqZo	1238752	1286248	1454919
lyJqXb8Nj-I	1722068	1812009	2097827
sk9zxDrY_Cs	182924	199118	221141
n1khwOk5dN8	8609560	8897478	9743105
X4tkpScTVIE	343566	346438	353962
DUqcrdEZopY	1677587	1705899	1877964
_cW5UCUv2zU	926980	953499	1015411
m5KR5mVWtmQ	86779	88341	91793
QYh5gWwZnCM	53361	54848	58726
faFYKeUd6HE	56248	57341	60100
3RUUYE9oRaQ	131283	132812	136007
2ktrhIVfRws	117139	117255	117635
OJ2B4Fb7xQQ	2465350	2683571	3520472
ByffdoApIuc	40586	41906	44021
3h0_EKfgxuY	167216	174768	193584
Sd0cUVU2CzE	120868	124305	134333
yEP7GgzSgUs	177160	178312	180592
c0AOEQAvZWk	48175678	48179172	48175839
Vt-WpdbwIek	920184	926345	942685
w0Hpsc89KpI	41708	42133	43122
plevxo4Enps	352840	354215	357872
44UFVI6lTYE	156359	167773	195378
8dJyRm2jJ-U	87149121	92833112	109399079
41-nd7dmjFc	32799	33811	36362
qOY8F_ngNWI	1036531	1065595	1192288
kUb-hQsTdMY	187226	190728	203326
tOoqe7gj3eo	255225	259452	267818
dEbVfBJMoRI	1220392	1239519	1324521
2n5GKLdrTfk	1398270	1490657	1894332
pnCIQDuO6rE	11783337	11833092	12058622
5CZ7BDolNaA	204289	210408	221029
V3C4pWwDqps	10077929	10085746	10063290
HD6_0c8Fgnk	597502	646478	717156
_iz5_DuY_II	6392990	6653878	7821344
bbNj0atVOzw	65933	74115	94747
KYOsPUantFM	2345527	2350467	2370631
JyP4errAatk	75028	76701	81555
DApcnbjG5io	515499	524765	554283
_3qcta4fo6Q	53043	56023	62931
7OPg-ksxZ4Y	2561568	2683025	3110335
Q_R5azC1xUI	485398	491648	505516
Xl9u1XTGkis	2292887	2386254	2686533
wpV7OXr7JYo	7804256	7925204	8363197
YLYKyDs6jWg	26358	32256	44311
3Yh_6_zItPU	6465893	6855393	8078570
Vr5Ph5nOdgg	340688	348588	370507
kBArlifCKgo	559743	586650	615790
t3TiuCbgWMQ	160949	162301	166385
u79EjaUsHBc	51484	53250	59892
52TijrkrNGY	217538	221531	231616
-lf-tobZ54I	285402	286803	290493
UST5N5fgLV8	549576	550493	553547
zkxokq6qiGw	113726	115806	119425
g9g9Y3BgYMQ	3842186	3866644	3998344
ONj9cvHCado	8588970	8835259	9772224
UT6svFVQY4g	120373	123459	130502
RQtMWyUV4zU	156992	158223	161896
JqD2OxWQYMk	1272150	1286825	1348268
5YZ02LC7SUM	366951	384538	412746
V2ANgnLDIQw	98350	103760	119901
oTw8AECmUNA	19874810	19970388	20471392
vYHaQ_oD3No	1478686	1514027	1550158
IO0s9JzR4So	87768	94070	110601
mR1BGC_S8xo	1597600	1604552	1631915
6N22wYwItDs	297540	345504	467027
HpcMKZUs2QY	2472797	2497127	2585055
BOnhJt5pyOo	61419	62220	64069
