r4Cb5nj4VgI	143907	152142	171580	181862	192241
XdUoiEVccdo	1000813	1031430	1148979	1217544	1290639
OrJ4rPSlrlI	1153743	1218688	1497717	1646440	1775906
z3vJM8AOvvQ	144093	146433	151732	152309	152959
2RguRRYnqlU	257619	258538	261026	262684	264196
3MCr2hsmLBE	35237	36975	41879	44452	45861
7cK1a9C7nlg	4605551	4923592	6215518	6823513	7291988
HzKJeQIX78k	31441	34283	40621	45037	50301
KvbrhBGeQss	200945	202186	205833	207422	208908
_A6QcoZwRpI	450280	461352	487565	509236	527971
Vcwhe0pY4Bg	8057867	8161441	8630441	8977183	9317481
a_0PSZ2S_yw	3581123	3619942	3783481	3855332	3933385
lxZJqTudlf8	336800	339791	346440	350814	354408
QO7e_RiMVQg	11845553	11897193	12130393	12272259	12411980
FcmUNlgld74	11556546	11689985	12204305	12421970	12650488
3Nv99SKbpKU	409302	415351	430145	442358	457134
z2JmKR_STSw	10442081	10450237	10475080	10492849	10512745
OpOvMwkGL18	2159792	3277431	5793830	6856433	7652639
DDY6KjQCMoQ	10243159	11039644	14910813	16345118	20066168
Im9bpJY_NRs	351802	360685	384886	397383	407804
M3iYFWMATyg	135865	140798	151042	154336	157725
jVn_rRlP29w	223525	230348	244137	250117	255480
DxJNeHoCl9M	152614	153460	155464	156590	158133
2J9pXnhQJqM	325462	342618	399326	423353	439370
DgyBl_gexIM	504230	507552	516566	521552	526538
oI_X2cMHNe0	4133837	4199819	4443223	4542714	4660185
CTQ0TYi5_CE	116993	122278	133607	138304	141754
eV_Ki30MDDA	8627826	8713709	9246182	9572402	9925902
I1KoMDjBGFw	295104	300509	329339	334616	338693
_fpxCuorKjA	3211576	3396728	4146290	4358192	4535490
xS68bBDwRXg	300381	302950	309144	312165	315721
V231U4jWvDY	85192	91919	114760	127637	143807
gRl0LJyG92Q	618608	682391	784090	825151	859906
FIRQSAwF0bI	4051413	4408205	6186745	7331032	9086574
QmUuITayBSY	49190	53616	63241	65926	69174
zQDDKSzdD14	446110	448938	457391	462448	469046
Hpv4f6NuAqw	558349	565457	584358	593989	604720
coazyyuVn8Q	76964	79597	85618	89231	92039
JyXpzxRr_T0	684876	707305	807258	865898	932432
j-AoXqu9EUo	160426	179882	219083	240304	266567
_dpIwwI86ss	1899314	1908214	1933744	1941704	1949436
