r4Cb5nj4VgI	143907	152142	171580	181862	192241	199771	205261
XdUoiEVccdo	1000813	1031430	1148979	1217544	1290639	1322105	1337386
OrJ4rPSlrlI	1153743	1218688	1497717	1646440	1775906	1860338	1899312
z3vJM8AOvvQ	144093	146433	151732	152309	152959	153223	153355
2RguRRYnqlU	257619	258538	261026	262684	264196	265237	265838
3MCr2hsmLBE	35237	36975	41879	44452	45861	47253	47951
7cK1a9C7nlg	4605551	4923592	6215518	6823513	7291988	7532550	7610269
HzKJeQIX78k	31441	34283	40621	45037	50301	54044	56506
KvbrhBGeQss	200945	202186	205833	207422	208908	210063	210638
_A6QcoZwRpI	450280	461352	487565	509236	527971	541663	551074
Vcwhe0pY4Bg	8057867	8161441	8630441	8977183	9317481	9526969	9652624
a_0PSZ2S_yw	3581123	3619942	3783481	3855332	3933385	4003169	4029204
lxZJqTudlf8	336800	339791	346440	350814	354408	356675	360789
QO7e_RiMVQg	11845553	11897193	12130393	12272259	12411980	12499429	12542161
FcmUNlgld74	11556546	11689985	12204305	12421970	12650488	12775481	12852115
3Nv99SKbpKU	409302	415351	430145	442358	457134	464468	472396
z2JmKR_STSw	10442081	10450237	10475080	10492849	10512745	10523385	10530763
OpOvMwkGL18	2159792	3277431	5793830	6856433	7652639	8033825	8119366
DDY6KjQCMoQ	10243159	11039644	14910813	16345118	20066168	21178548	21295911
Im9bpJY_NRs	351802	360685	384886	397383	407804	413970	418380
M3iYFWMATyg	135865	140798	151042	154336	157725	160110	161337
jVn_rRlP29w	223525	230348	244137	250117	255480	259225	260982
DxJNeHoCl9M	152614	153460	155464	156590	158133	158965	159436
2J9pXnhQJqM	325462	342618	399326	423353	439370	446778	450123
DgyBl_gexIM	504230	507552	516566	521552	526538	530143	532258
oI_X2cMHNe0	4133837	4199819	4443223	4542714	4660185	4725895	4755947
CTQ0TYi5_CE	116993	122278	133607	138304	141754	143004	143817
eV_Ki30MDDA	8627826	8713709	9246182	9572402	9925902	10170344	10268136
I1KoMDjBGFw	295104	300509	329339	334616	338693	340291	341319
_fpxCuorKjA	3211576	3396728	4146290	4358192	4535490	4654996	4704986
xS68bBDwRXg	300381	302950	309144	312165	315721	318043	319213
V231U4jWvDY	85192	91919	114760	127637	143807	155104	163181
gRl0LJyG92Q	618608	682391	784090	825151	859906	879289	886242
FIRQSAwF0bI	4051413	4408205	6186745	7331032	9086574	10668552	11862304
QmUuITayBSY	49190	53616	63241	65926	69174	73304	75227
zQDDKSzdD14	446110	448938	457391	462448	469046	474210	478090
Hpv4f6NuAqw	558349	565457	584358	593989	604720	612230	617194
coazyyuVn8Q	76964	79597	85618	89231	92039	93819	95277
JyXpzxRr_T0	684876	707305	807258	865898	932432	973212	992727
j-AoXqu9EUo	160426	179882	219083	240304	266567	283709	299151
_dpIwwI86ss	1899314	1908214	1933744	1941704	1949436	1952778	1953791
