zyNUr4LWfoc	10694089	10830646	11431005	11722448	12009190	12149738
OrJ4rPSlrlI	1153743	1219517	1498468	1646763	1775906	1860499
aNasBtbOsQA	3350979	3419219	3568439	3677606	3802511	3859289
hD1YtmKXNb4	46357445	46637602	48198602	48876760	49652971	50677944
1cB5JZcosr4	2077618	2184427	2532262	2882046	3277604	3484102
JktwRXYTDYc	4571307	4590583	4708928	4789774	4869511	4907814
WGwjBfi7b0I	6649620	6681427	6789465	6841725	6897900	6934432
PhJ0FaLdzSs	1706226	1734017	1801338	1824952	1856793	1865689
jvsDRB2GmmQ	465134	467014	478326	479930	481754	482874
kYkGsXiRl1w	861935	869509	893636	904561	916972	923805
4X16Iw5ST4Q	1534974	1548057	1613005	1641902	1672473	1693376
7cK1a9C7nlg	4607841	4927998	6218630	6823513	7292772	7533136
RmP93yzx82k	21231	24169	29670	31798	34129	35254
TGmteJjCBhQ	314190	379648	563463	738764	972029	1148039
a_0PSZ2S_yw	3581379	3619942	3783481	3855590	3933535	4003169
9Q71C4IsbZE	694972	706327	742752	758255	772604	781372
S_nyiXUMzdc	5588144	5681884	5964042	6097810	6214670	6269444
vPdDYqQHgCQ	826015	827480	835229	839626	845207	848580
9qRxNYuR2c4	1988347	2256597	3402010	3926992	4443147	4724811
QO7e_RiMVQg	11845926	11897918	12131174	12272609	12412299	12499751
FcmUNlgld74	11556546	11691644	12205636	12422680	12650488	12775890
wls4sJFKWoE	41272	42649	45596	47650	49899	51075
ujcsE0iXMH8	1057230	1074312	1151373	1199832	1253202	1279426
z2JmKR_STSw	10442081	10450371	10475080	10492899	10512745	10523431
hJMmweWlDL0	2770959	2781280	2853335	2886154	2923298	2947193
f2Tn9_Q-si4	171882	190813	272556	296186	324731	343646
OpOvMwkGL18	2166173	3277431	5793830	6858866	7652639	8033825
DDY6KjQCMoQ	10249468	11043140	14921006	16346886	20074057	21178792
ZkzNAhppysE	2175248	2290325	2780683	3103610	3391789	3533943
3EPWJEdDkFc	1467587	1477741	1526595	1554081	1585897	1609461
Ipv_LWcdfC0	1563969	1569115	1588321	1599555	1613042	1621393
gRDJH0ba64c	495419	510663	552444	583380	604048	613939
oI_X2cMHNe0	4134237	4199819	4443223	4543038	4660185	4725895
eV_Ki30MDDA	8628192	8715064	9248023	9572402	9926345	10171194
TkTaadb9GmM	16366157	16439151	16729140	16836203	16974649	17053434
gRl0LJyG92Q	618608	683146	784338	825202	859975	879323
FIRQSAwF0bI	4051413	4412110	6191481	7335323	9092662	10678657
bG19b06NG_w	1417533	1460510	1638923	1796501	1976364	2056871
_dpIwwI86ss	1899408	1908316	1933802	1941704	1949446	1952778
wGvO8b-tiaM	2962583	3115485	3357769	3380638	3399915	3414785
XzZGOrCn0gQ	2141116	2154422	2228147	2279136	2339287	2368411
Z1Nv1VcsWeo	2390935	2545442	2895600	3069072	3200812	3280405
