XQwsE3mvBEg	1047069	1088137	1136079
GhjhjdMLGyU	96201	103508	106901
wNy8mtRYxOs	149590	180799	295013
KRkYYZqUrYQ	427340	439514	469934
RM5UOyi8W9g	1268774	1275762	1296372
Z0U07aRv54w	459740	494216	567071
RqMxClvspj8	1134852	1149331	1161934
oJAkfH-GHKA	243105	280160	378009
acMC7bTVcY8	3502831	3916704	4879130
t4-Vf6L63Js	1647567	1789521	1891433
bFeC5UBtLZs	1254104	2151983	3189898
2k9g9BVPx1k	659785	728180	824945
TowtJr7kbTc	715981	784912	911258
85ePZOOfShI	1251163	1316663	1425157
KMeLtkiLEQg	1134911	1186380	1272273
LHJOFSPDp24	810894	866963	903208
yjmFq279JRQ	608860	654255	716830
Wgqwxiczq5U	201963	224759	275433
yeQeQnwdQcQ	49247	57180	62905
Mr_P0uopeZM	37355	41733	54571
_mGG40ZvXyE	699468	748832	836973
EAI0aeioV5E	597880	667993	803450
yvdyDTKuJXI	547041	582756	670185
V3exqLIGdbA	89296	96674	109463
-nZjGO2np3Y	1000908	1066999	1291745
tHvupGgb_iA	176978	211630	254858
k_LQZaTCjJI	1337419	1415039	1542961
ejqo6qHgWTg	456007	602239	786386
kJRmCcqrg7g	89296	91087	93511
SgbomNuKv_s	320402	344299	391305
tD09cBIltKE	36589	45027	59075
dUTWbjR5nHA	61271	128436	197392
kA81LzzdDGw	2576643	3367902	4259346
KD8Uq9lu-DY	424995	436850	480280
DXDgtGpvl8Y	910242	1106113	1211811
5HJSLAgch8A	52826	63046	81443
CXpTpbhbkMU	51371	56418	65360
c5guhIm9YDI	164787	226316	245058
0uBvrBK5Rbs	204049	300457	367282
OBf0d2PYdk4	865439	1281618	1576292
EPCJizoIeUI	400593	456201	524326
3s58t9KFCik	100785	129347	163230
Fy8TJFvW9g0	98175	117627	150700
8G2jppE4rgo	381890	404307	442060
KGQjUIu9b54	562394	579834	629057
d5IPaqKJCCc	52979	58926	74265
tQjjfBRxbcs	85743	91884	102988
sbza7p2w33M	1653121	1756799	1974412
yw9qEpDan10	75794	93200	127576
uWRxfANFDBs	1071972	1077280	1085777
9wOdmZepV0E	672096	1142567	1887311
uGzDKU7gxho	2328062	2433533	2446565
7EpAv6nHKFo	734577	940538	1185560
MWYf3-Mkx8A	206838	220884	249079
jVsUrGkErUI	168101	176251	194409
jeVqPpWlPxg	5281368	5876518	6885868
O6PB0lXt9Ro	411259	463736	573299
obK8sGRQlso	31748	33770	35601
GH39qiQCGS0	280491	288900	301511
yDEoKxx1bLI	5567171	6525321	7755322
ucGb5xbkbjk	895522	943584	1077675
-JVOhHA5zZ8	575187	597049
namXTvyvLp0	1667254	1719784	1840056
ZXLoiPy6n6g	526364	562131	617478
DDeqU7Jblt4	1730544	2172716	2521874
2yKhiTxqshI	49236	53925	66821
b4PUQjqvufg	268190	287347	324014
hMxoZJOkn2s	256527	288582	338705
TQaGKFvOZXg	216593	275146	751124
POq8-yPaHxQ	53284	57117	68355
gtSwZjv1qO8	125232	143928	169974
SpF78BwWYt4	630967	755474	946893
hkDv-WF6xys	119233	127940	149503
jS4eARGSJSI	193632	209620	235923
MOifIuOhBiA	2284550	2296993	2319574
lZIn-y63XFM	1592846	1907564	2653815
pxqOWc_oTIU	917129	947540	978600
qlfj2FejGg4	100362	112001	212743
K_LtyVVHaQo	636403	680376	763282
GSvuulcIY-I	207470	205754	206670
zGUc4mVK6MI	892266	965304	1055916
C-7xXQ_iVRw	3413133	3520474	3704481
z9Va7cyv3d4	829252	842286	855216
Mun1sNl7hp8	90659	100482	123702
uNonZ5WWZwE	686703	689246	691860
OTq-H44sdRk	515359	518248	750447
GC4xGb0a2Io	220249	236986	264401
0Ki_9jyEV-M	798488	825751	871986
EWorIW42X6w	401356	427447	477112
ONS31ND-L-k	237315	264734	332776
FKKshcibx9k	1795355	1849386	1932705
xS-gaiizvJ4	487114	526919	600233
s7tstzJ1z4E	62559	76149	99885
H9MRW8xL3ZE	731830	747071	766972
mrmUVunrw_s	416815	460370	516136
C4hedi1lqpg	102491	107503	172304
3gJFlG5SELg	434340	447676	470611
livsK9vZN0E	639220	910103	1319436
vqH2J5jwfFM	123911	125000	126405
pVVlOhVS8-A	440765	506441	646534
PqKZRCyxXJE	340312	379129	485286
s6k3kQfdJFo	695656	844604	1046159
nYeR9KMQSuQ	318914	363509	420695
hFEzUUBBVkc	1190321	1228088	1320385
ftDQ3bM6C-c	30340	30463	30656
Tvva9IhMWfM	5411468	5704771	6301211
AbRG2AMqlw8	1538635	1592041	1656640
Lmgr3UPCK_w	196405	230375	310810
tvJwv-6oNOQ	1629076	1651833	1800871
7hPr9jYqMFk	600053	617758	669669
T_I_BJLZ7Sg	402701	459674	546184
kCV1Q4jHRzM	1515899	1636987	1877914
TOl098VVSd0	372762	420870	487123
