zyNUr4LWfoc	10692900	10830646	11431005	11722448	12009190	12149738	12220035
OrJ4rPSlrlI	1153743	1218688	1497717	1646763	1775906	1860338	1899312
bh4pXQZjs_4	172889	178131	189378	196999	202655	206203	208179
hD1YtmKXNb4	46356226	46637602	48196254	48876760	49651390	50677944	51041254
f-eK1cgzGF8	61971	64534	74786	82699	89780	95250	97330
zIJEOEZdLzE	2869784	2950512	3230190	3388593	3555396	3675739	3756745
1zHVe3NIZpw	25961	26180	26832	27184	27443	27634	27746
J7D3r5Q2paY	112020	115341	124203	129448	133423	135686	136972
7cK1a9C7nlg	4605551	4927998	6218630	6823513	7292772	7533136	7610870
n49er3bE7ww	49426	50029	51052	51596	52099	52384	52587
epuGc-ptWmc	178950	179891	182183	183548	184674	185152	185456
9Q71C4IsbZE	694972	706327	742752	758231	772604	781372	785164
a_0PSZ2S_yw	3581379	3619942	3783481	3855332	3933535	4003169	4029439
S_nyiXUMzdc	5587532	5681884	5964042	6097810	6214670	6269444	6295292
bIGDhqY6KpE	1011714	1027207	1086046	1114533	1145361	1164638	1174263
9qRxNYuR2c4	1988347	2256597	3402010	3926992	4443147	4724811	4829720
QO7e_RiMVQg	11845553	11897918	12130422	12272609	12411980	12499751	12542161
bmjWoPZE_R0	13297	16351	20399	21455	22264	22698	23034
VIB-S8p16wM	400979	401827	404027	405528	407520	408732	409644
FcmUNlgld74	11556546	11689985	12204305	12422680	12650488	12775481	12852115
QQSHT3faRdk	56785	57019	57573	57822	57968	58087	58154
1D3GO4ovibY	50467	51579	53579	54663	55684	56258	56519
jcGrTvgarD0	444393	453303	483878	497745	512325	521479	525857
hJMmweWlDL0	2770959	2781068	2853185	2886154	2923278	2947122	2952981
OpOvMwkGL18	2166173	3277431	5793830	6858866	7652639	8033825	8119366
DDY6KjQCMoQ	10243159	11040810	14910813	16346886	20066168	21178548	21295911
oI_X2cMHNe0	4134237	4199819	4443223	4542714	4660185	4725895	4755947
mkAxVJKdFis	30371	32261	38975	41529	43871	45467	46555
pG_as7YjJQs	203396	205006	208181	210799	213528	215318	216641
eV_Ki30MDDA	8627826	8715064	9248023	9572402	9926345	10171194	10269147
wah9KtOUWRk	195214	196982	201408	204206	206559	208123	209093
_fpxCuorKjA	3213351	3399955	4147708	4358192	4535858	4655382	4705414
vg7ZVaBkpWU	46573	47218	49013	50023	50962	51512	51798
TkTaadb9GmM	16366157	16439151	16729140	16836203	16974649	17053434	17095175
epUFyHCLlWg	46524	47976	52013	54501	57076	59040	59785
FIRQSAwF0bI	4051413	4408205	6186745	7335323	9086574	10675712	11862304
DmKpePzn5-c	19407980	19476971	19767476	19985533	20162694	20286512	20352384
UZeqLhuugQ4	73206	75826	84711	91284	97017	99610	101191
gRvY0xnfgro	169252	169996	171383	172295	173634	174510	175174
4PNWZb5erDw	24739	25169	26089	26795	27710	28331	28802
tVr9v3o7iHY	31698669	32154769	33481296	34335285	35194589	35667778	36067675
_dpIwwI86ss	1899408	1908316	1933802	1941704	1949446	1952778	1953799
nivl2aepIpM	74500	76402	80771	84213	87623	90272	91108
C37nK27J70U	1688234	1860660	2425587	2655732	2782668	2832503	2848028
c872m0f00jE	46196	46430	47076	47461	47865	48120	48285
tgB1wUcmbbw	36651488	36723595	37082413	37345960	37660541	37857082	37987734
dwzYqLZYfz4	40337	40773	42374	42934	43496	43924	44176
OxvLT83XBfU	28931	30457	33229	34615	35881	36480	36916
F0fMoqY9qI0	11347879	11403164	11512876	11563398	11623395	11663356	11694221
W-ZTiWVFlzU	1764606	1782456	1849858	1865191	1884271	1894943	1900953
7PHGvzR3Egs	171646	173109	176300	178266	181244	182844	184056
T79ZSCQ5WEc	55885670	56252572	57976050	59107684	60914744	62000405	62503577
b4F0YBnVdno	2748105	2749793	2756657	2761249	2766354	2769332	2771767
jeVqPpWlPxg	5281368	5876518	6885868	7346701	7800390	8070148	8222836
QJ82JUmbK3M	231853	232445	234514	235913	238185	239374	240017
yTV0i9IjesU	381708	383464	389337	392254	395054	396707	398026
tn79OFbPwKE	14764163	14901398	15558613	15925214	16265057	16428648	16503685
iH8mWNKM8xU	2012873	2705990	4039625	4520303	4957672	5169542	5276001
8RPHruM9Oz8	81328	81638	82444	83042	83645	83919	84107
x83Uq20OJNc	69863	76144	92660	104093	121676	130136	136746
yb4kLSp-Us8	1523605	1552159	1716734	1795085	1868414	1924834	1944740
hH28oAoyuSw	93226	95191	100563	105037	108287	110416	111702
jg5HbrawYPU	67369	68179	70217	71194	72149	72513	72715
2h4tsI0lTsg	2955309	3059904	3282551	3307966	3327104	3335748	3339454
WhL0GJ3dM2s	34873	35593	37058	37774	38671	39088	39437
7JGkp6ZrI9o	961873	963993	971179	975886	980602	983542	985860
