_LzE_yWxdqo	10669601	10944809	10994610	11007679
SFQzjHRutGk	1467502	2039870	2257356	2263587
ZgmQBtQSyB8	430065	432265	442098	445972
uC7A1jtbC6k	82153	85438	96030	100179
bf3R9J-Uv7g	89821	96500	113515	124482
Im-hm_i_1qc	834696	894681	973448	1006976
66DH_mrLpIs	193895	212736	282720	321463
gSva10cuutQ	2341441	2408750	2633097	2774115
jjY3LDm7AQw	1294755	1362241	1518351	1611389
6vvQ40PcO3g	164732	169684	180343	186773
W53teWfNYaw	225496	229215	236688	239160
acMC7bTVcY8	3498898	3916704	4879130	5299822
QFwhndKTp00	523061	531601	561955	578416
cI3wnPlMZM4	566315	661644	809688	870436
Mc0OOzZysWg	450459	466704	504266	513326
JQ5ms_kurOo	3302811	3320233	3376208	3408426
1PUWh-mKR24	2091533	2235961	2400441	2444512
sVE18ZdFtPM	64737	65194	66182	66507
ZkzNAhppysE	2174274	2290302	2779016	3103610
iur_YCiB8oQ	1665215	1699687	1763024	1811097
_HYse_HYnuk	22834697	25987737	32596663	35335710
rykvx_7A9ng	1772311	1834144	1990317	2072338
At7t-CQxHhk	1769480	1845032	2047743	2203927
ailM6Ng_IZQ	638058	719749	877607	938495
kdQDQt0O4Kg	11329480	12769800	16858427	18876968
XDuOgDPzEkg	92659	97789	105685	110447
Ry49WApue_I	83281	84449	87788	88979
9jM0OVr-3Pc	2062770	2902072	3580175	3753076
i9bhlUVpdwo	98224	108758	138450	155439
na_nh-X9Dpk	1023468	1049510	1091569	1112136
M9cNOGa4ifs	1669017	1703797	1814686	1869825
U1Ongg-yIJA	807707	830428	924478	967133
o3iK8dddwk0	1608989	1626268	1679531	1685053
KqdhVsJFTjc	106719	112283	125641	130352
TJUc383m6vU	21461	21809	22491	22827
8FNoU6SSH4U	115901	120848	131856	137472
gBnxOrkUdjo	156083	160839	198242	217359
2U5Chbmezyc	67561	78516	83497	85460
-GdsTMYlJFw	3188536	3225990	3336510	3391705
4UYvpqdjGp0	115265	115512	118118	119388
67ckhsQBfFI	93965	96679	103570	107270
