_LzE_yWxdqo	10669601	10944809	10994610	11007679	11012589	11086235
SFQzjHRutGk	1467502	2039870	2257356	2263587	2265240	2266669
ZgmQBtQSyB8	430065	432265	442098	445972	447917	449041
uC7A1jtbC6k	82153	85438	96030	100179	103644	106426
bf3R9J-Uv7g	89821	96500	113515	124482	138543	148538
Im-hm_i_1qc	834696	894681	973448	1006976	1042419	1060709
66DH_mrLpIs	193895	212736	282720	321463	362956	382940
gSva10cuutQ	2341441	2408750	2633097	2774115	2898337	2952183
jjY3LDm7AQw	1294755	1362241	1518351	1611389	1683145	1728491
6vvQ40PcO3g	164732	169684	180343	186773	192294	196466
W53teWfNYaw	225496	229215	236688	239160	241729	243445
acMC7bTVcY8	3498898	3916704	4879130	5299822	5718962	5929522
QFwhndKTp00	523061	531601	561955	578416	599168	613788
cI3wnPlMZM4	566315	661644	809688	870436	936261	978859
Mc0OOzZysWg	450459	466704	504266	513326	523660	531062
JQ5ms_kurOo	3302811	3320233	3376208	3408426	3434948	3453676
1PUWh-mKR24	2091533	2235961	2400441	2444512	2471349	2483999
sVE18ZdFtPM	64737	65194	66182	66507	66802	66957
ZkzNAhppysE	2174274	2290302	2779016	3103610	3391325	3533943
iur_YCiB8oQ	1665215	1699687	1763024	1811097	1855023	1882963
_HYse_HYnuk	22834697	25987737	32596663	35335710	37300652	38051227
rykvx_7A9ng	1772311	1834144	1990317	2072338	2159671	2215019
At7t-CQxHhk	1769480	1845032	2047743	2203927	2277662	2316029
ailM6Ng_IZQ	638058	719749	877607	938495	996460	1029999
kdQDQt0O4Kg	11329480	12769800	16858427	18876968	20172066	20622262
XDuOgDPzEkg	92659	97789	105685	110447	114104	116709
Ry49WApue_I	83281	84449	87788	88979	90147	91000
9jM0OVr-3Pc	2062770	2902072	3580175	3753076	3873367	3923033
i9bhlUVpdwo	98224	108758	138450	155439	185215	203888
na_nh-X9Dpk	1023468	1049510	1091569	1112136	1119727	1123436
M9cNOGa4ifs	1669017	1703797	1814686	1869825	1916334	1939263
U1Ongg-yIJA	807707	830428	924478	967133	991295	1000343
o3iK8dddwk0	1608989	1626268	1679531	1685053	1688898	1690886
KqdhVsJFTjc	106719	112283	125641	130352	134893	137424
TJUc383m6vU	21461	21809	22491	22827	22978	23105
8FNoU6SSH4U	115901	120848	131856	137472	143952	147922
gBnxOrkUdjo	156083	160839	198242	217359	239195	249728
2U5Chbmezyc	67561	78516	83497	85460	86898	88124
-GdsTMYlJFw	3188536	3225990	3336510	3391705	3455859	3514550
4UYvpqdjGp0	115265	115512	118118	119388	120556	121181
67ckhsQBfFI	93965	96679	103570	107270	110050	112078
VXekXerk2Dw	1694881	1816142	2124763	2284512	2430039	2534154
A46niA2hTMg	313639	400318	777382	1097929	1263856	1270888
B9jHebXX42w	741836	778193	879545	881261	882694	883497
dNeeOxNsEFU	895380	914039	969313	993145	1012876	1023247
WU90IkOrOp4	18214720	18450547	19102717	19336375	19553400	19698048
ksob67eYYec	83163	86529	93154	97277	101102	103664
bgtH19Pbxbg	306057	306822	308383	309172	309730	310160
-QQVnKd4Bjo	918606	956594	1053938	1105919	1168044	1206265
FdeiAC2v63g	79826	82294	86750	89146	91827	93235
0FhYJVb6nkU	286577	301210	349306	397922	462666	491023
Csk6vJSLIJM	376880	401587	464938	500240	541014	564228
Rs_Xy1oM_p8	106609	112346	126691	136106	149028	158046
mFwblHSOxpk	913449	924563	950842	962961	974290	980660
5KmSplj5Hk4	361506	363461	370335	373110	375758	377232
inhOyCcKGAE	1330400	1553739	2233405	2414136	2538171	2590967
kVRg9Jy0vfc	1747504	1802340	1862188	1876322	1887031	1893129
tKavNsvJpV4	13309735	13491370	14188107	14433229	14629909	14759599
26hQZL-H0SQ	70717	71232	72938	73918	74667	74966
WPh9FJYOtfk	7265528	7528247	8314173	8608120	8875255	9044334
9wOdmZepV0E	672096	1142567	1886297	2142152	2366431	2487132
y6LUximnJss	593650	636916	715294	734851	765701	786566
jeVqPpWlPxg	5281368	5876492	6884949	7346701	7799083	8070148
PvjZMbrap3c	517284	537591	616298	637570	663905	677651
Da5TZFthUTs	1558028	1596430	1668066	1710022	1748522	1776822
EWHfajOgtOo	150348	154956	167151	174333	182228	187427
aM1q_PNndiA	9789230	10259078	10923666	11068567	11176458	11217200
Eb8t_xXhncA	96764	100704	115312	122905	130721	135054
X6XIbnVr9i4	398489	414429	451870	469308	488607	501319
4wKKmFq8DOg	110822	111699	113535	114405	115258	115889
n4QcpdBolCs	1178587	1197462	1273645	1313653	1356766	1389106
SVp_EA3-HfI	482582	506191	606398	646673	683306	702569
Nos6Lu6CL0s	139793	142695	148573	151498	154345	156410
JpmMthY5JlQ	1586364	1631931	1741260	1798713	1850816	1884884
PUpJDOrVtj8	56648	58744	62172	64614	66376	67560
BFUoULVtk7Y	2213527	2301916	2529699	2734075	2990302	3229328
j8eiLQJv-YU	144457	147298	154585	157117	158998	160491
erChLfxbQgw	372755	402913	508795	592534	663427	709230
e1m_aAczllM	185872	188251	194282	197942	201538	203443
4vbDFu0PUew	31912493	33137969	40236974	44614234	51079500	53319654
_HsA1vrxeqA	83135	84242	87458	88820	90155	91337
-eTEvY5uiuM	1550681	1607818	1824660	1922735	2003026	2040708
zNOdKDPCh5w	1523400	1555109	1653507
9Zn9nfraQMU	5979513	6075213	6362342	6590102	6811513	6955006
iMvW-WrFG-Y	87085	106537	132069	148121	163788	172650
8ShFZG2Zohs	145682	149623	160728	166145	169992	172685
8MxJTQ-Gnn4	968220	1026704	1124278	1173996	1216479	1246327
yAdSvhMBsVQ	48430	48514	48762	48904	49035	49108
kJQ3FkvUB20	3531330	3589901	3743891	3834891	3937737	3992574
I5LExpnsCjc	246192	247132	250694	253266	255262	256540
pHUByOKI-QE	225416	236035	266146	302098	355940	395861
fbamORwTcsE	64727	68609	79378	87338	96843	102806
X1q2OmxPwRo	2584188	2735244	3084864	3234948	3383084	3468477
yhATJh9niXk	4627987	4746735	4900698	4974447	4989071	4994096
ls1wj-9t3yI	187903	190805	196750	199452	202511	203874
1NgNnFB972I	690063	704565	730166	737355	743306	747058
