XdUoiEVccdo	1046	1056	1104	1130
EY8eRmmSGx0	145	150	173	181
zyNUr4LWfoc	20206	20343	20809	21042
OrJ4rPSlrlI	2511	2615	2946	3192
JktwRXYTDYc	70544	70635	71147	71502
hD1YtmKXNb4	120193	120699	123368	125804
Jrr9bPVeieE	7355	7368	7402	7416
4X16Iw5ST4Q	8853	8904	9072	9147
0kKkKfpKfDk	185	186	187	189
7cK1a9C7nlg	5088	5159	5446	5717
oHV9sqp7Kws	123	206	251	252
At1EOyY5Hpo	5337	5340	5373	5388
36I7yGCA12s	0	0	0	0
a_0PSZ2S_yw	12367	12467	12720	12872
S_nyiXUMzdc	6349	6376	6456	6514
acMC7bTVcY8	20821	21633	22256	22599
t4-Vf6L63Js	4184	4635	4698	4703
QO7e_RiMVQg	22520	22564	22743	23098
FcmUNlgld74	11489	11566	11911	12061
LTenOkKggsg	1520	1531	1544	1561
ttwrfsruMaU	76	88	109	130
UOMiA4hSVVc	708	725	737	740
z2JmKR_STSw	29968	29977	29981	30005
wtZelxSzzm8	158	160	162	162
OpOvMwkGL18	7001	7952	9982	10827
DDY6KjQCMoQ	5639	5688	5758	5812
3EPWJEdDkFc	4426	4443	4491	4530
jCokmhfCziU	1573	1576	1582	1586
mTa8L_X-AfQ	8262	8320	8507	8664
3Qdog8EvSzg	1044	1047	1031	1036
oI_X2cMHNe0	14484	14680	15187	15393
lv8n_gPSbqM	82	86	94	90
6M8VTsQJ-74	198	201	212	220
TkTaadb9GmM	10502	10521	10611	10661
hjAyYupCcy0	423	427	445	454
DmKpePzn5-c	90142	90234	90511	90586
_dpIwwI86ss	4450	4471	4503	4507
9-Lxt14dSL4	113	113	113	113
5pEupFLn3Mw	435	439	439	439
ibDgSpyBQAA	6474	6479	6480	6482
1ACoq99fZYo	266	273	275	272
XzZGOrCn0gQ	3594	3602	3665	3690
tgB1wUcmbbw	66760	66799	66934	67018
vBJDPmTWP8o	969	981	994	1011
dCC-Ix87Y68	228	232	240	247
IyrK52_bLl4	384	384	390	394
FKD71cLGzO4	559	571	603	625
7eLE5GHIyOg	920	920	921	921
F0fMoqY9qI0	5975	5994	6027	6048
JKOdGQAfAIc	780	797	857	905
-OxoU9WyZ8Q	41	41	42	42
Nus7MfF2ytw	3407	3468	3681	3793
b4F0YBnVdno	5653	5659	5663	5663
tcSmm3rJikY	5675	5682	5691	5703
jeVqPpWlPxg	63162	65767	69493	71179
OT2l4eNRtBk	160	165	173	174
9tPUeBsYmyc	265	274	279	281
7i8ZtcUekg0	269	270	275	277
tn79OFbPwKE	20911	20974	21196	21384
k6HfmIZXDuA	54	55	57	57
yt8XWraKEpQ	1893	2137	2587	2655
B9fv9EysEKk	1440	1475	1640	1747
iH8mWNKM8xU	3285	3934	4693	4823
DrG669-BIUk	388	392	387	393
m-acj_D5xLo	2337	2341	2374	2408
QtUOwx5Sn3s	61	62	65	74
OcJB9GWRq9Q	3350	3358	3370	3376
6qIz1TEBd0I	236	243	291	312
2h4tsI0lTsg	16801	17262	17825	17936
7pPkYIJH7oI	274	272	276	278
0HPKKFugajE	5500	5538	5660	5710
1yuTJMFGxEw	54520	55662	58030	59175
p6QAMEdB_BM	10171	10269	10443	10570
QlZjtudjVD0	4599	4600	4609	4614
8lPVQK2wn38	87	89	95	98
zPOYkJsrewU	7159	7217	7391	7495
6C1PEDS-kac	771	771	772	777
cUbzWjNqtmo	6051	6356	6515	6578
v_Sz-Kh2GLo	None	None	None	None
DmQ4Dqxs0HI	7349	7432	7795	7977
PT_Lvt_mqJA	112	117	130	136
8xfSL0XLRtQ	11770	12018	12920	13212
AUZcer3JNJc	253	254	261	263
4vbDFu0PUew	58735	59710	62672	64867
KkeDg9RJELc	754	763	773	778
PcfwVCyJayU	81	84	84	84
PyPrgbRBilg	1024	1023	1029	1035
ZcyZRtLaWOw	3194	3512	3888	4096
HqO5jmkARaE	2511	2929	3444	3478
uKQXgerfnE4	1157	1170	1196	1209
kJQ3FkvUB20	5292	5301	5322	5341
cCf4qFl5uVA	127	139	149	153
mkH7rVb6V68	10858	10864	10881	10892
I5cKmpA7x68	169	171	178	182
oSwZ_BckDvc	19179	19567	20238	20852
esSnfGZo58Y	120	121	126	129
AQbmpecxS2w	3427	3651	4208	4594
elJf9iFLGos	406	512	582	581
-XtToNPFU1E	7939	8126	8327	8392
v17J6GbtvKY	8706	8717	8753	8786
0yCenSLpnaE	6405	6422	6495	6548
p6sCsOdqXQw	12613	12830	13393	13646
F-yEoHL7MYY	11530	11725	12021	12416
3FajtMuSknA	704	714	742	728
IV3dnLzthDA	32448	32617	33138	33451
atzfBDB3lZI	2228	2239	2323	2372
CKJfT8zyofk	125	129	141	136
ZoPJVcHYlU0	None	None	None	None
NUhNJ8lFUQg	2173	2185	2247	2285
EXUuKYHyXPY	6046	6122	6542	6766
8uiUz_IUkpo	7907	8134	8817	9169
XKDhq2UcjIM	5127	5140	5178	5205
