XdUoiEVccdo	1046	1056	1104	1130	1144
EY8eRmmSGx0	145	150	173	181	184
zyNUr4LWfoc	20206	20343	20809	21042	21224
OrJ4rPSlrlI	2511	2615	2946	3192	3376
JktwRXYTDYc	70544	70635	71147	71502	71835
hD1YtmKXNb4	120193	120699	123368	125804	127647
Jrr9bPVeieE	7355	7368	7402	7416	7457
4X16Iw5ST4Q	8853	8904	9072	9147	9225
0kKkKfpKfDk	185	186	187	189	193
7cK1a9C7nlg	5088	5159	5446	5717	6029
oHV9sqp7Kws	123	206	251	252	247
At1EOyY5Hpo	5337	5340	5373	5388	5407
36I7yGCA12s	0	0	0	0	0
a_0PSZ2S_yw	12367	12467	12720	12872	13026
S_nyiXUMzdc	6349	6376	6456	6514	6534
acMC7bTVcY8	20821	21633	22256	22599	22948
t4-Vf6L63Js	4184	4635	4698	4703	4459
QO7e_RiMVQg	22520	22564	22743	23098	23334
FcmUNlgld74	11489	11566	11911	12061	12176
LTenOkKggsg	1520	1531	1544	1561	1582
ttwrfsruMaU	76	88	109	130	138
UOMiA4hSVVc	708	725	737	740	742
z2JmKR_STSw	29968	29977	29981	30005	30049
wtZelxSzzm8	158	160	162	162	161
OpOvMwkGL18	7001	7952	9982	10827	11667
DDY6KjQCMoQ	5639	5688	5758	5812	5855
3EPWJEdDkFc	4426	4443	4491	4530	4574
jCokmhfCziU	1573	1576	1582	1586	1593
mTa8L_X-AfQ	8262	8320	8507	8664	8837
3Qdog8EvSzg	1044	1047	1031	1036	1038
oI_X2cMHNe0	14484	14680	15187	15393	15718
lv8n_gPSbqM	82	86	94	90	96
6M8VTsQJ-74	198	201	212	220	224
TkTaadb9GmM	10502	10521	10611	10661	10721
hjAyYupCcy0	423	427	445	454	461
DmKpePzn5-c	90142	90234	90511	90586	90800
_dpIwwI86ss	4450	4471	4503	4507	4511
9-Lxt14dSL4	113	113	113	113	114
5pEupFLn3Mw	435	439	439	439	439
ibDgSpyBQAA	6474	6479	6480	6482	6480
1ACoq99fZYo	266	273	275	272	275
XzZGOrCn0gQ	3594	3602	3665	3690	3726
tgB1wUcmbbw	66760	66799	66934	67018	67265
vBJDPmTWP8o	969	981	994	1011	1041
dCC-Ix87Y68	228	232	240	247	255
IyrK52_bLl4	384	384	390	394	396
FKD71cLGzO4	559	571	603	625	647
7eLE5GHIyOg	920	920	921	921	922
F0fMoqY9qI0	5975	5994	6027	6048	6072
JKOdGQAfAIc	780	797	857	905	940
-OxoU9WyZ8Q	41	41	42	42	44
Nus7MfF2ytw	3407	3468	3681	3793	3900
b4F0YBnVdno	5653	5659	5663	5663	5666
tcSmm3rJikY	5675	5682	5691	5703	5715
jeVqPpWlPxg	63162	65767	69493	71179	72854
OT2l4eNRtBk	160	165	173	174	181
9tPUeBsYmyc	265	274	279	281	282
7i8ZtcUekg0	269	270	275	277	282
tn79OFbPwKE	20911	20974	21196	21384	21563
k6HfmIZXDuA	54	55	57	57	59
yt8XWraKEpQ	1893	2137	2587	2655	2723
B9fv9EysEKk	1440	1475	1640	1747	1815
iH8mWNKM8xU	3285	3934	4693	4823	5024
DrG669-BIUk	388	392	387	393	396
m-acj_D5xLo	2337	2341	2374	2408	2433
QtUOwx5Sn3s	61	62	65	74	76
OcJB9GWRq9Q	3350	3358	3370	3376	3381
6qIz1TEBd0I	236	243	291	312	329
2h4tsI0lTsg	16801	17262	17825	17936	18003
7pPkYIJH7oI	274	272	276	278	278
0HPKKFugajE	5500	5538	5660	5710	5741
1yuTJMFGxEw	54520	55662	58030	59175	60458
p6QAMEdB_BM	10171	10269	10443	10570	10707
QlZjtudjVD0	4599	4600	4609	4614	4612
8lPVQK2wn38	87	89	95	98	103
zPOYkJsrewU	7159	7217	7391	7495	7583
6C1PEDS-kac	771	771	772	777	785
cUbzWjNqtmo	6051	6356	6515	6578	6704
v_Sz-Kh2GLo	None	None	None	None	None
DmQ4Dqxs0HI	7349	7432	7795	7977	8126
PT_Lvt_mqJA	112	117	130	136	147
8xfSL0XLRtQ	11770	12018	12920	13212	13569
AUZcer3JNJc	253	254	261	263	266
4vbDFu0PUew	58735	59710	62672	64867	67579
KkeDg9RJELc	754	763	773	778	781
PcfwVCyJayU	81	84	84	84	86
