_LzE_yWxdqo	548	551
oq3XzVsARVQ	2053	2492
EgtAN-7VzxM	1118	1121
r_RcQ5959t8	785	866
uswbU5yGcTs	219	243
f60fpQMIdxA	458	467
8le_FFz1-uI	560	561
XdLZrfFiajw	254	255
sVL1qeIXXBg	140	157
Afmz_B-ZhcE	429	436
e-euwzBU7yc	0	0
t4-Vf6L63Js	4185	4635
bFeC5UBtLZs	3272	4112
64Yh8JkGuqc	1783	1801
4pnc9F_bc7Y	628	629
1sPPxTwkcno	522	528
wt8gNb3tSEU	325	333
_JPsTvnc43U	304	307
r5n1GCY-nYQ	70327	75032
DDY6KjQCMoQ	5639	5688
ZkzNAhppysE	804	847
uBDxPRi0OoU	785	976
LqtwJRgAo7c	43	47
RKLuD3zPi_s	240	243
iPyxXX1EOmI	1080	1152
wgqPKrU8Z54	726	784
u8bRv8VHePQ	351	360
nEc-uwLVOCg	225	232
qo-NO-bFfzE	57	56
E4eUX_KJYDQ	475	475
ONAfRcquz_k	25	25
g88DHXCtEzw	45	48
CXYAxBwGVaY	155	160
0rsIRMbNLxI	268	304
TW5K4u6IZq8	244	248
kA81LzzdDGw	4483	5004
K8SYEIBmSPg	5466	5480
P6Ps7MYB2bI	529	552
m96Tk1IeqPc	110	112
nyEL4gEuC8g	390	395
PcFC-Eek0E4	318	328
9MhICC9iSkM	113	125
Shgz5SkFqH4	594	607
3w9LY_7oKiI	357	382
W6fPYXJ-Zro	1752	1770
0B9GbMDZC6k	92	109
l58K4N4QECs	470	481
7P2xj3j5RWc	259	261
OZkvm0wem0s	1137	1294
fFFGdJCy7Sc	None	None
uGzDKU7gxho	3498	3545
Klmparbq4hQ	24913	25017
WQbb2PBBVNM	216	220
jeVqPpWlPxg	63154	65808
xwkdFxYbdDE	350	355
a8DssxNUIU0	371	378
TVzPx7geWY4	0	0
q7qpAhPAyag	750	822
d9RkYL35MJE	438	455
iH8mWNKM8xU	3285	3934
JrcBrCSZbZ0	1263	1448
5Z3ZC3Xqo4g	143	166
oO2A5dHzeIc	735	746
JMdr5imKtPk	0	0
a2-KCKHTrC8	0	0
L7D8PKNsZ3Y	None	None
TPoMuSdbL90	1380	1397
BMRUFaqTMlI	853	855
kY5UcheqBg4	1074	1090
WIjyPNvlKcY	2412	2450
VOy-koBLg98	719	968
-Q-ZpoATlpI	429	471
cUbzWjNqtmo	6051	6356
MOifIuOhBiA	5622	5683
WhIfGDvXghQ	175	178
mD2iDUoCxt0	816	854
5BiMGHyv3WI	62	63
4vbDFu0PUew	58736	59710
scZgPT3h4uY	1078	1097
_HlOyG1HxEI	221	231
DuDmanjlXLo	0	0
3_zu-BUdywI	66
PozSoxA1HtY	342	350
0ue7A9x_K5Q	1093	1158
aa6NTDLX5Og	229	230
6eN_roYUYQU	610	618
x-e-Erg5irA	3948	4412
Q0HtPG3mGwM	1037	1047
iW6PL6cOVT0	None	None
jkD9prp1Ii4	730	755
9Rrn7O9UZ7Q	280	300
5rjG1ueu8yI	454	456
0Ki_9jyEV-M	4411	4875
pddwfGgNWPo	None	None
oSwZ_BckDvc	19179	19567
8_zu0DhhDx8	1558	1565
x6TUvi62RX0	111	112
tCi7kETPiwE	820	953
vACuHOjNHqc	234	243
zApoZo9jMMA	None	None
tkaYmeVuN8U	132	136
79utzs9G8ng	51	52
34lTojoqWnc	114	126
npY9YabttUc	314	341
U7l_PRD23fg	244	237
qIqH2bH8l_s	96	101
olfLL5HXm7o	383	412
4ISzRc5sdTI	157	159
sCAluJdxOCI	2424	2518
xpPTPDvBl_o	194	198
vjhbxxTYkpw	3846	4329
3EfsjmjBDLk	446	465
62UczCGW-nE	16	17
4OlfFWDN4C4	405	419
Yx3K3g4CtoQ	12180	12471
UxV-aZn1jWM	0	0
h0O_Y8pUu_o	1267	1294
gtpAeH3QiiU	375	382
nmjcQGEqcFU	2377	2384
M6ilVXRQbVk	None	None
O--o-O-ABBw	18110	22168
Yz9lQUtZPIE	47	47
Lz5dWN59J4I	2158	2161
Vi_j_nMlBAs	355	371
hibTeDRLhCc	633	699
Y1jNEca245I	299	312
f8rUT4vpmuo	1709	1717
Vfv9Qky427Q	3129	3484
ebatweUrQws	593	629
lyJqXb8Nj-I	1830	1883
7YQWDCSFAJU	0	0
kJ8Ivw1D8_U	202	206
xwgQoGCKD3g	2925	3551
tWI1jwUgHvI	57	58
PmHFwUsB0o8	444	444
YVGcUkq1ejA	134	141
iPtGWfk6CMQ	0	0
OJ2B4Fb7xQQ	6924	7163
9zCDnL78OAc	550	552
65DFQ8apFiE	747	764
nTr-rLqnZ8M	1984	2102
yoVYmkV5nog	795	805
52c09ISIBpo	603	1004
IT_E2UzlCTk	82	87
heayyMyhSGU	1108	1136
zdBthc6fCk4	3811	3852
8dJyRm2jJ-U	337385	340399
qkMYrBBHyBk	758	767
yBUEZu68lUk	750	781
iE-6ERWjBoo	638	645
1PhdK2tEppU	354	356
2DouqYU3zJM	291	314
NJShXKpJFCE	434	436
iYai9I8Xx_E	114	117
d0Vb_pSagaM	49	54
d-55W-P2iA8	124	148
cOIZqTMiqMs	1015	1040
5yVlh1NN3S8	276	282
O4AIb5hk3Ag	259	264
4ExGM0oAQJU	188	205
gcu_MlhKUhM	26	27
YnfthNCArDs	884	901
8beo6XADTe8	1554	1578
7OPg-ksxZ4Y	11171	11474
5RRQ7O6GDxc	204	206
OPkOHJm66HQ	547	591
o4BVGoLWWJY	222	222
gC7BZ9XOs3I	12	12
Stn3d7O0uaQ	45	52
4p4EINQrH14	51	62
YviK69DbOa4	179	180
kBArlifCKgo	1659	1705
kfDYcSqUSCs	434	466
lYFXeeH4088	269	282
QxjQ0a5HQkk	1427	1502
clH-edVJna0	97	103
bLJNqb_pNPc	879	903
WuLuF6EsvdY	390	414
lFpyxjG7lDg	3497	3601
g9g9Y3BgYMQ	16589	16818
GV3r5B7r6fI	266	271
ONj9cvHCado	None	None
vx4St4tG7jg	553	592
SS0YY95DhbA	116	129
rmpTkRnvMyM	5354	5367
7Q1GLUBnvY8	5605	7475
OKmaTbaucOc	42	43
dzRznq4WUtI	858	876
eei2wEcpUtg	22	25
d-2oXBvt4TM	258	258
4UXuYozcBDY	1609	1681
t8d_IuU2WQg	389	415
oJBPpyp-0a8	29	31
pLWgUtkm3BQ	2021	2084
6IEW4co4MIE	540	581
YnveTy-6Dkg	135	143
DOZmiSQos7U	None	None
3ZmxHPHvna4	120	122
6N22wYwItDs	1624	1785
FHRuvvE4nKI	2552	2579
