zyNUr4LWfoc	20207	20343	20809	21042	21225
JktwRXYTDYc	70546	70637	71147	71502	71835
hD1YtmKXNb4	120197	120704	123371	125808	127648
p82YhXuWios	None	None	None	None	None
RM5UOyi8W9g	5133	5162	4839	4825	4848
bKHCTG_nwoU	4281	4204	4249	4317	4356
-T18GYEc86Q	1377	1394	1416	1422	1432
RqMxClvspj8	3373	3409	3300	3321	3327
3gZi-JtYlAM	2733	2745	2780	2778	2797
t4-Vf6L63Js	4187	4635	4698	4480	4459
QO7e_RiMVQg	22521	22564	22743	23098	23334
dTA54srFoI4	5269	5283	5320	5330	5338
aZw3shKxf5M	3288	3294	3267	3274	3137
4LFwvco99xw	378	388	398	405	413
kKREoXVEA_8	1865	1869	1877	1884	1893
z2JmKR_STSw	29968	29977	29981	30005	30049
3JIZTv-N--E	3814	3822	3840	3852	3858
oI_X2cMHNe0	14484	14680	15187	15394	15721
TkTaadb9GmM	10502	10521	10611	10661	10721
4RAEt1mYR38	1979	1979	1983	1983	1986
xImnMbyEJOk	9402	9404	9427	9435	9439
iKzv9QQV6IY	2204	2207	2216	2217	2218
ejqo6qHgWTg	2426	2771	3168	3232	3331
UJZLru_ARLw	5211	5223	5249	5266	5288
ONOAIuMuw-s	3196	3242	3322	3345	3399
jEy0wfkigL4	351	355	364	376	386
lM9_6eS0pjQ	10972	10989	11010	11025	11034
KD8Uq9lu-DY	1098	1135	1121	1144	1156
3klWO2ttpGQ	9806	9859	9954	10049	10139
37v1PJqG06g	10118	10122	10146	10161	10185
Z1Nv1VcsWeo	2888	2964	3151	3194	3223
VIOT_9iW4dI	2556	2614	2810	3108	3398
70JDd-Ywnio	13452	13523	13645	13727	13809
vBJDPmTWP8o	969	981	994	1011	1041
qRlpAYJk1l8	701	704	716	719	723
XzZGOrCn0gQ	3594	3602	3665	3690	3726
EPCJizoIeUI	1976	2073	2164	2207	2242
m5AQeY7fHMk	5593	5625	5659	5689	5660
F2QxQXq24w0	115	115	110	111	111
tgB1wUcmbbw	66760	66800	66934	67021	67265
-eKdRrKotdI	4968	4998	5132	5204	5255
8dtENCaJS04	1007	1011	1016	1019	1014
jYCGBPCfooc	None	None	None	None	None
F0fMoqY9qI0	5975	5994	6027	6048	6072
EKu5ui09v_Y	2291	2493	3145	3492	3679
RdklEHhQ6Mo	537	547	570	576	585
zdUIpi3WC5s	25077	25099	25141	25164	25196
uWRxfANFDBs	4081	4092	3209	3203	3189
gIK7odsUAmU	14965	14979	15078	15109	15141
abXTnZvqiUw	1571	1574	1567	1570	1572
