XQwsE3mvBEg	6806	7008	6784	6760
GhjhjdMLGyU	33	53	56	57
wNy8mtRYxOs	142	151	174	188
KRkYYZqUrYQ	1391	1401	1350	1371
RM5UOyi8W9g	5133	5162	4839	4825
Z0U07aRv54w	2038	2146	2306	2398
RqMxClvspj8	3373	3409	3300	3321
oJAkfH-GHKA	991	1090	1237	1354
acMC7bTVcY8	20825	21630	22255	22597
t4-Vf6L63Js	4185	4635	4698	4703
bFeC5UBtLZs	3271	4112	4740	4858
2k9g9BVPx1k	3176	3322	3404	3439
TowtJr7kbTc	1472	1539	1638	1665
85ePZOOfShI	3199	3358	3328	3321
KMeLtkiLEQg	4992	5056	5213	5320
LHJOFSPDp24	1907	2016	1941	1761
yjmFq279JRQ	4165	4251	4351	4407
Wgqwxiczq5U	4851	5176	4998	5034
yeQeQnwdQcQ	98	115	133	137
Mr_P0uopeZM	122	132	145	154
_mGG40ZvXyE	2515	2555	2584	2611
EAI0aeioV5E	849	874	984	1020
yvdyDTKuJXI	4864	5086	5198	5223
V3exqLIGdbA	889	923	963	1034
-nZjGO2np3Y	2798	2972	3489	3610
tHvupGgb_iA	684	732	800	818
k_LQZaTCjJI	12840	13071	13357	13507
ejqo6qHgWTg	2422	2771	3168	3232
kJRmCcqrg7g	13	17	17	17
SgbomNuKv_s	2024	2098	2260	2344
tD09cBIltKE	1003	1063	1160	1211
dUTWbjR5nHA	None	703	1771	2101
kA81LzzdDGw	4482	5004	5482	5566
KD8Uq9lu-DY	1098	1135	1121	1145
DXDgtGpvl8Y	12740	16152	16662	15600
5HJSLAgch8A	628	720	789	815
CXpTpbhbkMU	71	87	104	116
c5guhIm9YDI	738	1110	1264	1130
0uBvrBK5Rbs	771	918	1004	1025
OBf0d2PYdk4	14467	16375	16987	17022
EPCJizoIeUI	1976	2073	2162	2207
3s58t9KFCik	463	523	574	595
Fy8TJFvW9g0	847	900	1022	1061
8G2jppE4rgo	83	83	72	73
KGQjUIu9b54	2768	2832	2711	2785
d5IPaqKJCCc	313	324	339	364
tQjjfBRxbcs	205	208	210	211
sbza7p2w33M	7816	8044	8313	8475
yw9qEpDan10	503	604	761	781
uWRxfANFDBs	4077	4092	3207	3203
9wOdmZepV0E	846	1362	2019	2417
uGzDKU7gxho	3498	3545	3544	3545
7EpAv6nHKFo	2192	2384	2536	2573
MWYf3-Mkx8A	1567	1723	1824	1878
jVsUrGkErUI	289	297	303	313
jeVqPpWlPxg	63150	65765	69493	71167
O6PB0lXt9Ro	2204	2415	2772	3005
obK8sGRQlso	98	98	100	103
GH39qiQCGS0	709	717	721	707
yDEoKxx1bLI	31105	33975	36433	36613
ucGb5xbkbjk	2628	2765	3036	3061
-JVOhHA5zZ8	3024	3095
namXTvyvLp0	8738	8841	8818	8919
ZXLoiPy6n6g	886	905	929	940
DDeqU7Jblt4	7206	7892	8353	8349
2yKhiTxqshI	497	539	608	628
b4PUQjqvufg	2483	2591	2754	2836
hMxoZJOkn2s	1050	1108	1195	1232
TQaGKFvOZXg	251	301	699	826
POq8-yPaHxQ	319	335	360	380
gtSwZjv1qO8	660	706	740	754
SpF78BwWYt4	2065	2171	2256	2354
hkDv-WF6xys	239	247	259	264
jS4eARGSJSI	419	467	503	503
MOifIuOhBiA	5622	5683	5428	5361
lZIn-y63XFM	10940	11741	15445	16793
pxqOWc_oTIU	1867	1995	1976
qlfj2FejGg4	186	199	217	241
K_LtyVVHaQo	2003	2050	2054	2021
GSvuulcIY-I	51	51	50	51
zGUc4mVK6MI	3717	3875	3632	3929
C-7xXQ_iVRw	13317	13627	12413	12466
z9Va7cyv3d4	1902	1914	1935	1890
Mun1sNl7hp8	322	333	348	374
uNonZ5WWZwE	2140	2133	1887	1885
OTq-H44sdRk	419	419	464	612
GC4xGb0a2Io	2786	2897	3066	3205
0Ki_9jyEV-M	4411	4875	4809	4688
EWorIW42X6w	1025	1060	1114	1173
ONS31ND-L-k	1068	1119	1224	1254
FKKshcibx9k	15417	15740	14507	14478
xS-gaiizvJ4	2035	2069	2139	2202
s7tstzJ1z4E	592	658	742	777
H9MRW8xL3ZE	3375	3430	3260	2958
mrmUVunrw_s	1306	1347	1368	1363
C4hedi1lqpg	423	446	583	719
3gJFlG5SELg	3257	3310	3386	3409
livsK9vZN0E	432	527	670	744
vqH2J5jwfFM	27	27	25	25
pVVlOhVS8-A	498	516	551	561
PqKZRCyxXJE	4590	4838	5716	6185
s6k3kQfdJFo	3650	3944	4291	4470
nYeR9KMQSuQ	1741	1813	1904	1940
hFEzUUBBVkc	5066	5159	5312	5593
ftDQ3bM6C-c	3	3	3	3
Tvva9IhMWfM	19180	19724	20489	20902
AbRG2AMqlw8	1757	1760	1752	1761
Lmgr3UPCK_w	101	103	123	137
tvJwv-6oNOQ	6661	6980	7476	8775
7hPr9jYqMFk	1714	1781	1668	1697
T_I_BJLZ7Sg	2308	2522	2497	2461
kCV1Q4jHRzM	1578	1684	1740	1760
TOl098VVSd0	2336	2519	2610	2645
vAaEdTUuzkk	30	33	54	62
yJ4A-TzHU7A	184	180	174	175
kqcd6n3UI_E	4633	4858	4701	4702
Cu1dRtRknnM	111	127	142	151
q4HSTqu9qVg	2962	3390	3731	3825
nK5-sHSOK04	45	61	98	100
qprZr64xtaU	7642	7989	8322	8704
-MawZgUZaAg	5790	5844	5817	5827
JTL_gtRccwE	1501	1519	1525	1527
fA0F5q76bcw	30132	30515	30532	30668
kB9qR4xlG9Q	963	989	1036	1049
QAp3Jv8c9uE	1773	1810	1822	1828
-OkDE948Z18	11290	12227	12037	11870
e7KCUKQV2Ww	134	141	156	165
zdBthc6fCk4	3811	3852	3906	3927
tsnxZRcJe6g	1314	1353	1313	1328
X10VFBZXEfU	4555	4812	5133	5273
ooeT0CdgQh8	2070	2088	1835	1838
vXJJQ3B6XOo	626	676	792	803
pq__dCbLoLI	12	13	13	14
JnPnQO1td_A	1384	1395	1271	1273
yEn8BDFVRcI	101	104	113	117
dDWlp1iNZvc	371	386	357	391
245CmJkEqIk	1373	1499	1822	1876
T-vBmTAvtWE	241	254	253	257
WsRxPCx2cl0	456	491	528	529
nemx2OFS4ks	2279	2355	2432	2473
D3e9jWnhO3k	3351	3387	3409	3441
H70Ht32ttNo	1755	1901	1881	1921
XpaUkndm85k	4926	5235	5627	5573
PEbXCWE0mUE	23	23	23	23
bH-o5PlfpiY	16738	17045	18030	19036
3Yh_6_zItPU	16426	17128	18023	18331
FfeaUvBsStE	1128	1170	1213	1228
GRmDEmQPkOo	286	314	338	348
UF1E5HJNz-A	8206	8885	8819	8414
-aUulCEUfOY	701	762	845	878
_8Fz6-YWMrE	273	294	335	348
KE9bWXsTdvM	46	47	51	54
fOLGNmnx0X8	5761	5971	5375	5236
fFMmitI1Eys	3227	3341	3264	3267
3i5WeMTJg6Q	54	65	84	96
m_MyfcG7g-0	1381	1436	1503	1617
aSfQHZDXpzM	1672	1779	1975	2071
7U96UgEpOYM	36	44	45	45
ATId-Ofg60o	804	1082	1356	1277
Y1F2-qm-RgM	810	843	892	928
nvtU2MUQfOs	1281	1284	1200	1210
F2KY8APFXFo	91	135	194	216
-trzyJWGHnw	2860	2919	2981	3034
2-do8WRS9wA	None	None	None	None
mhHcdI7utBI	194	220	273	287
mL9nLIEwsgw	781	903	1033	955
aEAclLfGxdA	24	29	32	31
OmBhlHAQiNI	3395	3467	3228	3317
2USEAgSMkIY	431	453	488	495
KX-0dyrkOZY	2575	2602	2444	2460
