XQwsE3mvBEg	6806	7008	6784	6760	6785
GhjhjdMLGyU	33	53	56	57	54
wNy8mtRYxOs	142	151	174	188	219
KRkYYZqUrYQ	1391	1401	1350	1371	1377
RM5UOyi8W9g	5133	5162	4839	4825	4854
Z0U07aRv54w	2038	2146	2306	2398	2494
RqMxClvspj8	3373	3409	3300	3321	3327
oJAkfH-GHKA	991	1090	1237	1354	1442
acMC7bTVcY8	20825	21630	22255	22597	22948
t4-Vf6L63Js	4185	4635	4698	4703	4459
bFeC5UBtLZs	3271	4112	4740	4858	4943
2k9g9BVPx1k	3176	3322	3404	3439	3472
TowtJr7kbTc	1472	1539	1638	1665	1712
85ePZOOfShI	3199	3358	3328	3321	3268
KMeLtkiLEQg	4992	5056	5213	5320	5435
LHJOFSPDp24	1907	2016	1941	1761	1754
yjmFq279JRQ	4165	4251	4351	4407	4468
Wgqwxiczq5U	4851	5176	4998	5034	5207
yeQeQnwdQcQ	98	115	133	137	146
Mr_P0uopeZM	122	132	145	154	183
_mGG40ZvXyE	2515	2555	2584	2611	2625
EAI0aeioV5E	849	874	984	1020	1049
yvdyDTKuJXI	4864	5086	5198	5223	5238
V3exqLIGdbA	889	923	963	1034	3849
-nZjGO2np3Y	2798	2972	3489	3610	3708
tHvupGgb_iA	684	732	800	818	856
k_LQZaTCjJI	12840	13071	13357	13507	13629
ejqo6qHgWTg	2422	2771	3168	3232	3330
kJRmCcqrg7g	13	17	17	17	17
SgbomNuKv_s	2024	2098	2260	2344	2397
tD09cBIltKE	1003	1063	1160	1211	1294
dUTWbjR5nHA	None	703	1771	2101	2409
kA81LzzdDGw	4482	5004	5482	5566	5639
KD8Uq9lu-DY	1098	1135	1121	1145	1156
DXDgtGpvl8Y	12740	16152	16662	15600	15545
5HJSLAgch8A	628	720	789	815	833
CXpTpbhbkMU	71	87	104	116	120
c5guhIm9YDI	738	1110	1264	1130	1166
0uBvrBK5Rbs	771	918	1004	1025	1032
OBf0d2PYdk4	14467	16375	16987	17022	17145
EPCJizoIeUI	1976	2073	2162	2207	2242
3s58t9KFCik	463	523	574	595	621
