zyNUr4LWfoc	20206	20343	20809	21042	21224	21327
OrJ4rPSlrlI	2510	2615	2946	3192	3376	3518
bh4pXQZjs_4	469	475	484	486	491	493
hD1YtmKXNb4	120190	120701	123368	125804	127647	129072
f-eK1cgzGF8	276	282	300	315	315	357
zIJEOEZdLzE	2049	2070	2130	2178	2215	2255
1zHVe3NIZpw	71	71	74	74	74	75
J7D3r5Q2paY	201	204	209	217	221	223
7cK1a9C7nlg	5087	5159	5446	5717	6029	6106
n49er3bE7ww	61	64	69	73	75	77
epuGc-ptWmc	184	184	189	191	193	195
9Q71C4IsbZE	3006	3044	3120	3160	3198	3221
a_0PSZ2S_yw	12367	12467	12720	12872	13026	13184
S_nyiXUMzdc	6349	6376	6456	6514	6535	6564
bIGDhqY6KpE	3020	3047	3128	3178	3212	3250
9qRxNYuR2c4	3512	3887	5049	5587	6034	6320
QO7e_RiMVQg	22520	22564	22743	23098	23334	23448
bmjWoPZE_R0	44	44	44	44	44	44
VIB-S8p16wM	568	569	574	577	579	572
FcmUNlgld74	11489	11566	11911	12061	12176	12251
QQSHT3faRdk	77	76	81	82	84	82
1D3GO4ovibY	88	91	92	93	100	102
jcGrTvgarD0	1207	1220	1244	1252	1269	1278
hJMmweWlDL0	4370	4377	4409	4429	4448	4463
OpOvMwkGL18	7001	7948	9982	10827	11667	12133
DDY6KjQCMoQ	5639	5688	5758	5812	5855	5876
oI_X2cMHNe0	14484	14680	15187	15393	15718	15869
mkAxVJKdFis	65	68	71	75	85	88
pG_as7YjJQs	409	409	412	414	422	417
eV_Ki30MDDA	1835	1869	1985	2071	2139	2200
wah9KtOUWRk	182	185	187	190	191	182
_fpxCuorKjA	9789	10227	11643	11956	12310	12493
vg7ZVaBkpWU	333	336	342	344	347	349
TkTaadb9GmM	10502	10521	10611	10661	10721	10758
epUFyHCLlWg	250	251	222	224	231	239
FIRQSAwF0bI	1130	1201	1544	1763	2021	2279
DmKpePzn5-c	90142	90230	90511	90586	90800	90957
UZeqLhuugQ4	44	44	52	53	55	56
gRvY0xnfgro	95	95	99	100	104	102
4PNWZb5erDw	21	21	21	21	21	21
tVr9v3o7iHY	77366	77938	77300	77446	77744	77949
_dpIwwI86ss	4450	4471	4503	4507	4511	4526
nivl2aepIpM	19	19	21	21	23	25
C37nK27J70U	3546	3867	4500	4717	4812	4854
c872m0f00jE	29	29	29	29	29	25
tgB1wUcmbbw	66760	66799	66934	67018	67265	67385
dwzYqLZYfz4	23	23	24	24	24	24
OxvLT83XBfU	69	71	76	83	85	84
F0fMoqY9qI0	5975	5994	6027	6048	6072	6088
W-ZTiWVFlzU	None	None	None	None	None	None
7PHGvzR3Egs	106	104	109	110	114	115
T79ZSCQ5WEc	4243	4313	4541	4718	4908	5010
b4F0YBnVdno	5653	5659	5663	5663	5666	5669
jeVqPpWlPxg	63160	65748	69493	71169	72861	73726
QJ82JUmbK3M	219	219	225	227	232	228
yTV0i9IjesU	595	594	598	600	576	573
tn79OFbPwKE	20911	20976	21196	21384	21563	21647
iH8mWNKM8xU	3285	3934	4693	4823	5024	5102
8RPHruM9Oz8	88	90	92	92	94	94
x83Uq20OJNc	243	249	273	277	293	302
yb4kLSp-Us8	3300	3327	3424	3472	3511	3545
hH28oAoyuSw	1365	1381	1421	1437	1466	1470
jg5HbrawYPU	760	765	775	776	785	783
2h4tsI0lTsg	16800	17261	17825	17936	18003	18047
WhL0GJ3dM2s	23	23	28	27	30	30
7JGkp6ZrI9o	853	855	861	862	858	845
1BaJdom1MuY	90	90	91	91	95	97
hhEBjQBMcRU	134	133	141	144	145	145
0HPKKFugajE	5500	5538	5660	5710	5741	5770
QlZjtudjVD0	4599	4600	4609	4614	4612	4613
zPOYkJsrewU	7159	7217	7391	7495	7583	7626
DmQ4Dqxs0HI	7349	7432	7795	7977	8126	8213
8xfSL0XLRtQ	11770	12018	12920	13212	13569	13791
uoNuZEP77XY	230	234	237	237	239	240
prPZAbKzAB0	None	None	None	None	None	None
exDlflj0N5s	162	163	173	179	181	184
1mTJYTT-miA	43	43	43	43	43	43
CaTwsdnhECs	71	70	70	71	71	71
v2t75tTm_Jc	82	83	93	99	102	104
4vbDFu0PUew	58730	59710	62672	64867	67579	68535
Mu6GtxrZMbk	242	274	291	308	321	329
kntrqdpZ1vk	None	None	None	None	None	None
x-e-Erg5irA	3952	4412	5052	5175	5234	5295
QGae78sWVSw	13792	14808	16865	17479	17989	18171
qD5yKGH6KEk	429	433	440	443	412	411
8pOknzhAuzE	127	127	130	132	135	136
7MClnLA1i40	489	490	491	495	495	495
MnTRG-2WQoU	217	218	222	224	225	221
oSwZ_BckDvc	19178	19573	20238	20851	21349	21583
v17J6GbtvKY	8706	8717	8752	8786	8815	8832
AQbmpecxS2w	3427	3651	4208	4594	5000	5215
-XtToNPFU1E	7937	8126	8327	8392	8484	8544
RMcnH7oawHk	211	235	246	249	260	262
N3ae1mtSK-8	531	535	540	544	547	549
p6sCsOdqXQw	12613	12830	13393	13646	13906	14018
F-yEoHL7MYY	11530	11725	12021	12416	12763	12898
opDbH9m2OTs	375	378	381	384	385	386
YRvf00NooN8	12577	12600	12752	12898	13048	13138
3FajtMuSknA	704	714	742	728	732	736
GGY2mPQwN7c	3000	3036	3110	3155	3204	3222
j3Zjl8AOTYg	315	316	321	324	331	334
IV3dnLzthDA	32448	32618	33138	33451	33804	34068
TV9evdHjvGk	243	245	250	254	254	250
ZoPJVcHYlU0	None	None	None	None	None	None
750isJ3Gnjc	52	69	83	83	95	100
1LisgDFk1Lo	9	9	9	10	14	17
tQlT9nxnq3A	134	136	144	147	148	146
zL5zAYR666U	114	115	120	123	124	125
pQuk3t2aeBo	5917	5947	6159	6229	6284	6321
SUdHzKRiBX8	5259	5405	5748	5930	6167	6355
gJRoXFRDxuw	259	259	259	260	261	261
L-QNituOKHk	734	739	768	774	785	791
dfaY1dIG-8A	169	170	176	184	171	175
ZQ4E0JJcxz0	9258	9306	9590	9687	9790	9841
vjhbxxTYkpw	3846	4329	4758	4827	4886	4897
4OlfFWDN4C4	405	419	444	458	485	496
pirYs7L4xog	4597	4646	4756	4836	4898	4927
0TGAjtjlwYk	112	169	191	206	217	222
e0AE2ixKJ3U	52	56	68	71	76	77
nmjcQGEqcFU	2377	2384	2397	2410	2411	2417
uFzuRm3wCDk	3085	3122	3247	3295	3364	3409
O--o-O-ABBw	18126	22130	31903	37742	43095	47091
aZiewBCr1aw	1352	1353	1357	1358	1359	1359
6qTdl75bn0s	203	204	214	218	220	221
VGmTO5DRxII	25703	25795	26258	26525	26786	26955
w1eENwQOp_c	3973	4006	4076	4222	4329	4361
JF8UziDHqZo	5899	6093	6501	6583	6652	6701
lyJqXb8Nj-I	1830	1883	2015	2081	2166	2192
dcZ6bEUPWts	10536	10564	10686	10789	10876	10919
DUqcrdEZopY	4563	4587	4751	4842	4898	4932
zmNxBq4U624	162	191	231	247	268	288
rV0yp9op96Y	426	452	528	527	538	540
9kb5cuLK4n0	26937	29266	37334	39608	40798	41408
2gjKoP5bwbQ	957	975	1032	1055	1070	1092
WD6tU_77boA	1501	1513	1529	1542	1569	1582
gwsbCWu3eMM	19	19	19	19	23	20
KHOcTG2yCio	2663	2667	2690	2719	2737	2747
csCt0BNYEv8	116	115	121	126	126	126
WxDHDCPcsQ4	194	194	196	198	202	196
B0eTkU4XZ2o	288	290	295	297	292	293
c0AOEQAvZWk	14009	14012	14005	13997	14001	14003
F0xYQ8bqhGE	321	321	321	322	325	324
tZUCiXCQ6fs	67	67	67	68	73	75
ep57Nj9eWmU	15570	15584	15636	15664	15693	15701
pY9H-uM052U	170	172	181	187	189	190
0lkSqR4vrIQ	1895	2401	2928	3001	3072	3108
d-RVzcnIJPY	34	34	34	35	35	35
_iksbUH1aMg	7562	7574	7666	7697	7725	7750
AEzEvxGi7v8	294	295	296	297	298	298
zdBthc6fCk4	3811	3852	3906	3927	3942	3942
m6DXkfnYyr8	137	139	149	159	165	165
oSm3Qo8n0-Q	647	649	649	649	649	635
8dJyRm2jJ-U	337380	340397	352226	356734	360852	363316
YQpq3nPuiQo	2732	2943	3209	3279	3310	3321
qOY8F_ngNWI	4520	4582	5421	5537	5638	5682
x2hKmKoBpfA	50	50	52	53	54	54
KJmifyfP7x0	1594	1626	1718	1749	1779	1793
iy95PRrxLT4	11194	11224	11330	11383	11436	11496
j1AuFXa_g0o	5000	5275	6541	7520	8462	8897
xn3J2EMqA9g	1332	1335	1345	1351	1357	1359
gLp7NzaRFKA	18	16	22	22	23	24
dEbVfBJMoRI	2239	2259	2331	2423	2466	2486
gKp2gh8lUHs	207	205	209	210	211	206
