M1DIfhAzsWA	Божевільні шабаші на росії. Бандерівці захопили ЦРУ, а шпіони підняли ціни росіянам	2022-05-03T10:07:45Z	22	PT10M49S
SUwKZfzqxHo	Хроніки інформаційної війни | Перемогти РФ	2022-05-01T08:15:37Z	25	PT12M2S
q-Z4ks7N9lA	КАБИНЕТ ПУТЕШЕСТВЕННИКА! НОВИНКА 2022! 1 СЕРИЯ! ЛУЧШИЕ СЕРИАЛЫ 2022. СЕРИАЛЫ 2022	2022-04-30T18:00:12Z	1	PT44M25S
iJLPcmKqJl0	INSTASAMKA - СНОВА? (prod. realmoneyken)	2022-04-21T21:00:19Z	10	PT2M9S
RM5UOyi8W9g	#МОНТЯН В ЭФИРЕ: Восемь лет спустя… 😔	2022-05-02T18:20:55Z	22	PT2H4M40S
bKHCTG_nwoU	Пробуем ЛЮБИМУЮ еду СУПЕРГЕРОЕВ	2022-04-28T12:00:15Z	24	PT31M54S
RqMxClvspj8	#МОНТЯН В ЭФИРЕ: Тихий вторник? 🤔	2022-05-03T17:37:11Z	22	PT1H6M17S
btOCT2xcdmA	"Фашистское государство Россия"	2022-04-27T09:21:05Z	25	PT2M38S
oekocb7Boik	Невзоров. Пропаганда, Страх, мобилизация, парад и очень хороший совет Путину к 9 мая.	2022-05-01T16:00:10Z	25	PT12M26S
AeNvZiUFBiQ	Сьогодні вперше M270 MLRS відпрацювали по окупантах	2022-04-28T15:02:40Z	25	PT25S
t4-Vf6L63Js	День семидесятый. Беседа с @Alexey Arestovych Алексей Арестович	2022-05-04T21:05:53Z	25	PT30M21S
dTA54srFoI4	Lp. Идеальный МИР #2 ЖИВЫЕ ЛЮДИ • Майнкрафт	2022-05-02T12:00:30Z	20	PT17M8S
kKREoXVEA_8	Что прячут в гаражах звёзды? ФИЗРУК и МИХАЛЫЧ	2022-04-26T17:20:12Z	22	PT28M40S
z2JmKR_STSw	Brawl Stars: Brawl Talk - 2 Brawlers, Bot Drop Game Mode, Sprays, and MORE!	2022-04-23T15:00:13Z	20	PT6M44S
W-bDXp11_yU	GULHAR (गुल्हर) | Trailer | Bhargavi Chirmuley | Madhav Abhyankar | Ramesh Chaudhari | 6th May 2022	2022-04-25T04:00:11Z	24	PT3M10S
zy_bIL9W8EA	DANTES: ворог росії, Харків, розлучення з Дорофєєвою | СЛАВА+	2022-04-23T10:30:19Z	24	PT24M36S
Q5dqdK_oCDY	Пропаганда побеждает? Россияне о войне	2022-04-28T12:03:03Z	25	PT13M25S
mhgTPzD7thY	Українська армія звільнила Руську Лозову на Харківщині: людей евакуювали	2022-04-30T13:50:53Z	25	PT3M35S
