XdUoiEVccdo	11461	11746	12559
hse_g-YZ754	85998	86428	87834
-PPoe9b2iCo	6028	6188	6436
iny16wsspZk	30713	31432	32176
URnqWj-kJlE	1460	1521	1715
FxTk7YRp3FE	3583	3620	3733
f69ICbKFKak	3870	4423	5568
eOhcZ-CupVE	32696	37586	41685
3QbGg8G7wE8	7032	7249	7439
y6L2HPhuGSg	56941	65780	68780
9Q71C4IsbZE	65810	66728	68764
cvgbMpKjtks	32058	34145	36865
a_0PSZ2S_yw	213524	215191	220411
Hrckugg1uWQ	14273	14696	15213
yf--HfbV2Is	16123	16255	16389
ZTFWZJHuZQE	3254	3418	3828
B5T0RHIcT_Y	16829	17237	17941
kT_x7qxQuac	7167	7394	7636
z_CroYdSTwM	1974	2081	2242
wWWD-gpfIqg	8304	8471	8671
67F4wWCUKTY	26547	30896	35309
CMWLX0KXwF4	51141	57761	72621
T2OSS9mX8Io	21455	26499	30063
r5n1GCY-nYQ	413954	422803	453613
DDY6KjQCMoQ	161994	162887	165110
-lYheij1EtI	18931	19851	20451
NFUW6Vj3z_I	4517	4745	5171
ZkzNAhppysE	68655	71558	80732
8G1VS70BdU8	8839	9024	9386
2J9pXnhQJqM	6594	6851	7494
oI_X2cMHNe0	212527	215530	222945
_fpxCuorKjA	66936	70607	80953
mL_WNsw8Wdg	3848	3865	3888
6fPj6mj-M_k	47604	48042	49325
VCHk9zoFIr8	67908	75025	87950
VWRh7mSO0dA	3909	4070	4341
tRDblFJlcb8	4799	5001	5356
xcjPuh9qFzA	6372	6477	6674
tmZEiRqbDpM	63893	64894	66523
zY3mKI1XFKM	24178	24255	24399
JyXpzxRr_T0	64716	66800	73142
AoOLVyilwfc	3792	3884	4042
Q_wdABahpCM	7795	8046	8434
P6Ps7MYB2bI	11913	12432	13728
x-rA2Jrnuz8	12156	12261	12378
1KHiwwmusaE	40145	40488	40989
U6vFqjTVYOU	3593	3778	4020
vPHbooOJVQA	10856	11131	11513
SpV7VPoTzF8	21185	21945	23713
jJI-UmMbsAM	1825	1845	1882
PbRZcvVnF0w	39148	40811	46880
KCNhjF-MzYg	137801	146238	156517
iZr3E3a7woY	8535	8550	8736
HtYZTqi5jgQ	17287	17600	18186
dqX7hF9AUBA	2120	2126	2127
Ajn-PTtBOn4	37195	38618	43237
g7Pi-14IOtM	14273	14350	14586
jeVqPpWlPxg	1272647	1347501	1682953
VS4QQPFw5uI	21325	22421	24865
3yvVjrVpzws	19663	20948	22844
UxWtQokSuvw	426	427	428
xt4E8FSIwFM	7206	7627	8347
cozgrxWZBKg	11384	11420	11494
YzgJvysqbpg	1302	1346	1417
bxKMXOSJyqY	3877	3998	4914
iH8mWNKM8xU	None	None	None
7kuF__NWV6U	38839	41280	44377
ZDfR8S43Chw	4449	5462	6766
dPRlBez5_9U	5257	5333	5472
oijf7rtTwxQ	16205	16507	16904
kd4F17sAzrY	10586	11006	11560
AmWcgZVpbGw	9067	9108	9213
W2HxIKEwC6w	10362	10545	10832
rI0b_gmnvvU	790	795	802
si45rP-exiQ	6140	6219	6397
-NMs56pQ9EE	19960	31749	40519
i3Mft0X7UQk	24884	26734	28766
SrXSH0KfI_c	23287	23880	24842
qeT-ZocCEAk	11155	11232	11330
-gJao_GoBWc	6607	6768	7115
idpaZFV3b3o	11745	11879	12168
4V-KojsHAAA	12157	12250	12483
4vbDFu0PUew	988997	1006637	1071369
4TN6qRf7S2U	35887	37923	41877
n6WwfSGj31E	48661	49899	54019
6eN_roYUYQU	32463	33468	35834
HLLofrwRlBg	80536	81663	85137
eqDyBMHIrrU	19215	20262	22156
jkD9prp1Ii4	55620	57932	64049
vg6Iq_Es3Wk	628972	639637	662443
KKXHax5Kbg0	32103	32522	33387
SekELztG4LU	49736	55438	73369
Wo60qvZFBTc	2794	2957	3283
oSwZ_BckDvc	120769	123967	132980
VUXTzIxvtrk	29869	31819	38242
84vlnoIDe8s	19517	19724	20175
AQbmpecxS2w	45036	47249	52385
olyLUstmWt8	22651	23433	24314
UWeJg217v68	1138	1225	1359
cOFuEQEvC3E	115971	116794	117791
SXxvaMrMFnE	10315	11357	13888
qV-PKroH6_U	7822	8026	8646
PZts_28JGpw	7061	7109	7212
1WhDCLhgHmY	2351	2396	2486
Y0qOJO5hfBQ	5887	6301	7619
0b5QBaHd9iQ	18039	18185	18517
MoyDJ8VnTGo	17287	17862	18583
tNLpc44miaw	15160	15473	15991
9UX0JCz2SCI	10265	10478	10937
DfcrhO3f4KA	3868	4029	4237
ZzDP7HGvnm8	9647	9834	10371
