XdUoiEVccdo	11461	11746	12559	13020	13499	13702	13833	14053	14126
hse_g-YZ754	85998	86428	87834	88140	88421	88528	88604	89329	89416
-PPoe9b2iCo	6028	6188	6436	6580	6719	6780	6842	6933	6978
iny16wsspZk	30713	31432	32176	32598	33054	33247	33345	33462	33504
URnqWj-kJlE	1460	1521	1715	1812	1896	1958	1990	2037	2051
FxTk7YRp3FE	3583	3620	3733	3819	3882	3914	3932	3971	3985
f69ICbKFKak	3870	4423	5568	6948	8405	9180	9723	10386	10979
eOhcZ-CupVE	32696	37586	41685	43010	45194	46215	46990	47960	48321
3QbGg8G7wE8	7032	7249	7439	7527	7572	7587	7595	7601	7605
y6L2HPhuGSg	56941	65780	68780	69142	69437	69542	69685	69848	69919
9Q71C4IsbZE	65810	66728	68764	69808	70684	71181	71517	72071	72245
cvgbMpKjtks	32058	34145	36865	38238	40412	41661	43064	45239	45832
a_0PSZ2S_yw	213524	215191	220411	222960	225392	227897	228993	232175	232872
Hrckugg1uWQ	14273	14696	15213	15472	15821	16085	16179	16299	16339
yf--HfbV2Is	16123	16255	16389	16444	16505	16524	16543	16565	16570
ZTFWZJHuZQE	3254	3418	3828	4043	4212	4340	4400	4550	4574
B5T0RHIcT_Y	16829	17237	17941	18301	18661	18829	18976	19232	19303
kT_x7qxQuac	7167	7394	7636	7769	7901	7954	7996	8068	8090
z_CroYdSTwM	1974	2081	2242	2306	2372	2404	2417	2439	2450
wWWD-gpfIqg	8304	8471	8671	8789	8884	8925	8968	9019	9045
67F4wWCUKTY	26547	30896	35309	36811	38496	39130	39565	40104	40257
CMWLX0KXwF4	51141	57761	72621	79206	85596	90276	92758	98553	99828
T2OSS9mX8Io	21455	26499	30063	31545	32893	33556	34113	34671	34928
r5n1GCY-nYQ	413954	422803	453613	473087	491111	500947	505957	516927	520281
DDY6KjQCMoQ	161994	162887	165110	166649	168563	169420	169823	170720	170910
-lYheij1EtI	18931	19851	20451	21269	22095	22503	22716	23003	23136
NFUW6Vj3z_I	4517	4745	5171	5412	5603	5696	5807	5966	6006
ZkzNAhppysE	68655	71558	80732	86750	91700	93998	94930	97146	97755
8G1VS70BdU8	8839	9024	9386	9567	9737	9805	9838	9911	9939
2J9pXnhQJqM	6594	6851	7494	7814	8047	8163	8205	8282	8306
oI_X2cMHNe0	212527	215530	222945	226326	230125	232421	233587	236751	237578
_fpxCuorKjA	66936	70607	80953	84230	86776	88373	89199	91028	91480
mL_WNsw8Wdg	3848	3865	3888	3903	3917	3926	3935	3939	3945
6fPj6mj-M_k	47604	48042	49325	49957	50753	51153	51308	51839	52021
