XdUoiEVccdo	11466	11746	12561
EY8eRmmSGx0	1502	1579	1754
zyNUr4LWfoc	361825	364822	376571
OrJ4rPSlrlI	56426	58696	65744
JktwRXYTDYc	249731	250445	253810
hD1YtmKXNb4	2559486	2569929	2609181
Jrr9bPVeieE	1957403	1962805	1974917
4X16Iw5ST4Q	131097	132035	135164
0kKkKfpKfDk	2611	2636	2682
7cK1a9C7nlg	239477	250221	275672
oHV9sqp7Kws	900	1416	1700
At1EOyY5Hpo	44000	44074	44377
36I7yGCA12s	1477	1776	2343
a_0PSZ2S_yw	213537	215205	220417
S_nyiXUMzdc	260130	262898	269313
acMC7bTVcY8	705403	753394	843669
t4-Vf6L63Js	272627	279885	307145
QO7e_RiMVQg	542525	543884	548590
FcmUNlgld74	163961	165626	171456
LTenOkKggsg	278539	280493	286540
ttwrfsruMaU	1871	2166	2669
UOMiA4hSVVc	14755	15224	15790
z2JmKR_STSw	538489	538629	539012
wtZelxSzzm8	2347	2375	2424
OpOvMwkGL18	87428	121574	163929
DDY6KjQCMoQ	162000	162890	165114
3EPWJEdDkFc	93628	94040	95660
jCokmhfCziU	27761	27836	28001
mTa8L_X-AfQ	1355749	1368449	1416965
3Qdog8EvSzg	4040	4055	4096
oI_X2cMHNe0	212548	215551	222954
lv8n_gPSbqM	707	724	769
6M8VTsQJ-74	3671	3722	3812
TkTaadb9GmM	239978	240854	243764
hjAyYupCcy0	9538	9706	9930
DmKpePzn5-c	914068	915264	919209
_dpIwwI86ss	26136	26221	26387
9-Lxt14dSL4	1367	1372	1377
5pEupFLn3Mw	3613	3640	3715
ibDgSpyBQAA	73697	73721	73774
1ACoq99fZYo	1522	1569	1625
XzZGOrCn0gQ	181753	182641	186350
tgB1wUcmbbw	1679551	1681020	1687295
vBJDPmTWP8o	13924	14023	14444
dCC-Ix87Y68	2534	2558	2607
IyrK52_bLl4	5015	5029	5065
FKD71cLGzO4	122453	128087	143346
7eLE5GHIyOg	30720	30800	30968
F0fMoqY9qI0	1044714	1051817	1062325
JKOdGQAfAIc	53838	55568	60901
-OxoU9WyZ8Q	1858	1892	1948
Nus7MfF2ytw	5576767	5652343	5975751
b4F0YBnVdno	30329	30353	30432
tcSmm3rJikY	167740	168039	168822
jeVqPpWlPxg	1273427	1347697	1683116
OT2l4eNRtBk	2356	2551	2714
9tPUeBsYmyc	2268	2396	2666
7i8ZtcUekg0	4650	4710	4767
tn79OFbPwKE	439335	442030	452255
k6HfmIZXDuA	1080	1089	1114
yt8XWraKEpQ	3439	3808	4522
B9fv9EysEKk	1463223	1509019	1674469
iH8mWNKM8xU	None	None	None
DrG669-BIUk	3423	3430	3418
m-acj_D5xLo	497217	498405	505929
QtUOwx5Sn3s	672	680	693
OcJB9GWRq9Q	116490	116679	117299
6qIz1TEBd0I	2864	2948	3038
2h4tsI0lTsg	36055	36948	38361
7pPkYIJH7oI	2896	2901	2911
0HPKKFugajE	135148	136091	138660
1yuTJMFGxEw	271041	275993	285672
p6QAMEdB_BM	161706	164796	171479
QlZjtudjVD0	125658	125788	126099
8lPVQK2wn38	1381	1386	1406
zPOYkJsrewU	155143	156901	161651
6C1PEDS-kac	10716	10780	10914
cUbzWjNqtmo	12886	13092	13420
v_Sz-Kh2GLo	6142	6165	6353
DmQ4Dqxs0HI	241367	245166	255546
PT_Lvt_mqJA	2359	2566	2739
8xfSL0XLRtQ	260094	268514	294563
AUZcer3JNJc	4035	4066	4140
4vbDFu0PUew	989162	1006719	1071479
KkeDg9RJELc	10456	10498	10560
PcfwVCyJayU	878	880	887
PyPrgbRBilg	881914	882856	887291
ZcyZRtLaWOw	12692	13959	17868
HqO5jmkARaE	66585	84412	103906
uKQXgerfnE4	10910	10987	11091
kJQ3FkvUB20	175929	176467	177760
cCf4qFl5uVA	3287	3855	4276
mkH7rVb6V68	226770	227060	227553
I5cKmpA7x68	2195	2228	2261
oSwZ_BckDvc	120809	123978	132992
esSnfGZo58Y	1579	1594	1639
AQbmpecxS2w	45047	47261	52389
elJf9iFLGos	1563	1933	2112
-XtToNPFU1E	96994	98276	102059
v17J6GbtvKY	99595	99794	100449
0yCenSLpnaE	110386	110905	112899
p6sCsOdqXQw	81064	82082	85012
F-yEoHL7MYY	229546	235357	250075
3FajtMuSknA	10116	10135	10199
IV3dnLzthDA	498833	502189	512318
atzfBDB3lZI	682125	685656	702435
CKJfT8zyofk	932	958	1040
ZoPJVcHYlU0	None	None	None
NUhNJ8lFUQg	60655	61372	63622
EXUuKYHyXPY	86756	88177	95260
8uiUz_IUkpo	6849673	7017963	7624435
XKDhq2UcjIM	142616	143136	144897
SUdHzKRiBX8	73725	75673	81463
pQuk3t2aeBo	250109	252658	260836
L-QNituOKHk	76341	76912	78403
vjhbxxTYkpw	32869	40032	46766
kZdhnDmr0w4	69765	70295	72172
pirYs7L4xog	5027250	5063090	5199866
2FsOG2guDqc	14857	14984	15144
jaCtOiCgd1M	2057	2137	2238
vnWHw1dXoq0	866	875	882
gM-PEws3iYk	10297	10358	10488
n8b0z30Jg-w	8439	8661	9201
af_MVvq0t34	9903	9923	9978
245-m_JYDmY	884	893	900
VGmTO5DRxII	112423	113022	115816
w1eENwQOp_c	17108	17186	18029
Qs9qAjBbeus	3297	3325	3357
JF8UziDHqZo	82044	84288	89202
yQEondeGvKo	872981	873736	876759
oUPRwfb37sM	120781	151394	196688
U6Nhw-H2peA	5608	5805	6283
1d6kl6nW2wM	6137	6146	6187
dcZ6bEUPWts	139936	140530	143586
DUqcrdEZopY	147059	149391	158341
_b4jJJzaG90	606910	608395	612421
GauAgBNSLcI	1899	1918	1960
9kb5cuLK4n0	386370	433665	581684
2gjKoP5bwbQ	30024	30547	32406
86tUVQ9SFY4	2413	2422	2432
txXIEosA36g	93065	93566	96215
OJ2B4Fb7xQQ	167175	174403	193319
qprZr64xtaU	50831	53616	57581
c0AOEQAvZWk	3609584	3609444	3609146
0Dz8SebIq3s	61406	61443	61534
yPQSHkL058s	10823	10837	10865
ep57Nj9eWmU	119394	119701	120811
heayyMyhSGU	84778	88173	101242
aWoe3xdbToI	2271	2302	2358
6QFQqMl5kS4	3745	3840	3984
ZLScA5anDGY	515	523	530
Od_-CIgqec4	1445	1450	1474
zdBthc6fCk4	150547	151898	154584
SiQeZCHB7vI	2176	2189	2217
8dJyRm2jJ-U	6165080	6234113	6476741
MN-HUIobFsk	2942	2956	2986
iy95PRrxLT4	340406	341723	346400
j1AuFXa_g0o	91676	98067	121869
xn3J2EMqA9g	94830	95035	95637
FUIWaKc7f6w	2365	2635	2892
YLAxshOLsFs	35438	35443	35474
txU0nH89v84	3248	3301	3434
4vczeQsaWSA	195110	195508	196982
V3C4pWwDqps	59706	59853	60287
_iz5_DuY_II	281468	290046	325188
hBTNyJ33LWI	586577	588122	592633
KYOsPUantFM	190426	190647	191258
7OPg-ksxZ4Y	202523	209576	229265
7l6L5wFfsLU	216852	218535	222716
PbRecLhhySw	1449	1466	1487
wpV7OXr7JYo	88233	89519	92653
lN3mGy_YtsQ	14236	14399	14620
RN53Laqo5w0	1597	1623	1683
3Yh_6_zItPU	306050	317286	335955
4H66pDhczzw	91941	92112	92751
tz56NQrJLBo	1212	1238	1373
uaeqaqNyDFA	16398	16442	16537
g9g9Y3BgYMQ	49022	49784	50502
ONj9cvHCado	459284	466066	483098
ItZ4SlxpOiI	95109	99996	118298
Y-NkpL5x24s	2546	2703	2935
-sbmgOiQWjc	23968	24070	24360
3PHhl2pa3jo	192933	192977	193152
L_1LKg9UnCk	1996145	2012878	2067265
WbJTmahWZCY	2403	2425	2519
rmpTkRnvMyM	338270	338189	337983
U3RBuVpwsFQ	36261	36879	38699
7Qlu9azUKho	38638	38750	38964
orN0PaqQECs	25494	25505	25548
bIhN2hmk7Bg	2519	2523	2538
O9clzzxE4BM	351118	351516	352565
-_EVfrXqkEo	225194	225287	225563
oTw8AECmUNA	530019	532517	543942
ZQBjaqo-viE	383376	384278	387680
vYHaQ_oD3No	8688	8798	8891
2yayjKG-QzY	262110	262867	265324
lNtOxZFiMAU	218762	219981	224709
nhZIo5pcero	17275	17309	17395
6N22wYwItDs	7524	8049	8966
HpcMKZUs2QY	137883	138693	140855
