_LzE_yWxdqo	456585	461159	462455	462945	463197	465065	466902
oq3XzVsARVQ	3400	4111	5978	7306	8618	9201	9643
EgtAN-7VzxM	20833	20988	21191	21309	21383	21414	21431
r_RcQ5959t8	25972	29404	34225	37016	39667	40763	41739
uswbU5yGcTs	3832	4146	4556	4813	5014	5126	5219
f60fpQMIdxA	4830	5065	5614	6023	6355	6603	6771
8le_FFz1-uI	4508	4526	4566	4581	4591	4595	4597
XdLZrfFiajw	11966	12117	12478	12663	12888	12976	13058
sVL1qeIXXBg	6004	6983	11539	19862	30993	34774	37383
Afmz_B-ZhcE	7298	7361	7471	7545	7613	7652	7676
e-euwzBU7yc	20831	20990	21289	21513	21750	21904	22034
t4-Vf6L63Js	272634	279886	307145	306533	306454	306385	306322
bFeC5UBtLZs	115567	166152	204168	215763	223445	226943	228115
64Yh8JkGuqc	17982	18255	18704	18935	19173	19307	19383
4pnc9F_bc7Y	15317	15374	15534	15622	15730	15776	15807
1sPPxTwkcno	7493	7613	7759	7822	7886	7896	7902
wt8gNb3tSEU	7297	7418	7879	8381	8930	9098	9199
_JPsTvnc43U	13715	14063	14404	14711	14926	15021	15059
r5n1GCY-nYQ	414049	422831	453679	473125	491161	500972	505973
DDY6KjQCMoQ	162001	162890	165115	166653	168570	169424	169826
ZkzNAhppysE	68688	71578	80745	86759	91703	94002	94938
uBDxPRi0OoU	23006	32303	40366	44275	47857	49615	51120
LqtwJRgAo7c	1143	1260	1557	1742	1906	2030	2116
RKLuD3zPi_s	4858	5091	5399	5634	5908	6047	6159
iPyxXX1EOmI	10764	11727	12555	13178	13688	13915	14056
wgqPKrU8Z54	12427	13680	14654	15026	15336	15412	15475
u8bRv8VHePQ	6866	7140	7783	8170	8531	8702	8808
nEc-uwLVOCg	4634	4763	5081	5290	5517	5651	5765
qo-NO-bFfzE	247	254	259	259	263	263	265
E4eUX_KJYDQ	13791	13860	13947	13972	13984	13990	13991
ONAfRcquz_k	1715	1769	1880	1980	2083	2130	2174
g88DHXCtEzw	21242	21304	29070	35195	40846	44775	48424
CXYAxBwGVaY	3060	3264	3590	3754	3921	3992	4029
0rsIRMbNLxI	5899	6709	7823	8330	8856	9158	9471
TW5K4u6IZq8	15262	15852	16291	16734	17068	17196	17270
kA81LzzdDGw	125944	144946	161890	168950	172382	173515	174068
K8SYEIBmSPg	18678	19081	19836	20239	20630	20857	21055
P6Ps7MYB2bI	11917	12434	13730	14416	15116	15442	15632
m96Tk1IeqPc	838	840	850	852	855	855	855
nyEL4gEuC8g	787	801	824	834	844	852	854
PcFC-Eek0E4	18612	19352	20361	21364	22200	22555	22774
9MhICC9iSkM	4841	5059	5472	5788	6214	6396	6507
Shgz5SkFqH4	37738	38786	41155	42458	43814	44641	45273
3w9LY_7oKiI	12468	13218	14591	16204	17804	18907	19443
W6fPYXJ-Zro	57841	58789	61357	62965	64722	65789	66782
0B9GbMDZC6k	5512	7188	8305	8535	8820	9139	9578
l58K4N4QECs	9064	9497	10208	10880	11350	11477	11578
7P2xj3j5RWc	4010	4102	4279	4368	4444	4503	4555
OZkvm0wem0s	17048	20732	21667	21856	22027	22068	22125
fFFGdJCy7Sc	4802	4986	5472	5761	6036	6161	6222
uGzDKU7gxho	38594	38851	38930	38767	38773	38777	38780
Klmparbq4hQ	241654	243866	247901	251478	254886	256437	257784
WQbb2PBBVNM	24722	25409	26303	27062	27935	28350	28646
