_LzE_yWxdqo	456585	461159	462455	462945	463197	465065	466902	476572	479932
oq3XzVsARVQ	3400	4111	5978	7306	8618	9201	9643	10263	10394
EgtAN-7VzxM	20833	20988	21191	21309	21383	21414	21431	21465	21489
r_RcQ5959t8	25972	29404	34225	37016	39667	40763	41739	42813	43188
uswbU5yGcTs	3832	4146	4556	4813	5014	5126	5219	5354	5404
f60fpQMIdxA	4830	5065	5614	6023	6355	6603	6771	7035	7139
8le_FFz1-uI	4508	4526	4566	4581	4591	4595	4597	4597	4598
XdLZrfFiajw	11966	12117	12478	12663	12888	12976	13058	13143	13175
sVL1qeIXXBg	6004	6983	11539	19862	30993	34774	37383	41323	43042
Afmz_B-ZhcE	7298	7361	7471	7545	7613	7652	7676	7705	7718
e-euwzBU7yc	20831	20990	21289	21513	21750	21904	22034	22239	22366
t4-Vf6L63Js	272634	279886	307145	306533	306454	306385	306322	306175	306132
bFeC5UBtLZs	115567	166152	204168	215763	223445	226943	228115	231054	231684
64Yh8JkGuqc	17982	18255	18704	18935	19173	19307	19383	19463	19502
4pnc9F_bc7Y	15317	15374	15534	15622	15730	15776	15807	15851	15864
1sPPxTwkcno	7493	7613	7759	7822	7886	7896	7902	7914	7924
wt8gNb3tSEU	7297	7418	7879	8381	8930	9098	9199	9352	9423
_JPsTvnc43U	13715	14063	14404	14711	14926	15021	15059	15117	15144
r5n1GCY-nYQ	414049	422831	453679	473125	491161	500972	505973	516950	520287
DDY6KjQCMoQ	162001	162890	165115	166653	168570	169424	169826	170721	170908
ZkzNAhppysE	68688	71578	80745	86759	91703	94002	94938	97151	97758
uBDxPRi0OoU	23006	32303	40366	44275	47857	49615	51120	53552	54637
LqtwJRgAo7c	1143	1260	1557	1742	1906	2030	2116	2273	2330
RKLuD3zPi_s	4858	5091	5399	5634	5908	6047	6159	6324	6371
iPyxXX1EOmI	10764	11727	12555	13178	13688	13915	14056	14256	14318
wgqPKrU8Z54	12427	13680	14654	15026	15336	15412	15475	15543	15558
u8bRv8VHePQ	6866	7140	7783	8170	8531	8702	8808	8936	8980
nEc-uwLVOCg	4634	4763	5081	5290	5517	5651	5765	5921	6003
qo-NO-bFfzE	247	254	259	259	263	263	265	267	267
E4eUX_KJYDQ	13791	13860	13947	13972	13984	13990	13991	13997	14000
ONAfRcquz_k	1715	1769	1880	1980	2083	2130	2174	2223	2252
g88DHXCtEzw	21242	21304	29070	35195	40846	44775	48424	51689	55377
CXYAxBwGVaY	3060	3264	3590	3754	3921	3992	4029	4113	4145
0rsIRMbNLxI	5899	6709	7823	8330	8856	9158	9471	9857	9992
TW5K4u6IZq8	15262	15852	16291	16734	17068	17196	17270	17367	17404
kA81LzzdDGw	125944	144946	161890	168950	172382	173515	174068	174868	175003
K8SYEIBmSPg	18678	19081	19836	20239	20630	20857	21055	21355	21481
P6Ps7MYB2bI	11917	12434	13730	14416	15116	15442	15632	16015	16115
m96Tk1IeqPc	838	840	850	852	855	855	855	859	859
nyEL4gEuC8g	787	801	824	834	844	852	854	855	858
PcFC-Eek0E4	18612	19352	20361	21364	22200	22555	22774	23092	23172
9MhICC9iSkM	4841	5059	5472	5788	6214	6396	6507	6716	6794
Shgz5SkFqH4	37738	38786	41155	42458	43814	44641	45273	46475	46981
3w9LY_7oKiI	12468	13218	14591	16204	17804	18907	19443	19878	20100
W6fPYXJ-Zro	57841	58789	61357	62965	64722	65789	66782	68287	68986
0B9GbMDZC6k	5512	7188	8305	8535	8820	9139	9578	9908	10009
l58K4N4QECs	9064	9497	10208	10880	11350	11477	11578	11670	11725
7P2xj3j5RWc	4010	4102	4279	4368	4444	4503	4555	4633	4668
OZkvm0wem0s	17048	20732	21667	21856	22027	22068	22125	22170	22189
fFFGdJCy7Sc	4802	4986	5472	5761	6036	6161	6222	6336	6356
uGzDKU7gxho	38594	38851	38930	38767	38773	38777	38780	38784	38782
Klmparbq4hQ	241654	243866	247901	251478	254886	256437	257784	259666	260502
WQbb2PBBVNM	24722	25409	26303	27062	27935	28350	28646	28978	29172
jeVqPpWlPxg	1273504	1347713	1683131	1757229	1839557	1888266	1915092	1966717	1977089
xwkdFxYbdDE	42240	42989	44037	45130	46339	46794	47171	47627	47842
a8DssxNUIU0	34461	35344	43200	52955	60925	65416	69564	73922	78064
TVzPx7geWY4	3600	5035	8076	9802	11724	12815	13869	15981	16928
q7qpAhPAyag	1153	1351	1649	1800	1984	2108	2195	2353	2410
d9RkYL35MJE	10999	11550	12029	12238	12395	12477	12512	12569	12594
iH8mWNKM8xU	None	None	None	None	None	None	None	None	None
JrcBrCSZbZ0	11717	13710	16412	17439	17874	17958	17994	18054	18062
5Z3ZC3Xqo4g	7439	8542	9658	10336	10990	11306	11538	11840	11977
oO2A5dHzeIc	21583	22159	23445	24202	24960	25301	25552	25945	26110
JMdr5imKtPk	12209	12347	12574	12731	12898	13018	13128	13306	13399
a2-KCKHTrC8	2345	2448	2679	2820	3030	3198	3328	3603	3751
L7D8PKNsZ3Y	3701	4170	4682	5050	5439	5679	5918	6185	6313
TPoMuSdbL90	20199	20615	21345	21905	22457	22728	22927	23094	23218
BMRUFaqTMlI	19138	19186	19266	19312	19365	19378	19396	19409	19413
kY5UcheqBg4	31177	31809	32689	33283	33885	34201	34473	34820	35044
WIjyPNvlKcY	51853	53558	56907	58633	60554	61802	62772	64279	64889
VOy-koBLg98	6850	11000	12545	12726	12815	12839	12868	12901	12909
-Q-ZpoATlpI	4003	4718	5868	6687	7266	7604	7822	7984	8011
cUbzWjNqtmo	12887	13092	13420	13454	13683	13797	13827	13936	13943
MOifIuOhBiA	348661	348779	348036	347888	347707	347635	347561	347431	347386
WhIfGDvXghQ	9264	9465	9884	10103	10320	10424	10513	10636	10684
mD2iDUoCxt0	20653	21153	21848	22162	22502	22670	22760	22931	22991
5BiMGHyv3WI	4356	4630	5047	5212	5353	5449	5553	5655	5694
4vbDFu0PUew	989172	1006727	1071489	1108628	1152836	1175376	1188710	1219595	1228093
scZgPT3h4uY	23400	24225	25825	26852	27786	28265	28700	29232	29534
_HlOyG1HxEI	4967	4985	5010	5020	5030	5030	5031	5034	5034
DuDmanjlXLo	6876	7319	8187	8968	9983	10500	11038	11729	12225
3_zu-BUdywI	2172	2773	3072	3213	3245
PozSoxA1HtY	2317	2373	2443	2531	2629	2663	2688	2712	2713
0ue7A9x_K5Q	7450	7905	8986	9511	10057	10121	10136	10153	10156
aa6NTDLX5Og	11677	11883	12360	12563	12744	12825	12911	13040	13075
6eN_roYUYQU	32471	33476	35838	37291	38672	39642	40361	41686	42119
x-e-Erg5irA	8399	8949	9924	10216	10450	10576	10653	10822	10866
Q0HtPG3mGwM	36558	37206	39122	40952	42892	43965	44479	45295	45726
iW6PL6cOVT0	6126	6252	6550	6684	6793	6884	6923	7016	7054
jkD9prp1Ii4	55634	57947	64063	67883	71940	74036	75835	79092	80533
9Rrn7O9UZ7Q	15060	15973	17752	19152	20388	21103	21660	22457	22802
5rjG1ueu8yI	6861	7006	7321	7536	7718	7816	7914	7979	8001
0Ki_9jyEV-M	27109	27790	28354	28555	28706	28817	28904	29001	29017
pddwfGgNWPo	16289	19536	20595	20770	20879	20914	20950	20997	21009
oSwZ_BckDvc	120812	123981	132994	139143	146031	149130	150629	152947	153218
8_zu0DhhDx8	49407	49581	49837	50020	50180	50275	50350	50447	50499
x6TUvi62RX0	18687	18894	19184	19355	19564	19621	19652	19674	19683
tCi7kETPiwE	3546	4164	5550	6393	7356	7690	7840	8212	8295
vACuHOjNHqc	4112	4324	4744	5046	5315	5475	5614	5868	5946
zApoZo9jMMA	510	514	522	531	537	538	539	541	541
tkaYmeVuN8U	22727	23905	29009	37795	53250	62501	67501	75869	77598
79utzs9G8ng	8299	8309	8324	8328	8333	8335	8340	8345	8346
34lTojoqWnc	10578	11178	12014	12290	12616	12741	12805	12914	12940
npY9YabttUc	13688	14327	15744	16512	17250	17600	17957	18519	18764
U7l_PRD23fg	14953	15043	15272	15402	15565	15625	15663	15754	15790
qIqH2bH8l_s	3078	3235	3867	4277	4646	4846	4974	5190	5239
olfLL5HXm7o	12700	14268	16502	17605	18702	19278	19812	20410	20752
