6q2cMTpUEOQ	170858	171321	173034	174461	175948	177129
SgflG4TzZNY	7384	7397	7460	7498	7576	7615
p82YhXuWios	16825	16831	16846	16862	16880	16887
tw9WfyAOt0g	1621	1627	1644	1649	1658	1656
lVabp2pq2pM	2192	2246	2392	2496	2599	2678
bKHCTG_nwoU	109529	110879	113284	114906	116557	117412
-iWBCjdrknE	1646	1673	1709	1725	1751	1769
OISqNAdTvFc	3355	3375	3408	3428	3455	3492
qmyMg504otQ	57793	57855	58002	58099	58257	58347
z2JmKR_STSw	538489	538629	539013	539282	539536	539658
xTiwEJNlTzM	32837	32914	33144	33325	33511	33664
3JIZTv-N--E	14890	14912	14981	15023	15067	15091
O_3S4fPxWZw	8220	8466	8847	9126	9384	9569
vYG9HdjJ8_A	852063	859518	881912	891477	899669	903584
hNVmHRmRELg	84061	84403	85319	85900	86448	86733
f1pq4hv6KMc	86406	86698	87404	87927	88576	88947
JBCF9h9gjh4	29409	29495	29696	29852	30049	30159
VH0sc3HtAq4	3320026	3374693	3406998	3415175	3418903	3420843
gYEGn1PPIV4	118298	122657	128491	130385	132541	133719
2ntnnBCpR5c	934	964	1109	1196	1316	1369
efFQ02rvSiA	847155	959213	1330630	1436654	1473527	1483875
9WZQlHMNe7o	180105	181814	186657	188956	190896	191924
Km6yiiGAx40	None	None	None	None	None	None
tPg6FNt-NYg	257092	258744	262462	265262	268820	270671
8d3X7_-QVyo	2769	2875	3192	3386	3579	3700
pyjyhmeebf0	55915	56227	56807	57171	57508	57673
NcbFqgyTTBU	11040	11202	11652	11931	12329	12563
3klWO2ttpGQ	168605	169215	170645	171633	173907	174815
oQ6a8UmuKhk	168676	169661	171523	172612	174039	174798
37v1PJqG06g	380833	381517	383010	383972	385056	385669
z1fmOHWlcog	18162	18180	18217	18245	18284	18308
70JDd-Ywnio	301752	303515	307294	309364	311798	313128
ej9N0sGymE0	17911	17955	18077	18152	18236	18297
Supe0AtCFAY	231032	231473	232547	233406	234855	235543
N_BOMV45mDY	22046	22674	24129	24907	25719	26228
7sC1dBws9L0	206598	224677	276377	318976	356078	370843
