zyNUr4LWfoc	361841	364835
JktwRXYTDYc	249734	250456
hD1YtmKXNb4	2559519	2569975
p82YhXuWios	16825	16831
RM5UOyi8W9g	58540	58642
bKHCTG_nwoU	109537	110880
-T18GYEc86Q	74857	75295
RqMxClvspj8	48399	48496
3gZi-JtYlAM	54994	55265
t4-Vf6L63Js	272683	279893
QO7e_RiMVQg	542529	543891
dTA54srFoI4	136888	138505
aZw3shKxf5M	40956	41051
4LFwvco99xw	3989	4176
kKREoXVEA_8	83518	83768
z2JmKR_STSw	538490	538629
3JIZTv-N--E	14891	14912
oI_X2cMHNe0	212567	215569
TkTaadb9GmM	239982	240857
4RAEt1mYR38	19436	19438
xImnMbyEJOk	60168	60195
iKzv9QQV6IY	9377	9382
ejqo6qHgWTg	32383	38036
UJZLru_ARLw	87687	87972
ONOAIuMuw-s	83742	85028
jEy0wfkigL4	3624	3689
lM9_6eS0pjQ	124297	124482
KD8Uq9lu-DY	20656	21115
3klWO2ttpGQ	168606	169215
37v1PJqG06g	380834	381517
Z1Nv1VcsWeo	148629	154462
VIOT_9iW4dI	12906	13508
70JDd-Ywnio	301756	303517
vBJDPmTWP8o	13925	14024
qRlpAYJk1l8	22046	22283
XzZGOrCn0gQ	181755	182644
EPCJizoIeUI	52562	56482
m5AQeY7fHMk	33991	34233
F2QxQXq24w0	7949	7971
tgB1wUcmbbw	1679558	1681022
-eKdRrKotdI	63371	63926
8dtENCaJS04	19175	19266
jYCGBPCfooc	4488	4507
F0fMoqY9qI0	1044739	1051843
EKu5ui09v_Y	45304	48822
RdklEHhQ6Mo	7410	7501
zdUIpi3WC5s	360509	360890
uWRxfANFDBs	46188	46355
gIK7odsUAmU	38816	38856
abXTnZvqiUw	26921	26945
vclUlhFmvMQ	66495	66811
yAJ6NaUmK9E	81852	82085
mgfprTJbA14	109682	109839
Pcap7uFbhMg	7595	7715
tcSmm3rJikY	167743	168039
jeVqPpWlPxg	1273960	1347827
KQjVS3Q1NBo	45263	45630
Dvq42rnjncM	60284	60310
GH39qiQCGS0	3661	3745
tn79OFbPwKE	439349	442046
-JVOhHA5zZ8	28762	29369
namXTvyvLp0	47658	48660
3V5MMWOZYII	6526	6687
mInySYmzqCw	94853	94858
700muezPPJo	90976	91299
2fsENwn4-0w	23705	23732
deCIuMFNL-o	91037	94392
m69AzrmWoUw	11240	11585
8B0tr5P5oRM	61251	61770
G2WxWfhRTV8	32723	32735
1yuTJMFGxEw	271058	276013
p6QAMEdB_BM	161720	164818
7-zDYh5wDK0	167433	168800
cUbzWjNqtmo	12888	13092
UVfrBJs6rek	684138	685775
8xfSL0XLRtQ	260124	268563
DmQ4Dqxs0HI	241377	245186
MOifIuOhBiA	348661	348779
tCOaHMeZ6ow	153351	154390
pxqOWc_oTIU	20536	21162
BcAuyOPvfeg	22804	22836
K_LtyVVHaQo	69588	73190
p3VqrB4P_xc	42709	42755
06cWmc2Zpnk	109638	110336
C-7xXQ_iVRw	97159	99180
Pu3MkJMRQgU	22306	22618
3e38KSS6nRM	71004	71302
o6vs3eAOEuQ	57037	57291
pfdesdD0Ilc	138332	138707
rABoPDkj0h8	24347	24793
kJQ3FkvUB20	175931	176467
d-r9DUkIG3g	132815	133216
0Ki_9jyEV-M	27112	27791
oSwZ_BckDvc	120828	123987
Vkm5SpFfSiU	79545	80303
a8c7jmucS9w	175079	176066
yPy6LrpMooY	34517	34617
AE7WUH0yW2U	132689	132776
qWMBvQu2loQ	100193	100460
ONS31ND-L-k	20792	22266
0yCenSLpnaE	110389	110908
9lAayyOIAbk	25016	25707
GHJr7-c8fDE	174471	174560
TPRzwJ2G69o	21692	22048
eV9g92U7UG8	87259	88275
3gJFlG5SELg	31883	32442
lx011zFYIGU	186910	187215
GblO2b5cFtY	46513	46631
paIL5Y1DLTU	216355	217028
km3FFPUyMwQ	46863	47213
Tvva9IhMWfM	564752	582155
pQuk3t2aeBo	250122	252668
tvJwv-6oNOQ	38436	38746
kZdhnDmr0w4	69767	70297
_KyT0N4WPpM	75560	75635
KEfLQ7Nzhxs	28619	28811
PQLhTPEiYnM	131639	132179
7hPr9jYqMFk	26137	27042
jpzuZIWiTHs	54503	54912
kCV1Q4jHRzM	76382	79518
pud_w_uGJ_Q	23145	23374
_jd0sk81oMk	2290	2385
bKFwU1YsaPM	91039	91826
dcZ6bEUPWts	139942	140536
NzqSaojWqiI	157241	158665
DUqcrdEZopY	147063	149406
pRqkC0ApuDQ	91737	92663
nQZ6Z4cTZSE	66854	66966
EMOX0Uw-OPI	34726	35162
lJ8PdLpbcd8	89906	91246
0MsgDPuMo5Y	46559	47221
YUy0kKh7hP0	130555	130816
OJ2B4Fb7xQQ	167216	174440
KHOcTG2yCio	33567	33579
JTL_gtRccwE	56583	57769
OU6vjNuwShw	95756	96586
fA0F5q76bcw	543371	553172
j-56tTm3AXw	251622	253249
0LPqYF4_eE0	33694	33758
SSKeZ24uznY	33775	33792
8dJyRm2jJ-U	6165424	6234318
QuhmbYPWF_M	87213	87705
g9BOyC37JGU	224723	224791
iy95PRrxLT4	340407	341730
X10VFBZXEfU	40569	43481
lvFaOAG54pQ	94106	94215
mAg4Xxp8EiM	38780	39232
k5N4T9z3H7E	3847	3917
uxV1DBr9-vw	10509	10760
nemx2OFS4ks	89127	92536
_iz5_DuY_II	281516	290071
CKgfUtWthxc	93143	93186
D3e9jWnhO3k	116058	117469
Umb9rQitg28	72634	72976
PQwdAmsDhHk	38308	38433
NQcBdqGdAL4	58899	58933
7OPg-ksxZ4Y	202560	209599
7_aqktvtzkA	65562	65871
sol7_jEoBaY	27893	28169
bH-o5PlfpiY	67677	68878
3Yh_6_zItPU	306111	317332
qo7wfpDpztw	74999	76032
5cbRYtgChLA	176847	177962
KZz6LaZRCx0	21561	21632
AhdoMuZsAno	130928	131351
4H66pDhczzw	91942	92112
LkZIAQOK09I	39662	39686
7i8hdRsgk3Q	489340	503539
3kItbrHHVO8	298090	298215
-XomWbwVMbE	46747	46765
ONj9cvHCado	459311	466088
n1DQhN2NclY	79670	80423
rmpTkRnvMyM	338273	338189
UnlQUWNSkUo	170604	171716
PqWq9Qt7rFY	140495	141850
fOLGNmnx0X8	49922	50703
fFMmitI1Eys	87691	89941
1pfIE0YjN1o	1521	1522
ohiHK68eXm8	12996	13013
HedgYwewMQA	146974	147321
ZkqNZ_HkGiU	16615	17004
qmW-4x95vqY	51301	51362
DO6VQivFGMU	76657	76682
S68INR5y4LU	5624	5649
RBhM4lYUSPg	71286	72094
Ty-Xz6JxZs4	74510	74833
RGlrT07yaSo	23259	23312
UroUs8Z_6Fk	18149	18431
Ic3FfrrH1Gg	36048	36646
RUzuxuGPkYc	98466	99260
-trzyJWGHnw	39684	40608
mhHcdI7utBI	2062	2376
uTJdrKELUKs	111196	111618
Dj9GUBkuscA	555888	559456
hQf1YCt8uG4	2206	2231
2USEAgSMkIY	5028	5426
