r4Cb5nj4VgI	2029	2089	2234
XdUoiEVccdo	11462	11746	12559
OrJ4rPSlrlI	56415	58679	65730
z3vJM8AOvvQ	676	677	682
2RguRRYnqlU	7235	7249	7295
3MCr2hsmLBE	1943	1992	2178
7cK1a9C7nlg	239415	250174	275647
HzKJeQIX78k	1113	1160	1272
KvbrhBGeQss	4297	4329	4390
_A6QcoZwRpI	25064	25604	26689
Vcwhe0pY4Bg	88983	90134	94381
a_0PSZ2S_yw	213525	215193	220411
lxZJqTudlf8	24430	24582	24908
QO7e_RiMVQg	542515	543880	548585
FcmUNlgld74	163947	165615	171449
3Nv99SKbpKU	7698	7736	7794
z2JmKR_STSw	538488	538629	539010
OpOvMwkGL18	87188	121385	163896
DDY6KjQCMoQ	161996	162887	165110
Im9bpJY_NRs	16199	16431	16949
M3iYFWMATyg	2292	2339	2463
jVn_rRlP29w	14869	15145	15636
DxJNeHoCl9M	4424	4455	4479
2J9pXnhQJqM	6594	6851	7494
DgyBl_gexIM	14028	14056	14143
oI_X2cMHNe0	212527	215534	222946
CTQ0TYi5_CE	1463	1497	1543
eV_Ki30MDDA	820940	829907	873050
I1KoMDjBGFw	4558	4592	4747
_fpxCuorKjA	66940	70608	80955
xS68bBDwRXg	18881	18992	19223
V231U4jWvDY	1606	1683	1847
gRl0LJyG92Q	22482	23683	24638
FIRQSAwF0bI	551911	606708	848229
QmUuITayBSY	2817	2964	3253
zQDDKSzdD14	24000	24079	24284
Hpv4f6NuAqw	30992	31190	31635
coazyyuVn8Q	776	796	835
JyXpzxRr_T0	64716	66802	73142
j-AoXqu9EUo	6340	6858	7785
_dpIwwI86ss	26135	26221	26387
P6Ps7MYB2bI	11913	12432	13728
C37nK27J70U	33208	36479	43911
EsSsgFzMVwI	3289	3301	3316
tgB1wUcmbbw	1679544	1681015	1687284
URwwo3xyFQA	69904	70655	72646
iBRvV0MMY28	342	378	402
S7oMM6o96UU	148939	150205	156614
F0fMoqY9qI0	1044685	1051779	1062309
3SpV9KhFkDo	1199	1217	1274
W-ZTiWVFlzU	18101	18269	18742
YWyouWrkbwg	1313	1338	1374
TUbq7dOIWfc	3247	3293	3379
ofzAHuarLQQ	27062	27192	27689
E3j8JJxoNZM	2988	3320	3592
-tRyveYrHWc	7635	7820	8311
8G01PAw2SdY	3816	3988	4230
jeVqPpWlPxg	1272739	1347516	1682971
FfsjGlFNb6k	5836	5876	6031
-KKBtdYW9Uc	8352	8363	8322
V7xkf4EIyys	4749	4852	5050
o2uWu55clG8	31303	31452	31715
BcZutcrwspM	9691	9712	9776
tn79OFbPwKE	439325	442019	452252
iH8mWNKM8xU	None	None	None
rjKuq25a0L8	5905	5965	6173
RirNNYeHfBc	22658	22791	23089
eBe4TySsONo	19065	19147	19308
0HPKKFugajE	135147	136085	138654
1yuTJMFGxEw	271013	275979	285657
8TF1lDvl8To	5866	6237	6799
m77uOIO8oZc	2764	2805	2866
nWvCC170AhQ	9157	9209	9326
zPOYkJsrewU	155134	156888	161646
oF0tQiRA_Po	15829	15893	16046
cUbzWjNqtmo	12882	13089	13420
OPLNn0EWRak	6294	6344	6469
8xfSL0XLRtQ	260059	268450	294538
DmQ4Dqxs0HI	241348	245141	255537
TYAPatpXmYU	1439	1440	1452
t0A9T9odIng	5203	5326	5764
4vbDFu0PUew	989019	1006649	1071383
W6aKUbzrf7Q	4874	4891	4933
-b7l4TmWMQg	100225	101480	106055
4DzpgwcGM-A	15339	15465	15852
0_E-aG_bISM	7376	8483	9328
iE3G6JwkSzM	9554	9597	9698
xmGetpBKsJM	6268	6287	6338
QZ3pBoEAFmo	5199	5220	5270
vL0yww9nk9o	127664	127819	128299
CU-gFup1N6g	10153	10182	10280
QGae78sWVSw	58864	63805	74836
kJQ3FkvUB20	175927	176466	177758
mkH7rVb6V68	226770	227059	227553
oSwZ_BckDvc	120772	123968	132981
v17J6GbtvKY	99593	99794	100447
llWDmKfTf4Q	327	328	345
AQbmpecxS2w	45037	47249	52386
p6sCsOdqXQw	81057	82079	85007
Z_MvkyuOJgk	446309	451253	465266
AGdN0M3qvRQ	33622	33726	33913
C99p_XDjnzM	3816	3827	3841
EMENtBGB2oI	4379	4521	4892
yvMFw-RPw24	1837	1932	2119
AMt2USIyHxo	None	None	None
7JYWvFXxrtc	926	939	943
