zyNUr4LWfoc	361833	364826	376573
OrJ4rPSlrlI	56434	58699	65745
aNasBtbOsQA	51093	51665	52929
hD1YtmKXNb4	2559495	2569943	2609187
1cB5JZcosr4	27638	28579	31934
JktwRXYTDYc	249733	250447	253810
WGwjBfi7b0I	451421	452662	456085
PhJ0FaLdzSs	15538	15631	15858
jvsDRB2GmmQ	2924	2930	2943
kYkGsXiRl1w	57612	57922	58666
4X16Iw5ST4Q	131099	132038	135164
7cK1a9C7nlg	239496	250233	275671
RmP93yzx82k	932	1042	1150
TGmteJjCBhQ	14803	17777	24399
a_0PSZ2S_yw	213540	215209	220418
9Q71C4IsbZE	65817	66737	68767
S_nyiXUMzdc	260131	262901	269315
vPdDYqQHgCQ	50650	50724	50984
9qRxNYuR2c4	38609	44115	60893
QO7e_RiMVQg	542526	543886	548590
FcmUNlgld74	163962	165629	171459
wls4sJFKWoE	1827	1847	1898
ujcsE0iXMH8	27202	27432	28610
z2JmKR_STSw	538489	538629	539013
hJMmweWlDL0	145638	146095	147645
f2Tn9_Q-si4	9529	10477	13459
OpOvMwkGL18	87475	121620	163936
DDY6KjQCMoQ	162002	162890	165115
ZkzNAhppysE	68689	71580	80746
3EPWJEdDkFc	93628	94042	95660
Ipv_LWcdfC0	99274	99505	100135
gRDJH0ba64c	31283	31944	33320
oI_X2cMHNe0	212553	215557	222956
eV_Ki30MDDA	820992	829981	873083
TkTaadb9GmM	239979	240855	243764
gRl0LJyG92Q	22497	23685	24638
FIRQSAwF0bI	552280	607262	848589
bG19b06NG_w	38970	40250	45747
_dpIwwI86ss	26136	26221	26387
wGvO8b-tiaM	111959	115892	120279
XzZGOrCn0gQ	181755	182641	186350
Z1Nv1VcsWeo	148609	154445	164121
tgB1wUcmbbw	1679553	1681021	1687297
vBJDPmTWP8o	13924	14024	14444
ACc_TqqRtxw	251795	255247	309025
ojv92-lmwko	14616	14739	15534
F0fMoqY9qI0	1044723	1051825	1062329
b4F0YBnVdno	30329	30353	30432
yrj9OzuI-RU	2534	2535	2540
tcSmm3rJikY	167740	168039	168822
jeVqPpWlPxg	1273596	1347730	1683148
-KKBtdYW9Uc	8352	8363	8322
3C44FKPNTwg	30216	30805	32046
LEskwxhMZLU	1458	1475	1494
A_Th5L5iTd0	3434	3453	3508
tn79OFbPwKE	439341	442036	452256
iH8mWNKM8xU	None	None	None
exMTvet57Ew	59559	60724	64042
yb4kLSp-Us8	72285	73529	76870
0HPKKFugajE	135148	136091	138660
