fHdU-gzkl-I	2288	2359	2534
_LzE_yWxdqo	456591	461160	462455
kdnoxh8vjLo	10726	11758	13067
760xRU26YNM	14113	14895	15377
ZF6ILkIzyFo	18389	18585	18991
d0oK0XipfTU	6616	6670	6757
tP0MvwnQr3U	57629	58241	59508
rEx-A26tJ58	4515	4646	4915
WJojnQkITtg	3880	4184	4611
tfCTOaou8IU	944	950	973
t4-Vf6L63Js	272660	279888	307145
mjtTXlIYnbw	848	857	878
Fw8ZJCRK-sY	5680	5751	5834
D-Im2mB8btQ	None	None	None
JrrHWYu81iI	8219	8553	8877
-EnO5IHKDmE	5643	5911	6239
JzTsOwl1nJQ	876	878	888
bFFxJS9Qjnw	13490	15308	16538
ETmC5qZIQX8	22431	23405	24319
LJenGtkGLeY	27106	27377	27994
xQwQojn9Dcw	5441	5613	5949
vDHHdq6Cvd0	25346	25802	26601
v-PP9dk4DDg	1301	1317	1350
nT3e7zwZJsU	17789	17958	18404
cDV5sVNDDck	858	879	915
Q2UIgJfTBOU	34379	34509	34757
rlt4IQQITlY	1093	1096	1102
oAyRl0bWRFY	4615	4609	4583
sQCof2oeUbA	25532	25765	26284
kB12Q0NU7rA	7115	8152	9293
9cWTQPctB_M	4875	4875	4840
VMbFg7z7VpI	3019	3503	4184
GmPWPuZp1sA	1679	2125	2716
gRl0LJyG92Q	22498	23685	24638
R3GjmkuWuuQ	8011	8221	8589
nVeM3AOY2hM	2904	3032	3380
KAyvp4FTFUQ	12662	12811	13181
bzuDEtAjBPQ	1491	1515	1547
pz14QTJrito	5934	6062	6228
kA81LzzdDGw	126034	144962	161899
7zq34_ZGsqY	4221	4363	4532
IajEJAOpbzI	3081	3102	3166
BH1XO-lbgw4	7897	7909	7934
Q0ROOgIWc04	30693	31543	32736
1M9A2LwmCYo	5603	5646	5737
CA7_BMEJz3U	2484	2559	2711
FIBaJilCGL0	8546	8608	8676
m9gUuGqHsFs	61320	63108	66388
F0fMoqY9qI0	1044728	1051831	1062332
NbH10unWiV8	6437	6795	7342
cQFin1k1hQ4	19758	19821	19946
_-UT5mrGtb4	16780	17279	17747
rJmFVWGkgxA	3703	3757	3895
GxkcwtT4bh0	19026	19094	19234
MFexmKGDr08	20535	21133	22516
MFJXVifOwJM	7300	7389	7520
jeVqPpWlPxg	1273725	1347764	1683185
44eiT--RN6U	9926	11170	12933
pqvwYlaefP8	11087	13769	15801
UdUL92O17kE	10169	10354	10710
iH8mWNKM8xU	None	None	None
d8jHBC7KUKw	1637	1892	2117
cNVgMk2oLQ4	49479	49957	51091
Ug-xUfLIivE	1733	1823	1902
FtYkJe9w4eo	3728	3790	3881
7ML5HuZDtw8	4305	4313	4340
FXg1DGfgIq4	21275	21427	21674
G_sXw-9s83Y	9698	10267	10996
LwLaJbNOqYU	77245	79009	83042
QTdaJHXS8rQ	5021	5226	5571
tw0gG3NV9YE	4907	5025	5229
TyAmmAA7hQc	6473	6569	6769
1yuTJMFGxEw	271052	276002	285676
0gAfB8YGQlQ	6108	6190	6368
may0wSpC5X0	3925	4536	5146
