_LzE_yWxdqo	456558	461159	462454
SFQzjHRutGk	25309	31523	31952
ZgmQBtQSyB8	9167	9217	9343
uC7A1jtbC6k	6343	6531	6974
bf3R9J-Uv7g	558	602	696
Im-hm_i_1qc	10148	10647	11054
66DH_mrLpIs	2397	2578	2916
gSva10cuutQ	432303	439468	464136
jjY3LDm7AQw	130745	135951	145052
6vvQ40PcO3g	8360	8519	8838
W53teWfNYaw	9675	9788	9979
acMC7bTVcY8	705328	753348	843642
QFwhndKTp00	12191	12360	12880
cI3wnPlMZM4	49855	55110	61876
Mc0OOzZysWg	17157	17561	18261
JQ5ms_kurOo	40229	40332	40513
1PUWh-mKR24	38537	39747	40546
sVE18ZdFtPM	1528	1531	1536
ZkzNAhppysE	68679	71570	80740
iur_YCiB8oQ	73911	74965	76615
_HYse_HYnuk	870487	972410	1198749
rykvx_7A9ng	26222	26608	27139
At7t-CQxHhk	20052	20517	21373
ailM6Ng_IZQ	20409	21865	23966
kdQDQt0O4Kg	383649	428423	577649
XDuOgDPzEkg	6954	7211	7569
Ry49WApue_I	7242	7361	7544
9jM0OVr-3Pc	60132	74031	80000
i9bhlUVpdwo	2860	2964	3274
na_nh-X9Dpk	21954	22244	22716
M9cNOGa4ifs	21134	21420	22008
U1Ongg-yIJA	11818	12033	12775
o3iK8dddwk0	14680	14760	14958
KqdhVsJFTjc	3917	4058	4345
TJUc383m6vU	594	602	612
8FNoU6SSH4U	7347	7495	7743
gBnxOrkUdjo	5671	5815	6246
2U5Chbmezyc	595	635	652
-GdsTMYlJFw	37125	37383	37984
4UYvpqdjGp0	3827	3830	3843
67ckhsQBfFI	8499	8705	9135
VXekXerk2Dw	15496	16178	17468
A46niA2hTMg	10016	10217	10663
B9jHebXX42w	11874	11979	12172
dNeeOxNsEFU	25894	26659	28410
WU90IkOrOp4	556952	567081	589397
ksob67eYYec	6685	6807	7025
bgtH19Pbxbg	5512	5525	5546
-QQVnKd4Bjo	48200	48952	50673
FdeiAC2v63g	5595	5737	5944
0FhYJVb6nkU	11419	11731	12648
Csk6vJSLIJM	12196	12541	13192
Rs_Xy1oM_p8	1915	1949	2059
mFwblHSOxpk	5991	6052	6162
5KmSplj5Hk4	5639	5651	5688
inhOyCcKGAE	41107	46632	67390
kVRg9Jy0vfc	20703	21068	21354
tKavNsvJpV4	821375	832396	865560
26hQZL-H0SQ	2165	2176	2198
WPh9FJYOtfk	137967	142044	154348
9wOdmZepV0E	17372	24173	31293
y6LUximnJss	12812	13464	14283
jeVqPpWlPxg	1273194	1347636	1683069
PvjZMbrap3c	5502	5780	6111
Da5TZFthUTs	78986	80198	82221
EWHfajOgtOo	10970	11088	11282
aM1q_PNndiA	578040	601854	643324
Eb8t_xXhncA	7492	7676	8073
X6XIbnVr9i4	42240	43402	45465
4wKKmFq8DOg	9938	9990	10061
n4QcpdBolCs	17647	17850	18522
SVp_EA3-HfI	5604	5864	6585
Nos6Lu6CL0s	7823	7920	8160
JpmMthY5JlQ	107468	109541	113312
PUpJDOrVtj8	1844	1902	1973
BFUoULVtk7Y	43018	44587	49910
j8eiLQJv-YU	8187	8338	8543
erChLfxbQgw	12168	13284	16032
e1m_aAczllM	5885	5933	6024
4vbDFu0PUew	989120	1006696	1071446
_HsA1vrxeqA	2096	2133	2256
-eTEvY5uiuM	17590	18147	20202
zNOdKDPCh5w	22732	23015	23680
9Zn9nfraQMU	199123	202124	211071
iMvW-WrFG-Y	8533	9625	10830
8ShFZG2Zohs	7684	7818	8108
8MxJTQ-Gnn4	47111	48848	51501
yAdSvhMBsVQ	1480	1482	1487
kJQ3FkvUB20	175929	176467	177760
I5LExpnsCjc	779	784	797
pHUByOKI-QE	11277	11637	12991
fbamORwTcsE	3713	3812	4135
X1q2OmxPwRo	44045	45625	48444
yhATJh9niXk	72345	73452	74522
ls1wj-9t3yI	2821	2860	2885
