M1DIfhAzsWA	69863	70614	71593
SUwKZfzqxHo	19121	19278	20140
q-Z4ks7N9lA	1075	1103	1167
iJLPcmKqJl0	42107	42591	43632
RM5UOyi8W9g	58540	58642	58818
bKHCTG_nwoU	109532	110879	113286
RqMxClvspj8	48397	48496	48324
btOCT2xcdmA	71929	72090	72550
oekocb7Boik	183942	184859	187176
AeNvZiUFBiQ	36868	36911	36996
t4-Vf6L63Js	272666	279891	307145
dTA54srFoI4	136882	138504	141421
kKREoXVEA_8	83517	83768	84277
z2JmKR_STSw	538490	538629	539013
W-bDXp11_yU	289	298	343
zy_bIL9W8EA	8773	8829	8901
Q5dqdK_oCDY	72689	73424	75068
mhgTPzD7thY	2177	2184	2222
TI1PiPdj-sU	73365	73826	74827
gYEGn1PPIV4	118300	122664	128493
-KVZuN2q0Bc	34818	36281	38773
7RExzRrH4Wg	38653	38837	39390
u6Bt1kEeewA	9974	9971	9971
8jcSjhTnSsM	23758	24011	24636
3klWO2ttpGQ	168605	169215	170646
VIOT_9iW4dI	12905	13507	15809
gSTr4fKD71I	18847	19707	22387
70JDd-Ywnio	301755	303517	307294
Shgz5SkFqH4	37742	38788	41159
-eKdRrKotdI	63371	63925	65145
N_BOMV45mDY	22047	22674	24129
7sC1dBws9L0	206620	224681	276399
8G2jppE4rgo	5683	6040	6619
fVzrPxAP2-k	108144	108231	108596
iVLHSUR8HD8	64699	66162	70242
uWRxfANFDBs	46189	46355	46292
IDLvZRlsqEM	32236	32400	33068
Ousbm87IVRY	50841	53948	62372
vclUlhFmvMQ	66495	66811	67384
Nx-FaOdPkeI	107980	108616	115206
KQjVS3Q1NBo	45262	45630	46250
yDEoKxx1bLI	517346	554096	602944
e2IEBQdsDYs	3717	3718	3720
lho_M2NyHvk	24935	26489	30746
2O6P40DQwl0	32077	32229	32363
namXTvyvLp0	47657	48658	50124
qIUY_P1m0kc	3978	4032	4136
3V5MMWOZYII	6526	6687	6995
lB54llAdWsI	3939	3956	3995
LwLaJbNOqYU	77245	79011	83042
2fsENwn4-0w	23705	23732	23754
deCIuMFNL-o	91035	94390	102469
QPB3PA3IUzY	139156	152083	173800
jc1fTjYV7t0	12844	13065	13673
lhE0Kk9z6yc	7609	7997	8841
SED75FEsCf0	23473	23594	23984
8B0tr5P5oRM	61249	61769	62708
1yuTJMFGxEw	271053	276008	285677
7-zDYh5wDK0	167431	168798	171032
znNMvMrRYJ8	187505	191116	201691
ebDmJ8FLJPc	12430	12795	14003
MOifIuOhBiA	348661	348779	348036
GX6T2c6QH4Q	301257	304248	318592
pxqOWc_oTIU	20536	21162	21666
BcAuyOPvfeg	22804	22836	22875
I0yZqpRVLPk	51317	51957	53317
06cWmc2Zpnk	109638	110336	111655
6kQqrDVRvk0	8609	9693	10343
82vLVtE6hEo	12572	13055	14372
C-7xXQ_iVRw	97155	99177	100852
g75kp76QZpI	33694	33805	34129
z9Va7cyv3d4	25969	26072	26160
Pu3MkJMRQgU	22307	22618	23360
fRuiEv3JRDQ	229927	230681	234100
HinJX54QBeY	5238	5466	5920
kJQ3FkvUB20	175930	176467	177762
WWX5frOy_f0	23571	23756	24238
0Ki_9jyEV-M	27110	27790	28355
a8c7jmucS9w	175079	176066	179100
Vkm5SpFfSiU	79545	80302	82009
YtjORciHwIA	14593	15156	15895
LFO4DLKD7NM	168347	192829	256555
P5Rpj4CEhBo	36694	37311	38652
GHJr7-c8fDE	174471	174560	174809
w_35YzW2bx4	28157	28288	28517
YTFBiKHc6cI	5043	5220	5545
eV9g92U7UG8	87257	88275	90584
XLxVPwpavJE	35501	35761	36191
C4hedi1lqpg	4897	5015	7315
lx011zFYIGU	186910	187214	187872
gcP7_FDNGaY	117355	117660	118287
BdQIILQz88k	18667	21947	28560
NjOLQBjXlj0	1101	1102	1094
LfdsJyIw3CU	8985	9414	10352
x-rGEEJmEz4	66219	67157	68012
Tvva9IhMWfM	564731	582136	610460
iLlCvDyQP1s	46141	46312	46302
tvJwv-6oNOQ	38436	38746	40395
5aZS5f3oDy0	3555	3563	3571
k-Ed6aMcVQY	4638	4651	4670
qYE8NxymMIk	9211	10150	13557
BJNcoHVuXZw	53883	55224	58367
cKmvL1Hta6A	37464	37916	38143
ZfgaLb7lJyE	69530	70384	72752
MRF4Qqj9WAg	3079	3200	3426
u4-KK2Qebsc	11890	12175	13516
zjka-AfYujk	25525	25582	25744
_jd0sk81oMk	2290	2385	2609
xNgxUVpV1hA	1181800	1225766	1421202
bmNjBghO1ls	22289	22321	22466
v1QiAu2_at4	33019	35271	40545
kqcd6n3UI_E	65994	69026	70496
pRqkC0ApuDQ	91736	92663	94537
BzQlUfRFLlE	108307	111004	115435
HEnmB2WnGQs	688	695	731
GX6Xn7TD2zM	677063	683249	701492
NzqSaojWqiI	157238	158664	161597
OJ2B4Fb7xQQ	167205	174431	193345
-s4mSqdfW4g	120138	122810	126456
-MawZgUZaAg	111305	113764	116847
JTL_gtRccwE	56581	57768	59282
-IH8kA5ItfI	119314	120690	123227
fA0F5q76bcw	543354	553169	565300
0LPqYF4_eE0	33694	33758	33891
j-56tTm3AXw	251621	253247	256046
x-ud5Y1-21Y	39341	39453	39829
0zWcV8ZCJyM	23002	23607	25181
4fPi0kFryLI	8742	9818	11496
8LnNUyjzo7g	56108	56174	56290
06R0CTwUQCg	1203	1203	1205
8dJyRm2jJ-U	6165338	6234238	6476897
-6wb_BBc6Xw	58775	59379	60752
X10VFBZXEfU	40563	43479	47228
oGvmMITObLg	1040	1056	1121
F8a3ZLRGvjA	92885	93146	93723
k5N4T9z3H7E	3846	3917	4096
eZslMJsyKdw	86769	87893	90229
-kXd2z_rH-Q	382944	386816	395255
YpasO7KKg4c	14352	14462	15155
RlA3WiUtXio	91510	93003	97566
nemx2OFS4ks	89119	92533	97377
X2zLRkl2XE4	42378	42447	42616
qctGCgOk3wE	25875	25955	26215
05SS82pTpUY	23892	24031	24476
D3e9jWnhO3k	116058	117469	125053
emBypaZ1FvM	28219	28653	29487
7_aqktvtzkA	65562	65870	66344
MxuS3V16QLs	27346	27498	27887
XpaUkndm85k	65827	69407	77814
sol7_jEoBaY	27893	28169	28886
R0CqhiMQ2NM	73241	76827	85863
bH-o5PlfpiY	67676	68877	74098
GRc9RPm1p6U	24394	25314	26882
5cbRYtgChLA	176846	177962	180417
_XgWdxyBmB4	89998	90373	91560
AhdoMuZsAno	130928	131351	132160
LkZIAQOK09I	39662	39686	39749
9Jr2dCEMxis	74035	74743	76573
m5Y6cDZwgD4	16976	17096	17520
7i8hdRsgk3Q	489314	503535	532503
-XomWbwVMbE	46747	46765	46844
pPBJwcdLRYQ	1298	1308	1322
8h2SDGhicbA	4392	4392	4390
llzV_hQod-I	5206	5481	6271
ONj9cvHCado	459305	466079	483104
1Uf6AhLspz0	11898	11909	11920
rmpTkRnvMyM	338273	338189	337983
UnlQUWNSkUo	170603	171714	174089
FFEFpbStPUI	16438	16963	18665
PqWq9Qt7rFY	140492	141850	144849
xTXA_CtXoFA	29971	30374	31005
fFMmitI1Eys	87691	89937	92016
x4thtOGfGqo	11192	11220	11236
EdYvhHtPYTw	6943	7135	7666
2U3-O5s4mlQ	90234	92084	96354
qmW-4x95vqY	51301	51362	51505
S68INR5y4LU	5624	5649	5721
RBhM4lYUSPg	71285	72094	73599
XP03OS2bMbQ	19962	20303	20969
V5eYA3_grd8	4842	4929	5104
Ic3FfrrH1Gg	36048	36646	38300
RUzuxuGPkYc	98466	99258	100755
-trzyJWGHnw	39684	40607	42173
mhHcdI7utBI	2061	2375	2909
Dj9GUBkuscA	555881	559454	564770
lQJ-tHsottA	27877	28110	28508
EyLvXpf5jR0	11342	11395	11511
s5mTi5J5wwM	11896	12084	12387
_kGN2OJ7BHA	22094	23169	26093
4mk6A72bNus	18039	18079	18196
