zyNUr4LWfoc	10692900	10829458	11429492	11722448
73z14uurwO8	348359	354157	369985	374785
nOL7AAlBNWE	153122	158754	176677	186359
1bLg0XAmkT0	45786	46689	48967	49974
HcYkm5HMO-Y	121723	126252	135575	139982
OJiBxSe4pfU	17657	18469	20453	21457
-d8rwuG4l3Q	216498	224401	244171	251452
7cK1a9C7nlg	4605551	4923592	6215518	6823513
irmjkT-cu9I	2700168	2830141	3148891	3283435
_A6QcoZwRpI	450325	461352	487565	509236
a_0PSZ2S_yw	3581123	3619942	3783481	3855332
acMC7bTVcY8	3498898	3912171	4876184	5299822
QO7e_RiMVQg	11845553	11897193	12130393	12272259
FcmUNlgld74	11556546	11689985	12204305	12421970
3Nv99SKbpKU	409302	415453	430145	442358
NFGKkYjjsyI	2487454	2491295	2504668	2513202
z2JmKR_STSw	10442081	10450237	10475080	10492849
tzfRQrrAliU	293192	295107	299452	301316
DDY6KjQCMoQ	10243159	11039644	14910813	16345118
Im9bpJY_NRs	351802	360685	384886	397383
jVn_rRlP29w	223525	230348	244137	250117
V7lHNwP3pes	1571263	1627126	1797412	1878992
mc8s_H028VI	2020702	2074273	2221581	2291681
zLUV7_cvGWs	1681037	1682757	1688447	1691826
oI_X2cMHNe0	4133837	4199819	4443223	4542714
4TcXhZZM9ss	1060457	1101236	1212361	1267201
aTTRT41kKRk	522097	581103	695744	789164
TkTaadb9GmM	16365488	16439151	16729140	16836203
S0NjsRuxguQ	2230136	2247699	2299672	2326680
eV_Ki30MDDA	8627826	8713709	9246182	9572402
lf5xz9OcB4I	64878	65105	65488	65649
V231U4jWvDY	85192	91919	114831	127637
DmKpePzn5-c	19407980	19476026	19766995	19985533
9KTbxKz8VXI	1118561	1200496	1490585	1616882
Pym_mBhBin4	1553669	1567087	1603749	1622236
Hpv4f6NuAqw	558349	565457	584358	593989
0ob5Cxk_R-I	1190648	1238173	1350902	1393080
JfA5jerg6Jo	490691	498121	528107	540600
m_jpfxJz04I	2672101	2733157	2893857	3013166
kA81LzzdDGw	2576643	3367902	4259346	4696591
xNZLnGcSZm0	323636	327735	342593	349024
P6Ps7MYB2bI	823091	862733	990936	1036104
_dpIwwI86ss	1899314	1908316	1933802	1941704
V4jE96BAOtE	94736	97449	107503	115497
nY3Pqhs_Jbs	2863496	2926436	3107839	3186948
EsSsgFzMVwI	321614	322646	325029	325974
q0qPsBvRRL8	1090314	1112267	1190322	1240042
N9Bkt5LYtDs	715258	722145	743351	746801
ITQ6spSMC38	2039723	2040217	2040474	2041321
mmuMv4d6ZQE	1775909	1844000	2065404	2199224
tgB1wUcmbbw	36651488	36723595	37082413	37344795
IsFpeXZTWao	263352	278927	336453	388146
NmX1N2p_UUI	136164	141173	155203	163143
U18_SflSX2o	779791	783050	789778	793313
vWQLeWxqVoM	1578870	1588161	1624876	1641406
F0fMoqY9qI0	11347879	11402408	11512599	11563398
Jrlrf7SO2e4	645110	652027	669593	676576
ofzAHuarLQQ	371005	374533	386262	395117
v74W5Httipk	247129	252757	270322	280588
9wOdmZepV0E	672096	1137673	1886297	2141677
XGQIQVsgAQw	487108	492861	507349	515383
uGzDKU7gxho	2328062	2433533	2446565	2448638
8G01PAw2SdY	68322	72600	80339	85742
GkvuazSkBoI	1749228	1788430	1888027	1935106
r4L9EzvQmfw	652066	656426	670781	680048
jeVqPpWlPxg	5281368	5871921	6883185	7346701
pqnSZjwlYKY	1150171	1187384	1357098	1511811
-KKBtdYW9Uc	1154326	1158859	1178326	1181299
FfsjGlFNb6k	121994	123599	128783	131683
gOx-3yEYrFA	3438266	3457414	3541461	3601299
V7xkf4EIyys	135078	142426	157896	163547
LP_670OTBN8	997446	1000699	1010482	1017024
o2uWu55clG8	629012	633694	646531	653918
tn79OFbPwKE	14762939	14901398	15558613	15925214
iH8mWNKM8xU	2012873	2705990	4039625	4519148
rjKuq25a0L8	68568	69973	73641	76207
XH0ETI9URE0	2387544	2412190	2465271	2487783
RirNNYeHfBc	816617	827363	857914	875589
eBe4TySsONo	736935	741317	753263	759098
8TF1lDvl8To	171912	182048	226114	250585
QlZjtudjVD0	6093362	6110469	6153005	6169482
SyOi8mFnmlk	257993	260345	265873	268861
oF0tQiRA_Po	429321	431489	436834	440103
cUbzWjNqtmo	2123820	2186328	2288302	2311883
DmQ4Dqxs0HI	3435475	3505836	3817905	3996139
