XdUoiEVccdo	1000813	1031430	1148979	1217544	1290548	1322105	1337236	1373845	1383036	1402682
hse_g-YZ754	3720415	3745104	3822597	3843508	3868320	3880000	3902999	3969238	3987517	4069378
-PPoe9b2iCo	156179	162799	178623	187021	194825	198082	200151	205438	207290	211220
iny16wsspZk	347289	361438	377976	385656	392718	396892	398153	400389	401109	402327
URnqWj-kJlE	62647	65080	75993	81534	86806	90153	91425	95118	95871	98387
FxTk7YRp3FE	66650	67765	71319	73662	76037	77152	77646	78986	79328	80043
f69ICbKFKak	87252	97957	118533	139173	177906	200659	208713	228754	237848	265467
eOhcZ-CupVE	285522	344931	411632	430729	459675	476800	484719	503992	509990	519424
3QbGg8G7wE8	383140	400583	424508	434824	439863	441745	442308	444000	444377	445088
y6L2HPhuGSg	1620596	2146546	2458980	2515612	2545346	2556867	2566108	2586408	2592743	2604200
9Q71C4IsbZE	694881	706120	742670	758231	772572	781372	785130	796363	798540	804443
cvgbMpKjtks	365943	396360	448272	473060	507394	531198	549883	596997	606367	626913
a_0PSZ2S_yw	3581123	3619926	3783091	3855332	3933385	4003169	4029204	4126174	4142936	4193171
Hrckugg1uWQ	278771	286431	302793	309942	321193	329336	331933	336969	338020	340844
yf--HfbV2Is	196248	199338	203176	204501	205707	206235	206554	207155	207302	207640
ZTFWZJHuZQE	50786	54395	65878	72245	77314	80502	81886	86168	86928	89401
B5T0RHIcT_Y	234790	241728	257705	265587	273192	277353	280133	286569	288150	291327
kT_x7qxQuac	214457	225575	243346	250691	258591	261973	263948	268542	269781	273321
z_CroYdSTwM	239284	249708	299073	306183	313394	317036	318718	323011	323850	326407
wWWD-gpfIqg	227845	232624	242213	246589	250553	252533	253834	256632	257447	259253
67F4wWCUKTY	289527	352806	455269	486266	518274	532424	538362	553969	556710	562878
CMWLX0KXwF4	425225	523176	837546	1010628	1187953	1314239	1383287	1570947	1610979	1716241
T2OSS9mX8Io	178342	244150	301397	321016	337277	347190	353384	364595	368120	375206
r5n1GCY-nYQ	5617080	6177203	8033681	9063969	9736027	10031884	10177737	10623377	10743479	11119371
DDY6KjQCMoQ	10243159	11039644	14910813	16345118	20066168	21178548	21295911	21442254	21490657	21570577
-lYheij1EtI	252805	271950	288328	304546	320411	329781	333476	340210	342483	347173
NFUW6Vj3z_I	76568	83888	104856	114450	123507	128195	130797	142496	144344	148361
ZkzNAhppysE	2174274	2288758	2779016	3102735	3391325	3533558	3582761	3714469	3744737	3808612
8G1VS70BdU8	197584	203107	223173	232108	240231	244134	246363	252175	253796	258026
2J9pXnhQJqM	325462	342618	399326	423353	439370	446778	450123	456387	457639	460215
oI_X2cMHNe0	4133837	4199819	4442547	4542714	4659940	4725895	4755708	4864635	4884380	4937723
_fpxCuorKjA	3211576	3396728	4146290	4358192	4535490	4654996	4704986	4851022	4875721	4949936
mL_WNsw8Wdg	257047	257997	260709	262008	263312	264169	264684	266066	266813	268019
6fPj6mj-M_k	1088520	1105364	1158164	1180813	1207467	1223639	1230778	1253252	1260511	1275948
VCHk9zoFIr8	3366895	4195740	7919988	10117014	11545848	12674817	13010313	13124069	13140985	13184489
VWRh7mSO0dA	153089	161347	178945	188753	197131	201970	204776	211462	213076	216443
tRDblFJlcb8	65909	69631	77781	84701	89656	93941	96196	100510	102034	105214
xcjPuh9qFzA	142540	145953	154028	158579	162241	163858	165093	167316	168114	169760
tmZEiRqbDpM	644895	661368	696764	723053	743189	752809	756882	765437	768215	774307
zY3mKI1XFKM	1300706	1306862	1335705	1339372	1342082	1343285	1343955	1345569	1345940	1347086
JyXpzxRr_T0	684876	706978	807258	865898	932432	973212	992727	1061646	1075313	1114859
AoOLVyilwfc	113842	117020	125720	131293	136195	139015	140388	143408	144499	146717
Q_wdABahpCM	100224	106319	121276	132363	146857	156736	164087	182186	188276	201825
P6Ps7MYB2bI	823091	862733	990936	1036104	1055902	1071251	1072073	1092518	1097817	1109739
x-rA2Jrnuz8	158339	159855	163398	165279	167230	168434	169051	171249	171917	173137
1KHiwwmusaE	527864	534433	548659	556805	565784	570535	573239	579408	580856	583766
U6vFqjTVYOU	45085	49353	59314	63432	66957	69159	70189	72605	73330	74861
vPHbooOJVQA	141710	148586	163675	170781	176440	179488	181563	185483	186988	192482
SpV7VPoTzF8	962120	1009251	1160736	1243300	1320936	1378811	1418619	1515284	1545625	1619755
jJI-UmMbsAM	58419	61367	64826	66910	69979	72200	73212	74802	75347	76227
PbRZcvVnF0w	986814	1037565	1312856	1505160	1617285	1671773	1694666	1754313	1764832	1791326
KCNhjF-MzYg	476238	531067	649926	690656	725689	745702	755786	779311	783014	793003
iZr3E3a7woY	104150	104636	108828	110608	111431	111934	112254	112948	113234	113618
HtYZTqi5jgQ	293312	305871	337574	355006	371989	383439	391576	409630	416069	430053
dqX7hF9AUBA	92132	92361	92713	92922	93172	93286	93334	93422	93434	93493
Ajn-PTtBOn4	896493	937453	1098992	1210127	1324535	1396951	1418951	1474165	1481894	1506294
g7Pi-14IOtM	401281	405384	419580	427179	433490	438337	441782	449355	451892	458389
