1tGapyYxZ9o	61060	62981	68207
nOL7AAlBNWE	153122	158754	176737
73z14uurwO8	348359	354157	369985
Hk8IbI7WXwE	658062	678846	767322
HcYkm5HMO-Y	121723	126252	135575
irmjkT-cu9I	2701239	2830141	3148891
xYKfGcXhpww	22348	23484	27073
01vtM9g8Abo	193775	195463	274715
Ujaa3ar4hCA	1179558	1252513	1572696
DqHzY0Ye4Rg	545299	570416	620148
h4KVVYkrILo	373469	408943	510604
wbWMeOdrQw8	48213	52675	65549
Ux5Ws6nqdYY	154233	160632	181478
L51jatjkgU4	206130	211978	226341
ebVEtKdILqk	75052	76065	84874
r5n1GCY-nYQ	5621749	6177203	8033681
DDY6KjQCMoQ	10243159	11039644	14910813
MXWgNfIeYVA	97520	98244	100283
EaNgb5NZ3z8	386431	407397	504943
V7lHNwP3pes	1571263	1627126	1797412
aTTRT41kKRk	522097	581103	695744
4TcXhZZM9ss	1060457	1101236	1212361
2zPILxJQBEE	905292	960536	1105573
FnD2ZUAl7tE	65374	67776	77194
lh8qH-QWo9c	118996	121169	126739
m5I6czoUIqk	77966	85067	95379
VCHk9zoFIr8	3375663	4195740	7919988
qMVd2YRpwxQ	418535	438948	525177
0ob5Cxk_R-I	1190648	1238173	1350902
zcV5sWLSlpk	36707	38922	43805
Hqvdr91LoSI	1359076	1446540	1633087
dKxWdLubIT0	649411	672026	741259
lHB5LGnPoxY	34232	37159	45396
m_jpfxJz04I	2672101	2733157	2893857
xNZLnGcSZm0	323636	327735	342593
-NgoUgB34BA	93236	106720	149915
5l1BNHX_a3s	223070	269456	333570
l8DOByEKujw	136337	143749	158835
0-z2-XUr1yA	81144	85044	95468
OuVXEipPe8c	136300	141936	157391
nY3Pqhs_Jbs	2863496	2926436	3107839
VhAGdjRFXwM	133162	140306	172444
qiymUC8h-bo	250460	258352	279651
aA0MuS0UhME	266581	355466	509356
rtu9E1LX0Tw	248169	265368	296443
IsFpeXZTWao	263352	278927	336453
NmX1N2p_UUI	136164	141173	155203
-j8ZzRriM9k	540568	567408	609543
k2MpW9v7nJs	53459	55183	63250
UaIw4msLhe4	1116258	1594293	1936114
HOKEJEDRwxE	130680	134089	141713
ur_zqGDzIjE	208563	220455	262900
i22Lh2Npe-Y	540214	541401	544618
sNB8REXJ4DY	116285	116833	118903
SA2_QS-025Y	115138	119658	133630
q0jyHVYCqX8	130709	136140	148019
i3PVch18sVc	924135	930649	945812
geNqUzG2fRo	135741	157600	212881
T3UtNc-wJ84	131847	134153	141234
XGQIQVsgAQw	487108	492861	507349
Gdzj4rkS5TY	48892	49251	50241
drSVg0q9-1Y	172894	182179	208056
ITjuQpjG3JY	571322	576800	587542
jeVqPpWlPxg	5281368	5871921	6883185
pqnSZjwlYKY	1150171	1188000	1357098
fSZ3M_BVWN8	123374	125662	133274
