6q2cMTpUEOQ	3770503	3778406	3816759	3846542	3879745	3907751	3933036	3995739	4007731
SgflG4TzZNY	418730	421255	427236	431042	437572	440913	444702	450734	452982	456755
p82YhXuWios	1531691	1532951	1535880	1537763	1539985	1541702	1542469	1543677	1543893	1544633
tw9WfyAOt0g	72613	73033	74081	74452	74953	75211	75382	75734	75817	76042
lVabp2pq2pM	103497	110148	131047	142726	160164	170350	178799	197046	203102	216747
bKHCTG_nwoU	1460472	1488126	1544699	1578282	1612322	1629094	1646925	1679013	1691576	1710690
-iWBCjdrknE	110225	111931	115471	117203	119104	120337	121241	122836	123304	124629
OISqNAdTvFc	138256	138946	140838	141969	143455	144404	145081	146219	146621	147889
qmyMg504otQ	1027433	1030385	1037684	1042433	1049099	1052874	1056542	1061998	1064175	1067912
z2JmKR_STSw	10442081	10450371	10475210	10492899	10512745	10523431	10530833	10549723	10554489	10566314
xTiwEJNlTzM	3683413	3715436	3810351	3867689	3950726	3993291	4037409	4123113	4153520	4215843
3JIZTv-N--E	864859	867726	876370	880217	885959	889217	891945	897559	899649	903856
O_3S4fPxWZw	1389182	1423024	1505097	1549220	1604563	1635378	1659553	1709400	1723843	1753245
vYG9HdjJ8_A	26074530	26305833	27122811	27458853	27792037	27978073	28081518	28371567	28458734	28661637
hNVmHRmRELg	1713617	1721653	1740101	1749066	1758889	1764269	1769000	1778244	1781517	1791497
f1pq4hv6KMc	1739405	1749567	1774408	1791007	1812822	1825788	1837220	1858001	1866512	1881681
JBCF9h9gjh4	590972	594074	602167	608109	616010	620308	624748	631202	633322	637527
VH0sc3HtAq4	96291339	98603979	98983751	99123340	99258338	99343959	99399420	99543553	99588996	99713266
gYEGn1PPIV4	1048423	1096269	1188313	1216176	1244615	1261145	1274750	1301335	1308757	1321695
2ntnnBCpR5c	84833	93766	123822	140550	169190	185922	202739	240863	255121	283770
efFQ02rvSiA	35724649	39886038	52114894	55735843	57278051	57857138	58189141	59086526	59386880	60270007
9WZQlHMNe7o	4620491	4662321	4803544	4867062	4925829	4950407	4969952	5016240	5029251	5055206
Km6yiiGAx40	221430	231208	253567	266901	283485	294132	302212	313487	316929	324293
tPg6FNt-NYg	16358705	16565449	17140489	17517503	18018181	18294901	18514190	18891767	19017753	19276809
8d3X7_-QVyo	452256	472134	542218	582404	637905	668819	697829	772778	802198	868588
