video_id	title	size	category_ratio	views	comments	likes	views_wma	comments_wma	likes_wma
zyNUr4LWfoc	No one has seen my real face	580.5	0.03	12219454	21386	391572	11857256.357142856	21116.178571428572	384645.5
73z14uurwO8	OM VS OL 0-3 DEBRIEF (FAUT REJOUER LE MATCH)	403.5	0.08	380256	2573	19458	374903.0	2565.0	19356.10714285714
nOL7AAlBNWE	Un mois pas facile... 😓 | MONTHLY VLOG	1777.5	0.05	201755	428	12398	190476.92857142858	417.4642857142857	12021.5
1bLg0XAmkT0	TABOEITNI - Op bezoek bij sekswerker Melicious.	740.0	0.36	51466	122	2603	50239.607142857145	117.75	2566.714285714286
HcYkm5HMO-Y	VOS QUESTIONS SUR LA SORCELLERIE FEAT MYSTICS MOONS !	1654.5	0.36	148140	265	7828	142185.4642857143	258.67857142857144	7570.535714285715
OJiBxSe4pfU	WELCOME TO THE AA EPISODE #214 CHARLOTTE TIMMERS	4346.0	0.08	23440	44	247	22026.035714285714	42.42857142857143	239.42857142857142
-d8rwuG4l3Q	NOTRE PIRE ERREUR AU JAPON	461.5	0.36	261890	311	18310	252920.60714285713	306.10714285714283	17854.035714285714
7cK1a9C7nlg	I gave MrBeast a REAL LIGHTSABER and caused a DISASTER!	376.0	0.02	7610269	6149	306566	6975730.857142857	5871.821428571428	292154.89285714284
irmjkT-cu9I	TIK TOK M’A FAIT ACHETER ÇA ! (Chaque objet est trop cher)	586.5	0.36	3490881	2389	339328	3325466.1071428573	2322.464285714286	328096.9285714286
_A6QcoZwRpI	Ik Huurde Iemand in om m’n iPhone te Repareren, Maar hij was Niet Stuk | Kalvijn	362.5	0.08	551074	502	29314	522143.53571428574	485.7142857142857	28058.60714285714
a_0PSZ2S_yw	Overwatch 2 a Pathetic Preview	132.0	0.09	4029204	13247	228994	3910112.3214285714	12996.357142857143	224796.25
acMC7bTVcY8	[EPISODE] ‘That That (prod. & ft. SUGA of BTS)’ MV Shoot Sketch - BTS (방탄소년단)	229.0	0.1	6065831	23250	936363	5491847.785714285	22771.5	889930.8928571428
QO7e_RiMVQg	Insane $100,000 Challenge!	293.0	0.09	12542161	23558	557252	12356134.107142856	23233.071428571428	553235.9285714285
FcmUNlgld74	Johnny Depp's friend gets emotional talking about Amber Heard	168.5	0.07	12852115	12307	179483	12539551.5	12111.67857142857	175675.0357142857
3Nv99SKbpKU	K3 - Tjikke boem	107.0	0.1	472396	522	7948	452833.03571428574	513.6785714285714	7880.892857142857
NFGKkYjjsyI	JE FAIS LE RAMADAN !!	642.5	0.36	2531307	8371	155169	2519450.3928571427	8332.535714285714	154620.85714285713
z2JmKR_STSw	Brawl Stars: Brawl Talk - 2 Brawlers, Bot Drop Game Mode, Sprays, and MORE!	202.0	0.09	10530763	30066	539743	10505663.107142856	30033.464285714286	539419.0
tzfRQrrAliU	GROSSE ANNONCE	94.0	0.1	304221	300	15492	301907.28571428574	296.5357142857143	15394.892857142857
DDY6KjQCMoQ	Welcome to CLAN CAPITAL! Clash of Clans New Update!	40.0	0.09	21295911	5882	169825	18532459.39285714	5830.071428571428	167779.17857142858
Im9bpJY_NRs	10 EXTREME MOPPEN!	527.5	0.36	418380	942	17799	402459.35714285716	922.6785714285714	17400.321428571428
jVn_rRlP29w	De Nederlandse Bier Tierlist (met Acid)	420.5	0.36	260982	508	16281	252740.14285714287	492.25	15965.75
V7lHNwP3pes	Joueur du grenier ( Hors-série) - RESIDENT EVIL	1199.0	0.08	2017150	7414	161862	1914199.9642857143	7285.571428571428	158488.92857142858
mc8s_H028VI	#25WITH25 - 🇪🇸🇲🇦 حكاية نجاح ياسين بونو - BONO BEST GOALIE IN SPAIN 🇪🇸🇲🇦	789.0	0.08	2390024	6928	231693	2310415.6071428573	6835.928571428572	227388.35714285713
zLUV7_cvGWs	Dans quoi on s'est encore lancés... (on doit faire un spectacle à la fin)	1009.0	0.08	1701062	2560	109331	1695049.0714285714	2547.5	109017.96428571429
oI_X2cMHNe0	How Electricity Actually Works	735.5	0.05	4755947	15980	233587	4606497.285714285	15594.464285714286	228500.42857142858
4TcXhZZM9ss	Shay - DA (Official Video)	92.0	0.1	1369805	3257	54295	1294150.5357142857	3135.0714285714284	52687.53571428572
