video_id	title	size	category_ratio	views	comments	likes	views_wma	comments_wma	likes_wma
XdUoiEVccdo	Ronnie O'Sullivan Makes It Seven World Titles | Eurosport Snooker	499.0	0.11	1337236	1171	13833	1254528.857142857	1138.107142857143	13258.857142857143
hse_g-YZ754	Pick the Miner Queen! ⛏️ Clash of Clans Season Challenges	23.0	0.12	3902999	2383	88604	3856965.6785714286	2374.714285714286	88157.75
-PPoe9b2iCo	"Der Möchtegern ""RAMBO"" ⎮ Younes Jones"	368.0	0.02	200151	246	6842	190335.85714285713	241.14285714285714	6650.035714285715
iny16wsspZk	DER WÜRFEL ENTSCHEIDET UNSEREN SCHADEN (ULTRA HARDCORE)	622.5	0.12	398153	785	33345	388526.0714285714	778.6071428571429	32809.42857142857
URnqWj-kJlE	#87 2 Mann, 2 Mützen Teil 2 (Gast Torsten Sträter)	1088.5	0.02	91425	126	1990	84351.60714285714	117.92857142857143	1859.0357142857142
FxTk7YRp3FE	Rechtsextremer Überfall auf uns! Statement	352.5	0.1	77646	1296	3932	74907.28571428571	1261.892857142857	3847.0
f69ICbKFKak	Wie lange überlebt man Absolute Stille? - Selbstexperiment	246.0	0.21	208713	373	9723	169640.42857142858	322.60714285714283	7942.071428571428
eOhcZ-CupVE	DATE MIT GINA	293.0	0.21	484719	1565	46990	445907.28571428574	1515.0	44184.03571428572
3QbGg8G7wE8	Jürgen Klopp über seine Halbzeitansprache, das Quadruple und Villarreal	196.0	0.11	442308	548	7595	433680.96428571426	538.3571428571429	7517.928571428572
y6L2HPhuGSg	Mentalitätsmonster Real bucht Finalticket: Real Madrid - Man City 3:1 | UEFA Champions League | DAZN	160.5	0.11	2566108	4269	69685	2477991.5714285714	4233.892857142857	68701.46428571429
9Q71C4IsbZE	dyeing my hair and doing a HUGE MAKEOVER	644.5	0.21	785130	3230	71517	764823.4642857143	3179.214285714286	70211.25
cvgbMpKjtks	😂🤣WAS ist mit Monte LOS? | Lachen VERBOTEN sonst 100€! | Lach dich REICH #6	329.0	0.12	549883	531	43064	498894.9285714286	500.7857142857143	39906.03571428572
a_0PSZ2S_yw	Overwatch 2 a Pathetic Preview	132.0	0.12	4029204	13247	228993	3910069.3928571427	12995.857142857143	224795.42857142858
Hrckugg1uWQ	Das kann das iPhone 14 Pro!	226.5	0.04	331933	1234	16179	318046.14285714284	1199.642857142857	15716.42857142857
yf--HfbV2Is	WIR HABEN ÜBERTRIEBEN... (MINECRAFT r/place)	571.0	0.12	206554	236	16543	204795.67857142858	235.14285714285714	16465.928571428572
ZTFWZJHuZQE	SINGER REACTS | FIRST TIME REACTION to RAMMSTEIN - Angst (Official Video)	525.5	0.22	81886	715	4400	74606.21428571429	672.2857142857143	4130.214285714285
