video_id	title	size	category_ratio	views	comments	likes	views_wma	comments_wma	likes_wma
1tGapyYxZ9o	JE PRÉPARE MA PORSCHE POUR LE BUDAPEST RALLY (et vous venez avec nous)	798.0	0.04	80167.0	213.0	4790.0	75319.35714285714	205.75	4628.071428571428
nOL7AAlBNWE	Un mois pas facile... 😓 | MONTHLY VLOG	1777.5	0.03	201755.0	428.0	12398.0	190483.35714285713	417.4642857142857	12021.5
73z14uurwO8	OM VS OL 0-3 DEBRIEF (FAUT REJOUER LE MATCH)	403.5	0.08	380256.0	2573.0	19458.0	374903.0	2565.0	19356.10714285714
Hk8IbI7WXwE	UNE COÏNCIDENCE SUR 1 MILLION !	23.5	0.28	844954.0	174.0	74523.0	808686.6785714285	168.32142857142858	71716.03571428571
HcYkm5HMO-Y	VOS QUESTIONS SUR LA SORCELLERIE FEAT MYSTICS MOONS !	1654.5	0.28	148140.0	265.0	7828.0	142185.4642857143	258.67857142857144	7570.535714285715
irmjkT-cu9I	TIK TOK M’A FAIT ACHETER ÇA ! (Chaque objet est trop cher)	586.5	0.28	3490881.0	2389.0	339330.0	3325504.3571428573	2322.464285714286	328098.78571428574
xYKfGcXhpww	Et tout le monde s'en fout #80 - TEASER -	13.5	0.02	31617.0	80.0	2156.0	29470.5	77.28571428571429	2072.464285714286
01vtM9g8Abo	Ce magicien s'est fait démasquer	16.5	0.28	381975.0	61.0	27775.0	335851.4285714286	55.57142857142857	25919.071428571428
Ujaa3ar4hCA	Jnr Choi, Russ Millions, G Herbo - TO THE MOON (Video) ft Fivio Foreign, M24, Sam Tompkins	112.5	0.17	1991106.0	2866.0	82658.0	1789421.3214285714	2657.4285714285716	77757.42857142857
DqHzY0Ye4Rg	Redha Jr - Les différentes façons de jouer aux DOMINOS 🥲 🇫🇷🇯🇵🇩🇿	14.5	0.12	690468.0	604.0	64083.0	659531.1428571428	582.75	61150.17857142857
h4KVVYkrILo	MON SKATE PARK À BRULÉ	370.0	0.28	658563.0	3305.0	46340.0	591102.5	3186.3214285714284	43394.892857142855
wbWMeOdrQw8	J'explore une île oubliée ! (pendant 1 mois)	793.0	0.08	94682.0	378.0	8698.0	82876.35714285714	352.92857142857144	7946.928571428572
Ux5Ws6nqdYY	FORTNITE PAY TO WIN PT4 ! 😲 #Shorts	17.5	0.1	214433.0	72.0	22099.0	200836.39285714287	66.92857142857143	20890.285714285714
L51jatjkgU4	WII SPORTS RESORT : LE RETOUR DU ROI	280.5	0.1	251368.0	1005.0	26715.0	240519.75	992.1071428571429	26163.821428571428
ebVEtKdILqk	ASMR : AVEC DONATIEN DANS LA VILLE	453.0	0.28	98878.0	446.0	7098.0	92783.46428571429	435.89285714285717	6759.678571428572
r5n1GCY-nYQ	iKON - '너라는 이유 (BUT YOU)' M/V	112.0	0.17	10177961.0	107874.0	505961.0	9230373.57142857	98407.10714285714	482711.71428571426
DDY6KjQCMoQ	Welcome to CLAN CAPITAL! Clash of Clans New Update!	40.0	0.1	21295911.0	5882.0	169825.0	18532459.39285714	5830.071428571428	167779.7142857143
MXWgNfIeYVA	Le HARCELEUR a toujours raison [Vlog]	266.5	0.02	102577.0	1542.0	8354.0	101394.03571428571	1509.2857142857142	8291.285714285714
EaNgb5NZ3z8	Apashe & Vladimir Cauchemar - RIP	111.5	0.17	705097.0	1593.0	41533.0	611404.5357142857	1521.1785714285713	38991.07142857143
V7lHNwP3pes	Joueur du grenier ( Hors-série) - RESIDENT EVIL	1199.0	0.12	2017150.0	7414.0	161862.0	1914199.9642857143	7285.571428571428	158489.39285714287
aTTRT41kKRk	ON REMPLACE SON SETUP 4 ft. Inoxtag	929.5	0.02	937065.0	1071.0	69208.0	835022.5357142857	985.25	63586.392857142855
4TcXhZZM9ss	Shay - DA (Official Video)	92.0	0.17	1369805.0	3257.0	54295.0	1294150.5357142857	3135.0714285714284	52687.78571428572
2zPILxJQBEE	La Rencontre entre Théodort, Koba LaD & Bolemvn (ça n’a aucun sens)	333.0	0.17	1231070.0	1684.0	83353.0	1167512.6785714286	1608.4642857142858	80328.39285714286
FnD2ZUAl7tE	"Pourquoi les grands guitaristes jouent ""MAL"" ?"	412.0	0.17	98011.0	443.0	4645.0	88591.03571428571	399.35714285714283	4372.214285714285
lh8qH-QWo9c	NOTRE REMERCIEMENT POUR VOUS !	428.5	0.28	132109.0	320.0	14253.0	129535.64285714286	318.75	14077.785714285714
m5I6czoUIqk	JOUER AU FOOT JUSQUE DANS L'ESPACE !!	926.0	0.1	135279.0	182.0	3632.0	119410.92857142857	174.46428571428572	3303.6071428571427
VCHk9zoFIr8	WOODZ (조승연) - 난 너 없이 (I hate you) MV	97.0	0.17	13010313.0	6626.0	109762.0	10744482.0	6043.571428571428	99217.14285714286
qMVd2YRpwxQ	Lemon Haze - 9m2 (Clip officiel)	86.0	0.17	696605.0	322.0	5091.0	622614.1428571428	314.85714285714283	4905.392857142857
0ob5Cxk_R-I	LE TRIBUNAL DES BANNIS ! ⚖️ #8	274.0	0.28	1443593.0	704.0	106094.0	1396423.5	698.5714285714286	103734.46428571429
