video_id	title	size	category_ratio	views	comments	likes	views_wma	comments_wma	likes_wma
XdUoiEVccdo	Ronnie O'Sullivan Makes It Seven World Titles | Eurosport Snooker	499.0	0.13	1337386	1171	13833	1254589.607142857	1138.107142857143	13259.357142857143
hse_g-YZ754	Pick the Miner Queen! ⛏️ Clash of Clans Season Challenges	23.0	0.2	3902999	2383	88604	3856999.964285714	2374.714285714286	88158.35714285714
AAp-2L682Jg	So I Coded Pacman In Minecraft...	405.5	0.2	2513659	5450	158364	2377766.3928571427	5312.535714285715	154334.32142857142
5ED4m-4zw14	Stars Of Hit Netflix Drama 'Heartstopper' Kit Connor & Joe Locke On Making Olivia Colman Cry | TM	296.5	0.18	778618	0	55438	739671.0714285715	0.0	53415.107142857145
i-qaw_coIsw	Judd Trump Pulls Hilarious Trick On Referee Ben Williams | 2022 Betfred World Championship	23.0	0.13	573256	437	4834	547237.9285714285	428.64285714285717	4710.714285714285
IkWhSslf7d8	Benedict Cumberbatch Tries to Talk Doctor Strange in the Multiverse of Madness Without Spoiling It	258.5	0.04	813419	779	27586	724575.1785714285	736.6428571428571	24917.928571428572
a_0PSZ2S_yw	Overwatch 2 a Pathetic Preview	132.0	0.2	4029439	13247	228998	3910197.8571428573	12996.642857142857	224798.2142857143
acMC7bTVcY8	[EPISODE] ‘That That (prod. & ft. SUGA of BTS)’ MV Shoot Sketch - BTS (방탄소년단)	229.0	0.18	6065831	23250	936367	5492372.142857143	22771.428571428572	889943.4285714285
Ujaa3ar4hCA	Jnr Choi, Russ Millions, G Herbo - TO THE MOON (Video) ft Fivio Foreign, M24, Sam Tompkins	112.5	0.18	1991106	2866	82659	1789421.3214285714	2657.75	77758.32142857143
FgSX-RZeXQU	Turning $0 Account into $1000 Account in 24 Hours	241.0	0.2	1326985	2380	29007	1276129.5357142857	2332.8571428571427	28171.535714285714
SoVLr7A4Q7k	"Judd Trump ""It was just a bonus to be there."""	54.0	0.13	143179	224	1509	140468.64285714287	219.32142857142858	1489.4285714285713
CMWLX0KXwF4	Tove Lo - No One Dies From Love (Official Music Video)	144.0	0.18	1383287	3744	92767	1126247.6785714286	3443.785714285714	82874.17857142857
nxn0lmYArXg	Little Mix - The Last Show (for now...) Global Livestream	11.5	0.18	157717	692	11740	147673.60714285713	680.1785714285714	11609.285714285714
F4Z0GHWHe60	Official Trailer | Chip n’ Dale: Rescue Rangers | Disney+	72.5	0.04	2623014	0	22426	2151953.285714286	0.0	22045.10714285714
cU4CuA5dFz4	Can We Beat A G-Wagon With £1000?	568.5	0.02	443626	878	17969	436071.75	859.8571428571429	17774.75
Nq3x1AkwgpY	Charlie Puth - That's Hilarious [Official Video]	73.0	0.18	3382390	11643	254703	2685503.464285714	10919.5	224745.4642857143
s-MoeONH5Ug	difficulty eating new york pizza	185.0	0.04	1583709	4969	135384	1555757.642857143	4924.178571428572	133800.39285714287
VMJPHqwv41U	After 15,000 years, it's waking up	514.5	0.04	2007940	4560	80728	1945497.0714285714	4429.642857142857	78527.21428571429
SNL1828hKIQ	ROSALÍA | CHICKEN SHOP DATE	204.5	0.18	1345649	1937	94461	1273277.4285714286	1877.6785714285713	90646.07142857143
IRyvDZzXGEs	Ted Nivison spins the Wheel of Misfortune - 10 Minute Power Hour (ft. Ted Nivison)	497.5	0.04	397671	1437	31271	388508.89285714284	1413.4642857142858	30755.214285714286
gRDJH0ba64c	Life has been hard before Nintendo Switch Sports	510.0	0.2	617038	863	35725	590366.75	843.3571428571429	34755.17857142857
N3f7OLt-WvY	Lil Baby - Frozen (Official Visualizer)	90.0	0.18	2360794	2881	85147	2138694.5714285714	2849.8571428571427	82142.89285714286
qqAxQ9yVa5A	I went to see Morbius 5 days in a row	857.0	0.04	1318850	5195	98483	1276446.607142857	5088.75	96273.67857142857
eQS0iayRgQU	A Very Homey Weekend | ad	1327.0	0.06	786846	364	30132	763343.2142857143	364.0	29466.85714285714
6lcVtR-zHuI	I PACKED 25 TOTS!! 6 TOTS IN 1 PACK!	350.0	0.04	206405	181	9041	205251.42857142858	179.71428571428572	9012.214285714286
_fpxCuorKjA	Trevor Noah COMPLETE REMARKS at 2022 White House Correspondents' Dinner (C-SPAN)	775.0	0.04	4704986	12625	89202	4408286.5	12067.07142857143	84875.67857142857
6fPj6mj-M_k	XPS 13 Plus - Cleaner And Faster Than A MacBook!	289.5	0.04	1230778	3437	51308	1196133.5	3388.25	50405.21428571428
ql1YDUYWTmg	He gave me the best wine on the market! The Mourinho & Rodgers reunion went well! 🍷😅	54.5	0.13	430710	357	4641	426277.8214285714	354.85714285714283	4604.714285714285
BkBkxM2MOmw	Future - I'M ON ONE (Official Audio) ft. Drake	119.0	0.18	5454477	5563	112612	4970765.714285715	5397.642857142857	108018.17857142857
wBo8hqRd92Q	The Story of Minecraft's Villager Uprising	267.5	0.2	2087018	1653	52947	1930688.142857143	1596.0714285714287	50113.46428571428
T4tcZAduiVk	I tried herding sheep, and the sheep won.	475.5	0.18	376009	1132	31789	361496.10714285716	1108.0714285714287	30847.25
JyXpzxRr_T0	Kit Connor and Joe Locke take the BFF Test	148.5	0.06	992931	1180	85374	908501.6428571428	1134.357142857143	79736.96428571429
bG19b06NG_w	How Wells & Aquifers Actually Work	426.5	0.04	2077656	1539	57386	1900185.2857142857	1446.6785714285713	52587.46428571428
OXbQx2hfA5k	Bad Coffee In A Cafe - What Should You Do?	325.5	0.18	384857	2163	15580	381236.78571428574	2148.4285714285716	15469.17857142857
h5AKZrG1khI	#TightRoad Baby - Plugged In W/ Fumez The Engineer | Pressplay	86.5	0.18	909774	805	12105	886123.1428571428	787.3928571428571	11841.464285714286
IFQczCt-oSY	Apex Legends | Stories from the Outlands - “Hero”	131.5	0.2	3086786	4130	129364	3060050.5	4120.071428571428	128891.57142857143
XzZGOrCn0gQ	*FUNNIEST* Try Not To Laugh	346.0	0.04	2379552	3754	195012	2314751.0714285714	3709.6785714285716	191363.5357142857
_bdxSvIh7-A	Fulham crowned CHAMPIONS as Mitro breaks more records 🏆 | Fulham 7-0 Luton | Championship highlights	66.0	0.13	711028	1078	10464	696465.7857142857	1070.1785714285713	10310.714285714286
wZiPs0vqFFU	Ama Lou - Same Old Ways (Official Music Video)	122.5	0.18	1000120	1231	37352	942000.3214285715	1187.9285714285713	35207.42857142857
vVXqB3WbzM0	Picks 11-20: TRADES, TRADES, & More TRADES! | 2022 NFL Draft	557.5	0.13	248096	245	3247	245797.2857142857	244.32142857142858	3227.785714285714
Q33XE_ksUCU	NBA YoungBoy - Loner Life (Music Video)	67.0	0.18	5842699	16638	266353	5271327.892857143	16221.857142857143	256747.17857142858
PbRZcvVnF0w	MET GALA 2022 FASHION ROAST (this the worst one yet)	1391.0	0.04	1694666	6669	55837	1535759.357142857	6210.25	52094.46428571428
JKOdGQAfAIc	Kris Jenner on All Her Daughters Being at the Met Together | Met Gala 2022 With Emma Chamberlain	49.5	0.18	3109297	968	68981	2875393.1785714286	921.6785714285714	65450.357142857145
p9ImTMnUK0Q	I Survived 100 Days as a AXOLOTL in HARDCORE Minecraft!	1507.0	0.2	1069663	2820	29307	936112.75	2582.4285714285716	26634.821428571428
KCNhjF-MzYg	Harry Styles - Harry’s House Vinyl Unboxing. Out May 20.	60.0	0.18	755922	5798	170779	701701.4285714285	5724.285714285715	163688.32142857142
NP0mOzGPAmg	GOLDBRIDGE! MANCHESTER UNITED 1-1 CHELSEA Match Reaction	913.5	0.18	287792	698	8860	287719.78571428574	700.4642857142857	8860.67857142857
3iLXOp3TbiU	KLOPP SIGNS NEW LIVERPOOL DEAL! Goldbridge Reacts	249.5	0.18	397186	1372	10836	396138.5	1374.5357142857142	10821.642857142857
Ajn-PTtBOn4	Everything Wrong With Spider-Man: No Way Home in 27 Minutes Or Less	876.5	0.04	1418951	5405	53582	1280211.4642857143	5099.607142857143	49179.392857142855
7RcXq-8cOac	The Elizabeth line - opening the new railway	35.0	0.01	85137	298	2413	74826.92857142857	278.42857142857144	2250.3928571428573
_WE89vjfcBI	FIGHT HIGHLIGHTS | Katie Taylor vs. Amanda Serrano	465.0	0.13	856047	2525	8367	832065.0	2490.5714285714284	8204.392857142857
jeVqPpWlPxg	BTS (방탄소년단) ‘Proof’ Logo Trailer	160.5	0.18	8221643	74181	1915008	7572304.892857143	71919.14285714286	1784898.4285714286
Oxyo2sK_jVk	The Evolution Of Boba Fett (ANIMATED)	131.5	0.04	836004	2505	31384	805486.7142857143	2434.0714285714284	30907.64285714286
neELJuq4yTI	Prime Minister's Questions (PMQs) - 27 April 2022	1113.0	0.04	80371	0	809	79314.82142857143	0.0	796.7857142857143
VS4QQPFw5uI	Has Russia's Invasion Stalled Again: Ukraine Fights Back - TLDR News	256.5	0.06	903282	3500	27025	844626.7142857143	3359.285714285714	26001.285714285714
3yvVjrVpzws	"Fascinating Mo Salah interview 🤩 ""I want to play Real Madrid in final"" as he targets 2018 revenge"	178.5	0.13	1363451	2119	25061	1293258.6785714286	2045.107142857143	24096.785714285714
YxwOYl5Ar-c	FIRST LOOK AT OVERWATCH 2	488.0	0.2	608608	1874	28821	593107.6071428572	1850.7857142857142	28365.464285714286
0uGjlJAUVN4	PAINT POUR with @Moriah Elizabeth	292.5	0.02	791824	1813	35015	761048.6071428572	1793.75	34210.17857142857
hiE6RIPe6U4	I google translated minecraft mobs 100,000 times	242.5	0.2	1923634	1111	52208	1809527.25	1054.142857142857	49562.03571428572
iH8mWNKM8xU	Married to the Met | Get Ready for the Met Gala with Me	275.5	0.06	5276001	5181	0	4655640.678571428	4875.642857142857	0.0
exMTvet57Ew	I finished God of War but don't want to leave	673.0	0.2	1017788	2990	67294	970351.5357142857	2928.464285714286	65744.53571428571
a5gbT7Uo5qY	What Happens If You Put A Giant Propeller On A Bike?	1049.5	0.04	5888376	7433	113316	5240709.0	7009.107142857143	105605.14285714286
AmWcgZVpbGw	Picks 1-10: New York! New York! | 2022 NFL Draft	740.0	0.13	658566	814	9361	650602.2857142857	811.8214285714286	9298.67857142857
yb4kLSp-Us8	I Tried SWAT Academy	699.5	0.18	1944740	3571	81931	1837954.25	3497.714285714286	79518.32142857143
wInET75QqWc	Tommy Starts a War on the Origins SMP	495.5	0.2	1086786	2867	102371	1060582.2857142857	2845.035714285714	100865.85714285714
mMTubwgXTFw	Beat My Speed, Win $100! (SPIKED-UP)	300.0	0.06	1543171	1323	36638	1291099.2142857143	1191.5357142857142	32266.0
CdzGHBUEMY8	President Biden complete remarks at 2022 White House Correspondents' Dinner (C-SPAN)	418.0	0.04	936795	7589	15783	914079.1785714285	7505.5	15452.0
0HPKKFugajE	How Ants and Bees Broke the Game	305.5	0.04	2206197	5780	141885	2171231.785714286	5720.75	140368.82142857142
QlZjtudjVD0	Ronaldo Scores Stunning Strike | Manchester United 1-1 Chelsea | Highlights	81.5	0.13	6193205	4615	126395	6173150.285714285	4611.607142857143	126246.53571428571
NlXYiUDyhkg	crazy taxi rip-offs	323.0	0.2	401734	2148	44265	359884.5	2005.107142857143	40549.32142857143
xaS3waWZm2c	KSI GETTING BULLIED FOR 11 MINUTES	355.5	0.18	1859804	1407	129408	1784440.5714285714	1410.392857142857	125368.96428571429
